#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005cp3
#time = 2016-03-27 08:25:14.800000
#location = 18km W of Perry, Oklahoma
#latitude = 36.2879
#longitude = -97.4890
#depth = 5.7
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005cp3
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.KNG1.EHZ.--,0.228043,227.145,Pg,2016-03-27 08:25:19.520,manual,0.4,3.17
OK.CROK.HHZ.--,0.453797,298.623,Pg,2016-03-27 08:25:23.720,manual,0.5,2.39
GS.OK031.HHZ.00,0.623301,122.222,Pg,2016-03-27 08:25:26.940,manual,0.6,2.02
OK.BCOK.HHZ.--,0.637388,188.842,Pg,2016-03-27 08:25:27.060,manual,0.5,1.99
GS.OK030.HHZ.00,0.674717,121.973,Pg,2016-03-27 08:25:27.850,manual,0.6,1.93
GS.OK025.HHZ.00,0.715889,170.093,Pg,2016-03-27 08:25:28.600,manual,0.6,1.86
GS.OK029.HHZ.00,0.491053,176.764,Pg,2016-03-27 08:25:24.500,manual,0.6,2.3
OK.QUOK.HHZ.--,0.642081,100.201,Pg,2016-03-27 08:25:27.260,manual,0.6,1.99
GS.OK033.HHZ.00,0.507637,118.437,Pg,2016-03-27 08:25:24.830,manual,0.6,2.26
OK.GC02.EHZ.--,0.636717,332.169,Pg,2016-03-27 08:25:27.020,manual,0.5,2.0
GS.OK041.HHZ.00,0.861084,282.303,Pg,2016-03-27 08:25:30.960,manual,0.5,2.24
GS.OK034.HHZ.00,0.686335,113.585,Pg,2016-03-27 08:25:28.060,manual,0.6,1.91
OK.OKCSW.EHZ.--,0.881497,177.291,Pg,2016-03-27 08:25:31.410,manual,0.6,2.22
GS.KAN13.HHZ.01,0.723645,0.709826,Pg,2016-03-27 08:25:28.680,manual,0.5,1.85
GS.OK040.HHZ.00,0.975904,281.854,Pg,2016-03-27 08:25:33.060,manual,0.6,2.12
OK.CHOK.HHZ.--,0.80406,154.297,Pg,2016-03-27 08:25:30.140,manual,0.6,2.31
GS.OK036.HHZ.00,0.947406,283.608,Pg,2016-03-27 08:25:32.450,manual,0.5,2.15
GS.KAN09.HHZ.01,0.852913,353.041,Pg,2016-03-27 08:25:30.970,manual,0.6,2.25
GS.OK038.HHZ.00,1.02896,281.007,Pg,2016-03-27 08:25:33.900,manual,0.5,2.07
GS.OK043.HHZ.00,1.02474,278.519,Pg,2016-03-27 08:25:34.010,manual,0.7,2.07
GS.KS20.HHZ.00,0.941448,356.826,Pg,2016-03-27 08:25:32.530,manual,0.6,2.16
GS.OK039.HHZ.00,0.943569,276.038,Pg,2016-03-27 08:25:32.430,manual,0.5,2.15
OK.U32A.BHZ.--,1.22463,274.729,Pg,2016-03-27 08:25:37.190,manual,0.4,1.89
OK.FNO.HHZ.01,1.03076,176.002,Pg,2016-03-27 08:25:34.090,manual,0.7,2.07
TA.TUL1.BHZ.--,1.42511,104.827,Pg,2016-03-27 08:25:40.540,manual,0.3,1.74
ZD.KNG1.EHN.--,0.228043,227.145,Sg,2016-03-27 08:25:22.970,manual,0.6,1.31
GS.OK029.HH2.00,0.491053,176.764,Sg,2016-03-27 08:25:31.340,manual,0.8,1.18
OK.CROK.HHN.--,0.453797,298.623,Sg,2016-03-27 08:25:30.130,manual,0.7,1.2
GS.OK033.HH1.00,0.507637,118.437,Sg,2016-03-27 08:25:31.960,manual,0.9,1.17
NQ.OK916.HNZ.01,0.55864,338.191,Pg,2016-03-27 08:25:25.660,manual,0.5,2.15
OK.BCOK.HHE.--,0.637388,188.842,Sg,2016-03-27 08:25:35.850,manual,0.7,1.12
GS.OK031.HH2.00,0.623301,122.222,Sg,2016-03-27 08:25:35.370,manual,0.6,1.12
OK.QUOK.HHN.--,0.642081,100.201,Sg,2016-03-27 08:25:35.950,manual,0.6,1.12
OK.GORE.HHN.--,0.618745,323.533,Sg,2016-03-27 08:25:35.270,manual,0.7,1.13
OK.GORE.HHZ.--,0.618745,323.533,Pg,2016-03-27 08:25:26.910,manual,0.7,2.03
GS.OK030.HH1.00,0.674717,121.973,Sg,2016-03-27 08:25:37.090,manual,0.7,1.1
