#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005fn0
#time = 2016-04-05 18:26:19
#location = 10km NW of Perry, Oklahoma
#latitude = 36.3483
#longitude = -97.3808
#depth = 6.4
#magnitude = 2.4
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005fn0
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.KNG1.EHZ.--,0.333457,229.82,Pg,2016-04-05 18:26:25.850,manual,0.4,2.75
OK.QUOK.HHZ.--,0.571715,107.787,Pg,2016-04-05 18:26:30.130,manual,0.1,2.12
GS.OK033.HHZ.00,0.469198,130.138,Pg,2016-04-05 18:26:27.830,manual,-0.2,2.35
OK.BLOK.HHZ.--,0.432603,17.9258,Pg,2016-04-05 18:26:27.640,manual,0.3,2.45
OK.CHOK.HHZ.--,0.827209,161.644,Pg,2016-04-05 18:26:34.500,manual,-0.4,1.7
ZD.KNG1.EHE.--,0.333457,229.82,Sg,2016-04-05 18:26:30.540,manual,0.6,1.25
OK.BLOK.HHE.--,0.432603,17.9258,Sg,2016-04-05 18:26:33.670,manual,0.6,1.21
GS.OK029.HH2.00,0.553818,186.245,Pg,2016-04-05 18:26:29.490,manual,-0.2,2.16
OK.CROK.HHZ.--,0.510457,287.984,Pg,2016-04-05 18:26:29.120,manual,0.3,2.25
OK.CROK.HHN.--,0.510457,287.984,Sg,2016-04-05 18:26:36.000,manual,0.5,1.17
OK.QUOK.HHN.--,0.571715,107.787,Sg,2016-04-05 18:26:37.490,manual,0.0,1.15
GS.OK031.HH2.00,0.589705,131.814,Sg,2016-04-05 18:26:38.630,manual,0.6,1.14
NQ.OK914.HNN.01,0.59933,128.775,Pg,2016-04-05 18:26:30.640,manual,0.1,2.07
NQ.OK914.HNN.01,0.59933,128.775,Sg,2016-04-05 18:26:38.660,manual,0.3,1.13
