#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005fvw
#time = 2016-04-06 17:33:14.700000
#location = 11km SW of Alva, Oklahoma
#latitude = 36.7193
#longitude = -98.7402
#depth = 3.7
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005fvw
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK043.HHZ.00,0.285373,180.891,Pg,2016-04-06 17:33:20.630,manual,0.4,2.93
N4.R32B.BHZ.--,1.70039,0.770249,Sn,2016-04-06 17:34:06.030,manual,-1.3,0.74
GS.OK040.HHZ.00,0.241858,167.277,Pg,2016-04-06 17:33:19.820,manual,0.4,3.11
OK.U32A.BHZ.--,0.399061,211.886,Pg,2016-04-06 17:33:22.670,manual,0.3,2.54
GS.OK036.HHZ.00,0.230211,157.726,Pg,2016-04-06 17:33:19.650,manual,0.5,3.16
N4.R32B.BHZ.--,1.70039,0.770249,Pn,2016-04-06 17:33:46.140,manual,1.0,1.18
OK.X34A.HHZ.--,2.23916,160.461,Pg,2016-04-06 17:33:55.030,manual,-0.6,0.74
N4.T35B.BHZ.--,1.79887,83.0612,Pn,2016-04-06 17:33:46.280,manual,-0.2,1.16
GS.OK033.HHZ.00,1.60254,114.316,Pn,2016-04-06 17:33:43.860,manual,0.1,1.19
OK.NOKA.HHZ.--,0.17573,241.341,Pg,2016-04-06 17:33:18.470,manual,0.3,3.43
GS.OK037.HHZ.00,0.210713,180.943,Pg,2016-04-06 17:33:19.300,manual,0.5,3.25
GS.OK042.HHZ.00,0.324122,193.136,Pg,2016-04-06 17:33:20.900,manual,-0.1,2.78
GS.OK038.HHZ.00,0.240633,180.385,Pg,2016-04-06 17:33:18.800,manual,-0.6,3.11
GS.OK032.HHZ.00,0.43373,78.6292,Pg,2016-04-06 17:33:21.400,manual,-1.6,2.45
OK.BCOK.HHZ.--,1.40049,138.879,Pn,2016-04-06 17:33:40.870,manual,-0.1,1.22
GS.OK033.HH2.00,1.60254,114.316,Sn,2016-04-06 17:34:05.750,manual,0.9,0.77
OK.NOKA.HHN.--,0.17573,241.341,Sg,2016-04-06 17:33:21.450,manual,1.0,1.34
GS.OK041.HH2.00,0.301978,146.365,Sg,2016-04-06 17:33:24.750,manual,0.3,1.27
OK.U32A.BHE.--,0.399061,211.886,Sg,2016-04-06 17:33:28.220,manual,0.6,1.22
N4.T35B.BHE.--,1.79887,83.0612,Pg,2016-04-06 17:33:47.890,manual,-0.3,0.84
GS.OK041.HHZ.00,0.301978,146.365,Pg,2016-04-06 17:33:20.620,manual,0.1,2.86
GS.OK039.HHZ.00,0.344371,168.045,Pg,2016-04-06 17:33:21.310,manual,0.0,2.71
OK.CROK.HHZ.--,0.64549,109.153,Pg,2016-04-06 17:33:26.060,manual,-1.0,1.98
OK.HTCH.HHZ.--,0.774125,154.737,Pg,2016-04-06 17:33:29.320,manual,-0.2,1.77
GS.KAN06.HHZ.01,0.881368,52.9559,Pg,2016-04-06 17:33:31.050,manual,-0.6,1.63
ZD.KNG1.EHZ.--,1.0262,124.499,Pg,2016-04-06 17:33:33.910,manual,-0.5,1.48
GS.OK029.HHZ.00,1.38817,131.172,Pn,2016-04-06 17:33:40.540,manual,-0.3,1.22
OK.QUOK.HHZ.--,1.72739,107.849,Pn,2016-04-06 17:33:46.560,manual,1.1,1.17
