#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005fxs
#time = 2016-04-06 22:55:55.200000
#location = 2km E of Luther, Oklahoma
#latitude = 35.6640
#longitude = -97.1665
#depth = 4.7
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005fxs
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.269388,299.501,Pg,2016-04-06 22:56:00.760,manual,0.5,2.99
OK.CHOK.HHZ.--,0.133752,140.115,Pg,2016-04-06 22:55:58.520,manual,0.7,3.67
GS.OK034.HHZ.00,0.504978,46.7017,Pg,2016-04-06 22:56:05.190,manual,0.6,2.27
OK.BCOK.HHZ.--,0.360663,268.972,Pg,2016-04-06 22:56:02.400,manual,0.5,2.66
GS.OK031.HHZ.00,0.392476,42.5951,Pg,2016-04-06 22:56:03.210,manual,0.7,2.56
GS.OK033.HHZ.00,0.422472,25.9723,Pg,2016-04-06 22:56:03.780,manual,0.7,2.48
ZD.KNG1.EHZ.--,0.63471,317.568,Pg,2016-04-06 22:56:07.460,manual,0.5,2.0
GS.OK030.HHZ.00,0.407537,49.654,Pg,2016-04-06 22:56:03.540,manual,0.8,2.52
OK.FNO.HHZ.01,0.448668,205.348,Pg,2016-04-06 22:56:04.140,manual,0.6,2.41
OK.CCOK.HHZ.--,0.503497,232.64,Pg,2016-04-06 22:56:05.070,manual,0.5,2.27
OK.W35A.HHZ.--,0.563172,154.857,Pg,2016-04-06 22:56:06.190,manual,0.6,2.14
OK.QUOK.HHZ.--,0.628391,36.1833,Pg,2016-04-06 22:56:07.360,manual,0.6,2.01
GS.OK025.HHZ.00,0.162306,239.409,Pg,2016-04-06 22:55:58.800,manual,0.4,3.5
OK.CROK.HHZ.--,1.0685,321.976,Pg,2016-04-06 22:56:15.230,manual,0.7,2.07
OK.X34A.HHZ.--,1.19284,207.431,Pg,2016-04-06 22:56:17.850,manual,1.2,1.95
OK.BLOK.HHZ.--,1.09506,357.962,Pg,2016-04-06 22:56:15.660,manual,0.7,2.04
OK.HTCH.HHZ.--,1.01094,290.738,Pg,2016-04-06 22:56:14.080,manual,0.5,2.12
GS.OK041.HHZ.00,1.36662,306.309,Pg,2016-04-06 22:56:20.280,manual,0.6,1.81
GS.OK040.HHZ.00,1.46951,304.228,Pg,2016-04-06 22:56:22.100,manual,0.6,1.74
GS.OK039.HHZ.00,1.40095,301.18,Pg,2016-04-06 22:56:20.890,manual,0.6,1.79
GS.OK043.HHZ.00,1.49239,301.425,Pg,2016-04-06 22:56:22.340,manual,0.5,1.72
GS.OK036.HHZ.00,1.45416,305.717,Pg,2016-04-06 22:56:21.810,manual,0.6,1.75
GS.OK038.HHZ.00,1.51318,302.938,Pg,2016-04-06 22:56:21.790,manual,-0.5,0.92
US.WMOK.BHZ.10,1.61283,235.515,Pg,2016-04-06 22:56:24.180,manual,0.3,0.89
GS.KAN17.HHZ.01,1.45954,340.852,Pg,2016-04-06 22:56:21.570,manual,0.3,1.75
OK.X37A.BHZ.--,1.82073,125.563,Pn,2016-04-06 22:56:27.620,manual,0.7,1.16
GS.OK042.HHZ.00,1.53787,299.142,Pg,2016-04-06 22:56:22.730,manual,0.1,0.91
GS.KAN06.HHZ.01,1.67641,340.764,Pn,2016-04-06 22:56:25.430,manual,0.5,1.18
N4.T35B.BHZ.--,1.35695,22.7451,Pg,2016-04-06 22:56:19.960,manual,0.4,1.82
ZW.AZDA.EHZ.01,2.70378,186.946,Pn,2016-04-06 22:56:40.660,manual,1.8,1.06
TA.ABTX.BHZ.--,3.6624,214.813,Pn,2016-04-06 22:56:52.160,manual,0.3,0.96
OK.CHOK.HHN.--,0.133752,140.115,Sg,2016-04-06 22:56:00.930,manual,1.1,1.36
