#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005j78
#time = 2016-04-17 11:35:42.360000
#location = 2km ENE of Tuttle, Oklahoma
#latitude = 35.2986
#longitude = -97.7826
#depth = 6.6
#magnitude = 2.5
#magtype = mb_lg
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005j78
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CCOK.HHZ.--,0.118625,60.6537,Pg,2016-04-17 11:35:44.560,manual,-0.3,3.76
OK.CHOK.HHZ.--,0.644658,65.8192,Pg,2016-04-17 11:35:53.960,manual,-0.3,1.98
OK.X34A.HHZ.--,0.697186,183.392,Pg,2016-04-17 11:35:55.560,manual,0.4,2.41
GS.OK025.HH2.00,0.459687,52.0508,Sg,2016-04-17 11:35:57.490,manual,0.3,1.19
US.WMOK.BHZ.10,0.991982,235.96,Pg,2016-04-17 11:35:59.940,manual,-0.3,2.07
OK.W35A.HHZ.--,0.757584,100.816,Pg,2016-04-17 11:35:55.910,manual,-0.3,2.33
OK.CCOK.HHN.--,0.118625,60.6537,Sg,2016-04-17 11:35:46.820,manual,0.1,1.37
OK.FNO.HHN.01,0.314751,97.394,Sg,2016-04-17 11:35:52.100,manual,-0.5,1.26
OK.FNO.HHZ.01,0.314751,97.394,Pg,2016-04-17 11:35:48.000,manual,-0.3,2.82
OK.BCOK.HHZ.--,0.384287,21.5464,Pg,2016-04-17 11:35:49.010,manual,-0.6,2.59
OK.BCOK.HHE.--,0.384287,21.5464,Sg,2016-04-17 11:35:54.750,manual,-0.1,1.23
GS.OK025.HHZ.00,0.459687,52.0508,Pg,2016-04-17 11:35:51.040,manual,0.1,2.38
GS.OK029.HHZ.00,0.564206,28.1754,Pg,2016-04-17 11:35:52.140,manual,-0.7,2.14
GS.OK029.HH2.00,0.564206,28.1754,Sg,2016-04-17 11:36:00.380,manual,-0.1,1.15
