#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005ju9
#time = 2016-04-19 16:32:08.800000
#location = 5km SSE of Cushing, Oklahoma
#latitude = 35.9364
#longitude = -96.7442
#depth = 4.3
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005ju9
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.0787902,282.236,Pg,2016-04-19 16:32:10.840,manual,0.3,4.04
GS.OK033.HHZ.00,0.190704,304.468,Pg,2016-04-19 16:32:12.880,manual,0.3,3.35
OK.QUOK.HHZ.--,0.236335,7.11963,Pg,2016-04-19 16:32:13.750,manual,0.4,3.13
GS.OK030.HHZ.00,0.0332625,255.056,Pg,2016-04-19 16:32:10.080,manual,0.2,4.4
OK.CHOK.HHZ.--,0.454731,214.651,Pg,2016-04-19 16:32:17.870,manual,0.3,2.39
GS.OK029.HHZ.00,0.59388,256.622,Pg,2016-04-19 16:32:20.290,manual,0.1,2.08
OK.CROK.HHZ.--,1.1514,299.874,Pg,2016-04-19 16:32:30.490,manual,-0.4,1.36
OK.X34A.HHZ.--,1.60261,214.076,Pn,2016-04-19 16:32:37.750,manual,-0.1,1.19
N4.T35B.BHZ.--,0.995625,10.7776,Pg,2016-04-19 16:32:27.520,manual,-0.4,1.51
TA.TUL1.BHZ.--,0.773385,91.6432,Pg,2016-04-19 16:32:23.590,manual,-0.1,1.78
OK.W35A.HHZ.--,0.789169,187.776,Pg,2016-04-19 16:32:23.760,manual,-0.2,1.75
NQ.OK915.HNZ.01,0.0287326,306.691,Pg,2016-04-19 16:32:09.990,manual,0.2,4.44
NQ.OK914.HNZ.01,0.0599646,304.937,Pg,2016-04-19 16:32:10.530,manual,0.3,4.18
GS.OK025.HHZ.00,0.599053,233.887,Pg,2016-04-19 16:32:20.420,manual,0.1,2.07
OK.FNO.HHZ.01,0.863548,218.511,Pg,2016-04-19 16:32:25.010,manual,-0.4,1.66
OK.BLOK.HHZ.--,0.906104,335.338,Pg,2016-04-19 16:32:25.930,manual,-0.3,1.6
OK.CCOK.HHZ.--,0.941324,232.359,Pg,2016-04-19 16:32:26.930,manual,0.1,1.56
GS.KAN13.HHZ.01,1.22632,331.39,Pg,2016-04-19 16:32:31.830,manual,-0.5,1.3
OK.GC02.EHZ.--,1.28216,315.75,Pn,2016-04-19 16:32:32.450,manual,-1.0,1.24
OK.HTCH.HHZ.--,1.29097,274.043,Pn,2016-04-19 16:32:32.650,manual,-0.9,1.24
GS.KAN09.HHZ.01,1.38894,329.805,Pn,2016-04-19 16:32:34.320,manual,-0.6,1.22
OK.RLOK.HHZ.--,1.41068,80.0824,Pn,2016-04-19 16:32:34.600,manual,-0.6,1.22
GS.KS20.HHZ.00,1.44609,333.439,Pn,2016-04-19 16:32:35.170,manual,-0.5,1.21
GS.KAN01.HHZ.01,1.46391,326.367,Pn,2016-04-19 16:32:35.480,manual,-0.4,1.21
GS.KAN06.HHZ.01,1.58677,325.914,Pn,2016-04-19 16:32:37.150,manual,-0.4,1.19
GS.OK036.HHZ.00,1.62874,290.974,Pn,2016-04-19 16:32:38.110,manual,-0.1,1.19
GS.KAN16.HHZ.01,1.66887,320.832,Pn,2016-04-19 16:32:37.590,manual,-1.1,1.18
GS.KAN12.HHZ.01,1.6919,323.773,Pn,2016-04-19 16:32:38.980,manual,-0.1,1.18
OK.NOKA.HHZ.--,1.89994,292.162,Pn,2016-04-19 16:32:42.140,manual,0.2,1.15
OK.LOOK.HHZ.--,1.97223,190.581,Pn,2016-04-19 16:32:43.970,manual,1.1,1.14
US.WMOK.BHZ.10,2.04986,234.906,Pn,2016-04-19 16:32:43.130,manual,-0.8,1.13
OK.ELIS.HHZ.--,2.17187,274.181,Pn,2016-04-19 16:32:44.810,manual,-0.8,1.12
IU.CCM.BHZ.10,4.88367,62.7019,Pn,2016-04-19 16:33:20.870,manual,-1.9,0.86
NQ.OK915.HNE.01,0.0287326,306.691,Sg,2016-04-19 16:32:10.610,manual,0.1,1.43
NQ.OK914.HNN.01,0.0599646,304.937,Sg,2016-04-19 16:32:11.620,manual,0.5,1.41
OK.CHOK.HHE.--,0.454731,214.651,Sg,2016-04-19 16:32:23.660,manual,0.2,1.2
OK.BCOK.HHZ.--,0.75664,248.607,Sg,2016-04-19 16:32:32.730,manual,-0.4,1.07
