#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005k6h
#time = 2016-04-20 14:11:44.700000
#location = 33km NW of Fairview, Oklahoma
#latitude = 36.4593
#longitude = -98.7711
#depth = 6.3
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005k6h
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK038.HHZ.00,0.0299736,50.9976,Pg,2016-04-20 14:11:45.230,manual,-0.7,4.43
OK.U32A.BHZ.--,0.202111,246.862,Pg,2016-04-20 14:11:49.110,manual,0.5,3.29
GS.OK035.HHZ.00,0.253277,11.2339,Pg,2016-04-20 14:11:50.100,manual,0.6,3.06
GS.OK037.HHZ.00,0.0533056,23.7092,Pg,2016-04-20 14:11:46.640,manual,0.4,4.23
GS.OK039.HHZ.00,0.123521,128.794,Pg,2016-04-20 14:11:47.670,manual,0.4,3.73
GS.OK043.HHZ.00,0.0329829,141.597,Pg,2016-04-20 14:11:46.180,manual,0.2,4.41
GS.OK040.HHZ.00,0.0816577,73.2084,Pg,2016-04-20 14:11:46.980,manual,0.4,4.01
GS.OK042.HHZ.00,0.0743603,220.938,Pg,2016-04-20 14:11:46.790,manual,0.3,4.07
GS.KAN11.HHZ.01,1.01443,42.4646,Pg,2016-04-20 14:12:03.710,manual,0.7,2.06
GS.KAN13.HHZ.01,1.17671,61.609,Pg,2016-04-20 14:12:06.290,manual,0.5,1.91
OK.BLOK.HHZ.--,1.28767,76.0319,Pg,2016-04-20 14:12:08.190,manual,0.4,1.83
GS.KAN06.HHZ.01,1.07488,42.643,Pg,2016-04-20 14:12:04.730,manual,0.7,2.0
GS.KAN01.HHZ.01,1.06758,49.2384,Pg,2016-04-20 14:12:04.720,manual,0.8,2.01
GS.KAN09.HHZ.01,1.14565,53.5257,Pg,2016-04-20 14:12:05.520,manual,0.2,1.94
