#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005l9r
#time = 2016-04-23 22:32:42.600000
#location = 26km WSW of Perry, Oklahoma
#latitude = 36.2162
#longitude = -97.5659
#depth = 5.0
#magnitude = 3.4
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005l9r
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.428287,167.837,Pg,2016-04-23 22:32:51.190,manual,0.6,2.46
OK.CROK.HHZ.--,0.443244,310.633,Pg,2016-04-23 22:32:51.460,manual,0.6,2.42
GS.OK025.HHZ.00,0.66024,163.65,Pg,2016-04-23 22:32:55.490,manual,0.7,1.95
OK.BLOK.HHZ.--,0.612505,27.392,Pg,2016-04-23 22:32:54.670,manual,0.8,2.04
GS.OK033.HHZ.00,0.536302,108.459,Pg,2016-04-23 22:32:53.240,manual,0.7,2.2
OK.CHOK.HHZ.--,0.771511,147.773,Pg,2016-04-23 22:32:57.420,manual,0.6,1.78
OK.QUOK.HHZ.--,0.695401,93.4331,Pg,2016-04-23 22:32:56.090,manual,0.7,1.89
OK.HTCH.HHZ.--,0.651891,252.481,Pg,2016-04-23 22:32:55.130,manual,0.5,1.97
GS.OK031.HHZ.00,0.644617,113.822,Pg,2016-04-23 22:32:55.210,manual,0.7,1.98
GS.OK032.HHZ.00,0.783272,318.669,Pg,2016-04-23 22:32:57.530,manual,0.5,1.76
OK.GC02.EHZ.--,0.676731,339.628,Pg,2016-04-23 22:32:55.640,manual,0.6,1.93
GS.OK040.HHZ.00,0.933406,286.896,Pg,2016-04-23 22:33:00.260,manual,0.7,2.19
GS.OK038.HHZ.00,0.984997,285.742,Pg,2016-04-23 22:33:00.170,manual,-0.3,2.14
OK.CCOK.HHZ.--,0.860691,184.914,Pg,2016-04-23 22:32:59.010,manual,0.7,2.28
