#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20005zud
#time = 2016-04-01 19:40:21.600000
#location = 14km WSW of Pawnee, Oklahoma
#latitude = 36.2769
#longitude = -96.9415
#depth = 6.5
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20005zud
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.216178,119.077,Pg,2016-04-01 19:40:26.350,manual,0.5,3.22
GS.OK033.HHZ.00,0.232039,179.34,Pg,2016-04-01 19:40:26.470,manual,0.3,3.15
GS.OK030.HHZ.00,0.37105,159.821,Pg,2016-04-01 19:40:29.150,manual,0.3,2.63
GS.OK031.HHZ.00,0.3336,165.579,Pg,2016-04-01 19:40:28.490,manual,0.4,2.75
OK.BLOK.HHZ.--,0.530643,335.55,Pg,2016-04-01 19:40:31.930,manual,0.1,2.21
OK.CHOK.HHZ.--,0.720879,187.788,Pg,2016-04-01 19:40:35.330,manual,-0.1,1.85
OK.CROK.HHZ.--,0.870887,285.441,Pg,2016-04-01 19:40:38.100,manual,-0.2,1.65
OK.QUOK.HHN.--,0.216178,119.077,Sg,2016-04-01 19:40:29.540,manual,0.7,1.31
GS.OK033.HH1.00,0.232039,179.34,Sg,2016-04-01 19:40:29.940,manual,0.6,1.31
GS.OK034.HHZ.00,0.32401,145.161,Pg,2016-04-01 19:40:28.190,manual,0.3,2.78
GS.OK034.HH2.00,0.32401,145.161,Sg,2016-04-01 19:40:32.730,manual,0.5,1.26
NQ.OK914.HNZ.01,0.324901,160.044,Pg,2016-04-01 19:40:27.200,manual,-0.7,2.78
NQ.OK914.HNE.01,0.324901,160.044,Sg,2016-04-01 19:40:34.560,manual,2.3,1.26
NQ.OK915.HNE.01,0.350419,156.979,Sg,2016-04-01 19:40:33.680,manual,0.7,1.25
NQ.OK915.HNZ.01,0.350419,156.979,Pg,2016-04-01 19:40:28.780,manual,0.4,2.69
GS.OK031.HH2.00,0.3336,165.579,Sg,2016-04-01 19:40:33.090,manual,0.6,1.25
GS.OK030.HH1.00,0.37105,159.821,Sg,2016-04-01 19:40:34.140,manual,0.5,1.24
OK.BLOK.HHE.--,0.530643,335.55,Sg,2016-04-01 19:40:39.000,manual,0.2,1.16
ZD.KNG1.EHZ.--,0.626677,256.91,Pg,2016-04-01 19:40:33.760,manual,0.1,2.01
GS.OK029.HH2.00,0.63473,221.115,Sg,2016-04-01 19:40:42.420,manual,0.3,1.12
GS.OK029.HHZ.00,0.63473,221.115,Pg,2016-04-01 19:40:34.030,manual,0.2,2.0
OK.CHOK.HHE.--,0.720879,187.788,Sg,2016-04-01 19:40:43.980,manual,-0.9,1.09
N4.T35B.BHZ.--,0.725687,28.3231,Pg,2016-04-01 19:40:35.570,manual,0.0,1.85
N4.T35B.BHE.--,0.725687,28.3231,Sg,2016-04-01 19:40:45.090,manual,0.1,1.09
GS.OK025.HH2.00,0.765245,204.977,Sg,2016-04-01 19:40:47.080,manual,0.8,1.07
GS.OK025.HHZ.00,0.765245,204.977,Pg,2016-04-01 19:40:36.380,manual,0.1,1.79
OK.BCOK.HHN.--,0.8225,221.393,Sg,2016-04-01 19:40:48.260,manual,0.2,1.05
OK.BCOK.HHZ.--,0.8225,221.393,Pg,2016-04-01 19:40:37.170,manual,-0.2,1.71
NQ.OK916.HNN.01,0.837633,309.434,Sg,2016-04-01 19:40:48.400,manual,-0.2,1.05
GS.KAN13.HNE.01,0.851834,329.739,Sg,2016-04-01 19:40:48.820,manual,-0.2,1.04
GS.KAN13.HHZ.01,0.851834,329.739,Pg,2016-04-01 19:40:37.630,manual,-0.3,1.67
OK.CROK.HHN.--,0.870887,285.441,Sg,2016-04-01 19:40:49.780,manual,0.1,1.03
OK.GC02.EHN.--,0.935525,308.079,Sg,2016-04-01 19:40:51.480,manual,-0.2,1.01
OK.GC02.EHZ.--,0.935525,308.079,Pg,2016-04-01 19:40:39.200,manual,-0.4,1.57
OK.OKCFA.HHE.--,0.954367,205.876,Sg,2016-04-01 19:40:52.420,manual,0.1,1.01
OK.OKCFA.HHZ.--,0.954367,205.876,Pg,2016-04-01 19:40:39.520,manual,-0.4,1.55
OK.GORE.HHN.--,0.955904,302.379,Sg,2016-04-01 19:40:52.420,manual,0.1,1.01
OK.GORE.HHZ.--,0.955904,302.379,Pg,2016-04-01 19:40:39.400,manual,-0.6,1.55
TA.TUL1.BHN.--,1.00034,111.106,Sg,2016-04-01 19:40:53.360,manual,-0.4,0.99
TA.TUL1.BHZ.--,1.00034,111.106,Pg,2016-04-01 19:40:40.430,manual,-0.4,1.5
GS.KAN17.HHZ.01,1.0122,319.399,Pg,2016-04-01 19:40:40.710,manual,-0.3,1.49
GS.KAN17.HHE.01,1.0122,319.399,Sg,2016-04-01 19:40:54.300,manual,0.1,0.99
GS.KAN09.HNE.01,1.01547,327.817,Sg,2016-04-01 19:40:54.050,manual,-0.2,0.99
GS.KAN09.HHZ.01,1.01547,327.817,Pg,2016-04-01 19:40:40.160,manual,-0.9,1.49
GS.KAN14.HHN.01,1.06577,309.849,Sg,2016-04-01 19:40:55.970,manual,0.1,0.97
GS.KAN14.HHZ.01,1.06577,309.849,Pg,2016-04-01 19:40:41.580,manual,-0.5,1.44
GS.KS20.HH2.00,1.07077,332.819,Sg,2016-04-01 19:40:55.350,manual,-0.7,0.97
GS.KS20.HHZ.00,1.07077,332.819,Pg,2016-04-01 19:40:41.320,manual,-0.8,1.43
OK.FNO.HHE.01,1.08383,200.313,Sg,2016-04-01 19:40:56.780,manual,0.3,0.97
OK.FNO.HHZ.01,1.08383,200.313,Pg,2016-04-01 19:40:41.210,manual,-1.2,1.42
OK.CCOK.HHE.--,1.0864,212.526,Sg,2016-04-01 19:40:57.270,manual,0.7,0.97
OK.CCOK.HHZ.--,1.0864,212.526,Pg,2016-04-01 19:40:41.340,manual,-1.1,1.42
GS.KAN01.HHN.01,1.09397,323.341,Sg,2016-04-01 19:40:56.700,manual,-0.1,0.96
GS.KAN01.HHZ.01,1.09397,323.341,Pg,2016-04-01 19:40:41.950,manual,-0.6,1.41
OK.W35A.HHN.--,1.1231,177.198,Sg,2016-04-01 19:40:57.950,manual,0.2,0.96
OK.W35A.HHZ.--,1.1231,177.198,Pg,2016-04-01 19:40:42.130,manual,-1.0,1.39
GS.OK032.HH2.00,1.14925,297.607,Sg,2016-04-01 19:40:58.960,manual,0.4,0.95
GS.OK032.HHZ.00,1.14925,297.607,Pg,2016-04-01 19:40:42.970,manual,-0.7,1.36
GS.KS21.HN2.20,1.16228,330.323,Sg,2016-04-01 19:40:59.080,manual,0.1,0.94
GS.KS21.HNZ.20,1.16228,330.323,Pg,2016-04-01 19:40:43.050,manual,-0.8,1.35
GS.KAN11.HHN.01,1.21211,320.199,Sg,2016-04-01 19:41:00.370,manual,-0.2,0.93
GS.KAN11.HHZ.01,1.21211,320.199,Pg,2016-04-01 19:40:43.880,manual,-1.0,1.31
GS.KAN06.HHZ.01,1.21728,323.044,Pg,2016-04-01 19:40:44.370,manual,-0.6,1.31
