#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200062y0
#time = 2016-06-08 23:51:14.600000
#location = 33km NW of Fairview, Oklahoma
#latitude = 36.4547
#longitude = -98.7766
#depth = 5.8
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200062y0
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK040.HHZ.00,0.0872854,71.1604,Pg,2016-06-08 23:51:16.980,manual,0.4,3.97
OK.NOKA.HHZ.--,0.218889,325.203,Pg,2016-06-08 23:51:19.320,manual,0.5,3.21
GS.OK035.HHZ.00,0.258668,11.9961,Pg,2016-06-08 23:51:20.100,manual,0.6,3.04
OK.HTCH.HHZ.--,0.56525,140.455,Pg,2016-06-08 23:51:25.510,manual,0.4,2.13
GS.OK038.HHZ.00,0.0363178,49.7687,Pg,2016-06-08 23:51:15.220,manual,-0.6,4.38
OK.ELIS.HHZ.--,0.647878,233.333,Pg,2016-06-08 23:51:26.860,manual,0.3,1.98
US.WMOK.BHZ.10,1.71306,180.113,Pn,2016-06-08 23:51:44.980,manual,0.2,1.17
GS.OK043.HHZ.00,0.0327567,130.456,Pg,2016-06-08 23:51:16.080,manual,0.3,4.41
OK.X34A.HHZ.--,2.00346,157.123,Pn,2016-06-08 23:51:50.520,manual,1.8,1.14
N4.T35B.BHZ.--,1.87778,75.1266,Pn,2016-06-08 23:51:48.550,manual,1.6,1.15
TA.ABTX.BHZ.--,3.88796,190.849,Pn,2016-06-08 23:52:14.730,manual,0.6,0.94
GS.OK038.HH2.00,0.0363178,49.7687,Sg,2016-06-08 23:51:16.450,manual,-0.4,1.42
GS.OK043.HH2.00,0.0327567,130.456,Sg,2016-06-08 23:51:17.190,manual,0.4,1.42
GS.OK040.HH2.00,0.0872854,71.1604,Sg,2016-06-08 23:51:18.760,manual,0.8,1.39
OK.NOKA.HHN.--,0.218889,325.203,Sg,2016-06-08 23:51:22.740,manual,0.9,1.31
OK.U32A.BHZ.--,0.196244,247.583,Pg,2016-06-08 23:51:18.830,manual,0.4,3.32
OK.U32A.BHN.--,0.196244,247.583,Sg,2016-06-08 23:51:22.090,manual,0.9,1.33
GS.OK035.HH2.00,0.258668,11.9961,Sg,2016-06-08 23:51:24.150,manual,1.0,1.29
OK.CROK.HHZ.--,0.641243,85.3011,Pg,2016-06-08 23:51:27.020,manual,0.6,1.99
GS.KAN14.HHZ.01,0.823787,52.2895,Pg,2016-06-08 23:51:30.190,manual,0.5,2.28
OK.GC02.EHZ.--,0.837044,61.4895,Pg,2016-06-08 23:51:30.350,manual,0.5,2.27
GS.KAN16.HHZ.01,0.95822,36.372,Pg,2016-06-08 23:51:32.930,manual,1.0,2.13
GS.KAN05.HHZ.01,0.976231,47.7763,Pg,2016-06-08 23:51:33.010,manual,0.7,2.11
GS.KAN08.HHZ.01,1.00572,39.7507,Pg,2016-06-08 23:51:33.420,manual,0.6,2.09
GS.KAN06.HHZ.01,1.08126,42.6478,Pg,2016-06-08 23:51:34.900,manual,0.8,2.01
OK.BCOK.HHZ.--,1.23645,129.749,Pg,2016-06-08 23:51:38.190,manual,1.4,1.88
GS.OK025.HHZ.00,1.45613,126.351,Pg,2016-06-08 23:51:41.910,manual,1.3,1.72
OK.FNO.HHZ.01,1.63575,136.514,Pn,2016-06-08 23:51:44.480,manual,0.8,1.18
OK.CHOK.HHZ.--,1.65206,122.161,Pn,2016-06-08 23:51:44.470,manual,0.6,1.18
N4.R32B.BHZ.--,1.96501,1.50066,Pn,2016-06-08 23:51:47.610,manual,-0.6,1.14
OK.X37A.BHZ.--,3.34344,122.827,Pn,2016-06-08 23:52:07.460,manual,0.7,0.99
TA.T25A.BHZ.--,4.57305,280.267,Pn,2016-06-08 23:52:25.510,manual,1.9,0.89
US.MIAR.BHZ.00,4.65021,112.653,Pn,2016-06-08 23:52:26.020,manual,1.6,0.88
