#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200063sg
#time = 2016-06-11 07:27:02.440000
#location = 22km SSW of Conway Springs, Kansas
#latitude = 37.2038
#longitude = -97.7357
#depth = 7.8
#magnitude = 3.2
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200063sg
#us_Mwr_mrr = -68700000000000
#us_Mwr_mtt = 68700000000000
#us_Mwr_mpp = 0
#us_Mwr_mrt = -12100000000000
#us_Mwr_mrp = -37400000000000
#us_Mwr_mtp = 31400000000000
#us_Mwr_np1_strike = 48
#us_Mwr_np1_dip = 58
#us_Mwr_np1_rake = -116
#us_Mwr_np2_strike = 270
#us_Mwr_np2_dip = 40
#us_Mwr_np2_rake = -55
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN01.HHZ.01,0.0536393,200.308,Pg,2016-06-11 07:27:04.310,manual,0.2,4.23
GS.KAN06.HHZ.01,0.107561,294.254,Pg,2016-06-11 07:27:05.090,manual,0.2,3.83
GS.KS20.HHZ.00,0.147105,79.8239,Pg,2016-06-11 07:27:05.740,manual,0.2,3.59
GS.KS21.HNZ.20,0.100896,35.0775,Pg,2016-06-11 07:27:05.030,manual,0.3,3.88
GS.KAN17.HHZ.01,0.161092,188.31,Pg,2016-06-11 07:27:06.050,manual,0.3,3.51
GS.KAN05.HHZ.01,0.144705,228.994,Pg,2016-06-11 07:27:05.780,manual,0.3,3.6
GS.KAN08.HHZ.01,0.18915,277.012,Pg,2016-06-11 07:27:06.590,manual,0.4,3.36
GS.KAN10.HHZ.01,0.298087,254.51,Pg,2016-06-11 07:27:08.620,manual,0.5,2.88
GS.KAN14.HHZ.01,0.30631,216.47,Pg,2016-06-11 07:27:08.740,manual,0.5,2.85
GS.KAN16.HHZ.01,0.263545,274.836,Pg,2016-06-11 07:27:07.880,manual,0.4,3.02
GS.KAN12.HHZ.01,0.229208,294.135,Pg,2016-06-11 07:27:07.280,manual,0.4,3.16
GS.KAN13.HHZ.01,0.280745,132.666,Pg,2016-06-11 07:27:08.190,manual,0.4,2.95
OK.GC02.EHZ.--,0.365353,195.784,Pg,2016-06-11 07:27:09.670,manual,0.3,2.65
OK.GORE.HHZ.--,0.450426,202.134,Pg,2016-06-11 07:27:11.210,manual,0.3,2.4
GS.OK032.HHZ.00,0.551191,223.729,Pg,2016-06-11 07:27:13.110,manual,0.4,2.16
OK.BLOK.HHZ.--,0.6079,136.537,Pg,2016-06-11 07:27:14.080,manual,0.4,2.48
OK.CROK.HHZ.--,0.725502,195.967,Pg,2016-06-11 07:27:16.260,manual,0.6,2.33
GS.OK035.HHZ.00,0.923797,237.918,Pg,2016-06-11 07:27:19.820,manual,0.7,2.11
GS.OK038.HHZ.00,1.08463,228.413,Pg,2016-06-11 07:27:21.700,manual,-0.2,1.96
GS.OK040.HHZ.00,1.04134,226.576,Pg,2016-06-11 07:27:21.910,manual,0.8,2.0
ZD.KNG1.EHZ.--,1.0699,178.257,Pg,2016-06-11 07:27:22.380,manual,0.7,1.97
OK.NOKA.HHZ.--,1.11428,239.712,Pg,2016-06-11 07:27:23.140,manual,0.7,1.93
GS.OK029.HHZ.00,1.42252,170.764,Pg,2016-06-11 07:27:28.520,manual,0.8,1.7
GS.OK031.HHZ.00,1.44185,149.696,Pg,2016-06-11 07:27:28.660,manual,0.6,1.69
OK.U32A.BHZ.--,1.30733,231.382,Pg,2016-06-11 07:27:26.530,manual,0.8,1.78
GS.OK043.HHZ.00,1.11718,226.811,Pg,2016-06-11 07:27:23.290,manual,0.8,1.93
GS.OK030.HHZ.00,1.48628,148.677,Pg,2016-06-11 07:27:29.040,manual,0.2,1.66
OK.HTCH.HHZ.--,1.27807,202.255,Pg,2016-06-11 07:27:25.990,manual,0.7,1.8
OK.QUOK.HHZ.--,1.32064,140.972,Pg,2016-06-11 07:27:26.740,manual,0.8,1.77
GS.OK034.HHZ.00,1.44775,145.063,Pg,2016-06-11 07:27:28.780,manual,0.6,1.69
GS.OK025.HHZ.00,1.65094,168.671,Pn,2016-06-11 07:27:32.060,manual,0.5,1.18
GS.OK033.HHZ.00,1.32308,150.755,Pg,2016-06-11 07:27:26.840,manual,0.8,1.77
OK.BCOK.HHZ.--,1.54737,176.185,Pg,2016-06-11 07:27:30.620,manual,0.7,1.62
OK.CHOK.HHZ.--,1.72736,161.435,Pn,2016-06-11 07:27:32.800,manual,0.2,1.17
OK.DEOK.HHZ.--,1.68483,143.36,Pn,2016-06-11 07:27:32.310,manual,0.3,1.18
OK.OKCFA.HHZ.--,1.79959,172.584,Pn,2016-06-11 07:27:34.290,manual,0.7,1.16
OK.CCOK.HHZ.--,1.84437,177.978,Pn,2016-06-11 07:27:35.180,manual,1.0,1.15
OK.ELIS.HHZ.--,1.76693,230.484,Pn,2016-06-11 07:27:34.380,manual,1.2,1.16
OK.OKCSW.EHZ.--,1.81069,172.28,Pn,2016-06-11 07:27:34.290,manual,0.6,1.16
OK.FNO.HHZ.01,1.96116,171.974,Pn,2016-06-11 07:27:36.700,manual,1.0,1.14
US.CBKS.BHZ.00,2.25472,316.087,Pg,2016-06-11 07:27:42.120,manual,-0.1,1.29
US.KSU1.BHZ.10,2.09181,24.7716,Pn,2016-06-11 07:27:38.850,manual,1.4,1.12
US.WMOK.BHZ.10,2.60258,199.317,Pn,2016-06-11 07:27:44.790,manual,0.4,1.06
OK.RLOK.HHZ.--,2.4105,114.591,Pn,2016-06-11 07:27:42.760,manual,0.9,1.09
OK.X34A.HHZ.--,2.59848,181.764,Pg,2016-06-11 07:27:47.450,manual,-0.7,1.17
N4.T35B.BHZ.--,1.02019,105.974,Pg,2016-06-11 07:27:21.590,manual,0.8,2.01
OK.X37A.BHZ.--,3.23896,142.955,Pn,2016-06-11 07:27:53.340,manual,0.3,1.0
AG.HHAR.HHZ.00,3.1844,105.65,Pn,2016-06-11 07:27:53.440,manual,1.2,1.0
N4.R32B.BHZ.--,1.44116,327.884,Pg,2016-06-11 07:27:29.020,manual,0.9,1.69
TA.TUL1.BHZ.--,2.02866,128.933,Pn,2016-06-11 07:27:37.360,manual,0.7,1.13
OK.LOOK.HHZ.--,3.23622,171.793,Pn,2016-06-11 07:27:53.950,manual,1.0,1.0
US.MIAR.BHZ.00,4.29427,126.909,Pn,2016-06-11 07:28:07.840,manual,0.6,0.91
NM.MGMO.BHZ.--,4.36618,88.9991,Pn,2016-06-11 07:28:09.140,manual,0.9,0.9
US.AMTX.BHZ.00,3.9469,235.264,Pn,2016-06-11 07:28:04.180,manual,1.5,0.93
N4.Z35B.BHZ.--,3.88429,174.023,Pn,2016-06-11 07:28:02.860,manual,1.1,0.94
N4.U38B.BHZ.--,2.79414,104.836,Pn,2016-06-11 07:27:48.170,manual,1.2,1.04
AG.FCAR.HHZ.00,4.7045,104.496,Pn,2016-06-11 07:28:13.750,manual,0.9,0.87
IU.CCM.BHZ.10,5.22217,78.6567,Pn,2016-06-11 07:28:22.250,manual,2.4,0.84
N4.P38B.BHZ.--,4.09159,52.5031,Pn,2016-06-11 07:28:05.550,manual,1.0,0.92
ZW.AZDA.EHZ.01,4.22389,177.94,Pn,2016-06-11 07:28:07.110,manual,0.8,0.91
AG.WHAR.HHZ.00,4.7983,111.822,Pn,2016-06-11 07:28:16.300,manual,2.2,0.87
NM.UALR.BHZ.--,4.99895,117.388,Pn,2016-06-11 07:28:18.830,manual,2.0,0.85
NM.PBMO.BHZ.--,5.86358,91.9451,Pn,2016-06-11 07:28:30.580,manual,2.1,0.81
US.SDCO.BHZ.00,6.19998,277.36,Pn,2016-06-11 07:28:34.250,manual,0.9,0.83
TA.X40A.BHZ.--,4.81618,122.788,Pn,2016-06-11 07:28:15.240,manual,0.9,0.87
US.ECSD.BHZ.10,6.57856,7.11305,Pn,2016-06-11 07:28:39.250,manual,1.1,0.84
US.ISCO.BHZ.00,6.69932,295.171,Pn,2016-06-11 07:28:40.950,manual,0.9,0.85
TA.BGNE.BHZ.--,4.21112,355.751,Pn,2016-06-11 07:28:07.630,manual,1.4,0.91
NM.FVM.BHZ.--,5.85547,80.1651,Pn,2016-06-11 07:28:29.870,manual,1.5,0.81
N4.S39B.BHZ.--,3.54544,80.7799,Pn,2016-06-11 07:27:57.690,manual,0.5,0.97
N4.Z38B.BHZ.--,4.53308,149.417,Pn,2016-06-11 07:28:11.850,manual,1.4,0.89
