#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us2000648u
#time = 2016-06-14 06:33:30.200000
#location = 15km WNW of Helena, Oklahoma
#latitude = 36.6164
#longitude = -98.4256
#depth = 6.1
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us2000648u
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK040.HHZ.00,0.240408,236.417,Pg,2016-06-14 06:33:35.470,manual,0.5,3.11
GS.OK032.HHZ.00,0.254727,42.6914,Pg,2016-06-14 06:33:35.670,manual,0.5,3.05
OK.CROK.HHZ.--,0.373076,107.255,Pg,2016-06-14 06:33:37.880,manual,0.4,2.62
GS.OK043.HHZ.00,0.315974,234.783,Pg,2016-06-14 06:33:36.810,manual,0.5,2.81
GS.OK035.HHZ.00,0.24613,291.938,Pg,2016-06-14 06:33:35.630,manual,0.6,3.09
OK.NOKA.HHZ.--,0.40771,272.718,Pg,2016-06-14 06:33:38.550,manual,0.5,2.52
OK.GORE.HHZ.--,0.420005,66.1498,Pg,2016-06-14 06:33:38.730,manual,0.4,2.48
GS.KAN14.HHZ.01,0.503332,47.4083,Pg,2016-06-14 06:33:40.200,manual,0.3,2.27
OK.U32A.BHZ.--,0.52074,243.169,Pg,2016-06-14 06:33:40.570,manual,0.3,2.23
OK.HTCH.HHZ.--,0.602775,172.822,Pg,2016-06-14 06:33:41.880,manual,0.1,2.06
GS.KAN05.HHZ.01,0.662004,41.9251,Pg,2016-06-14 06:33:43.120,manual,0.2,1.95
GS.KAN08.HHZ.01,0.709813,30.7513,Pg,2016-06-14 06:33:43.440,manual,-0.4,1.87
GS.KAN10.HHZ.01,0.571328,27.5394,Pg,2016-06-14 06:33:41.510,manual,0.3,2.12
GS.KAN17.HHZ.01,0.680677,50.9625,Pg,2016-06-14 06:33:43.430,manual,0.1,1.92
GS.KAN16.HHZ.01,0.673329,25.3302,Pg,2016-06-14 06:33:43.330,manual,0.2,1.93
OK.GC02.EHZ.--,0.511667,62.5346,Pg,2016-06-14 06:33:40.370,manual,0.3,2.25
GS.KAN01.HHZ.01,0.75691,44.7187,Pg,2016-06-14 06:33:44.700,manual,0.0,1.8
GS.KAN06.HHZ.01,0.777059,35.6096,Pg,2016-06-14 06:33:44.940,manual,-0.2,1.77
GS.KAN12.HHZ.01,0.761138,26.6154,Pg,2016-06-14 06:33:44.750,manual,-0.1,1.79
OK.BLOK.HHZ.--,0.983675,81.2256,Pg,2016-06-14 06:33:48.540,manual,-0.5,1.52
OK.ELIS.HHZ.--,0.971851,235.829,Pg,2016-06-14 06:33:49.130,manual,0.3,1.53
GS.KAN13.HHZ.01,0.857398,62.2288,Pg,2016-06-14 06:33:46.100,manual,-0.6,1.66
OK.BCOK.HHZ.--,1.16355,145.155,Pg,2016-06-14 06:33:51.800,manual,-0.7,1.35
GS.OK038.HHZ.00,0.289872,241.681,Pg,2016-06-14 06:33:35.410,manual,-0.5,2.91
GS.OK029.HHZ.00,1.13386,135.893,Pg,2016-06-14 06:33:51.380,manual,-0.6,1.38
GS.OK025.HHZ.00,1.3577,139.226,Pn,2016-06-14 06:33:55.100,manual,-0.5,1.22
OK.FNO.HHZ.01,1.59064,148.189,Pn,2016-06-14 06:33:58.640,manual,-0.2,1.19
OK.OKCFA.HHZ.--,1.43539,146.33,Pn,2016-06-14 06:33:56.230,manual,-0.5,1.21
OK.OKCSW.EHZ.--,1.44957,146.178,Pn,2016-06-14 06:33:56.560,manual,-0.3,1.21
OK.QUOK.HHZ.--,1.45525,107.258,Pn,2016-06-14 06:33:57.130,manual,0.2,1.21
GS.OK034.HHZ.00,1.50956,113.117,Pn,2016-06-14 06:33:57.910,manual,0.2,1.2
OK.CHOK.HHZ.--,1.52646,133.218,Pn,2016-06-14 06:33:57.870,manual,-0.1,1.2
GS.OK030.HHZ.00,1.49413,116.895,Pn,2016-06-14 06:33:57.360,manual,-0.1,1.2
GS.OK031.HHZ.00,1.44265,116.841,Pn,2016-06-14 06:33:56.380,manual,-0.4,1.21
OK.DEOK.HHZ.--,1.73905,115.786,Pn,2016-06-14 06:34:01.010,manual,0.2,1.17
US.CBKS.BHZ.00,2.42792,335.029,Pn,2016-06-14 06:34:11.700,manual,1.3,0.0
OK.X34A.HHZ.--,2.06823,166.316,Pn,2016-06-14 06:34:06.630,manual,1.2,0.0
OK.LOOK.HHZ.--,2.80926,158.375,Pn,2016-06-14 06:34:16.240,manual,0.7,0.0
OK.X37A.BHZ.--,3.20697,128.203,Pn,2016-06-14 06:34:21.480,manual,0.5,0.0
N4.T35B.BHZ.--,1.56554,78.4097,Pn,2016-06-14 06:33:58.740,manual,0.3,1.19
AG.HHAR.HHZ.00,3.6317,93.9365,Pn,2016-06-14 06:34:28.510,manual,1.7,0.0
N4.R32B.BHZ.--,1.81716,352.91,Pn,2016-06-14 06:34:03.420,manual,1.5,1.16
TA.TUL1.BHZ.--,2.24202,107.533,Pn,2016-06-14 06:34:08.240,manual,0.5,0.0
ZW.AZDA.EHZ.01,3.70485,168.603,Pn,2016-06-14 06:34:28.840,manual,1.0,0.0
N4.U38B.BHZ.--,3.25858,91.9035,Pn,2016-06-14 06:34:23.690,manual,2.0,0.0
GS.OK033.HHZ.00,1.32981,114.979,Pn,2016-06-14 06:33:54.800,manual,-0.4,1.23
US.WMOK.BHZ.10,1.8966,188.872,Pn,2016-06-14 06:34:04.060,manual,1.0,1.15
OK.RLOK.HHZ.--,2.77858,98.2648,Pn,2016-06-14 06:34:17.040,manual,1.9,0.0
