#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200064ac
#time = 2016-06-14 09:33:48.500000
#location = 15km WNW of Helena, Oklahoma
#latitude = 36.6167
#longitude = -98.4243
#depth = 6.4
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200064ac
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK040.HHZ.00,0.241442,236.496,Pg,2016-06-14 09:33:53.630,manual,0.5,3.11
GS.OK035.HHZ.00,0.246988,291.785,Pg,2016-06-14 09:33:53.810,manual,0.6,3.09
GS.OK032.HHZ.00,0.253802,42.5645,Pg,2016-06-14 09:33:53.810,manual,0.5,3.06
GS.OK038.HHZ.00,0.290931,241.728,Pg,2016-06-14 09:33:53.550,manual,-0.5,2.91
OK.CROK.HHZ.--,0.372168,107.347,Pg,2016-06-14 09:33:55.980,manual,0.5,2.62
OK.U32A.BHZ.--,0.521805,243.192,Pg,2016-06-14 09:33:58.740,manual,0.5,2.23
GS.KAN08.HHZ.01,0.709025,30.6919,Pg,2016-06-14 09:34:02.140,manual,0.6,2.4
GS.KAN10.HHZ.01,0.570583,27.4611,Pg,2016-06-14 09:33:59.600,manual,0.5,2.12
GS.KAN17.HHZ.01,0.679679,50.9273,Pg,2016-06-14 09:34:01.540,manual,0.5,1.92
OK.HTCH.HHZ.--,0.60294,172.925,Pg,2016-06-14 09:34:00.030,manual,0.4,2.06
GS.KAN06.HHZ.01,0.776211,35.5606,Pg,2016-06-14 09:34:03.390,manual,0.7,2.31
OK.GC02.EHZ.--,0.510604,62.511,Pg,2016-06-14 09:33:58.500,manual,0.5,2.25
OK.NOKA.HHZ.--,0.408739,272.671,Pg,2016-06-14 09:33:56.670,manual,0.5,2.52
GS.KAN13.HHZ.01,0.856336,62.2146,Pg,2016-06-14 09:34:04.650,manual,0.6,2.22
OK.BCOK.HHZ.--,1.1632,145.206,Pg,2016-06-14 09:34:10.080,manual,0.7,1.92
OK.BLOK.HHZ.--,0.982598,81.2342,Pg,2016-06-14 09:34:07.030,manual,0.8,2.09
GS.OK029.HHZ.00,1.13335,135.942,Pg,2016-06-14 09:34:09.600,manual,0.7,1.95
GS.KAN16.HHZ.01,0.672615,25.2615,Pg,2016-06-14 09:34:01.460,manual,0.5,1.93
GS.OK030.HHZ.00,1.49333,116.924,Pg,2016-06-14 09:34:15.930,manual,0.8,1.68
US.WMOK.BHZ.10,1.89705,188.903,Pn,2016-06-14 09:34:22.540,manual,1.5,1.15
OK.FNO.HHZ.01,1.59034,148.228,Pg,2016-06-14 09:34:17.340,manual,0.6,1.62
N4.T35B.BHZ.--,1.56446,78.4135,Pg,2016-06-14 09:34:17.100,manual,0.8,1.64
GS.OK043.HHZ.00,0.316998,234.849,Pg,2016-06-14 09:33:54.960,manual,0.5,2.81
OK.GORE.HHZ.--,0.418931,66.13,Pg,2016-06-14 09:33:56.810,manual,0.5,2.49
GS.KAN14.HHZ.01,0.502363,47.3535,Pg,2016-06-14 09:33:58.390,manual,0.5,2.27
ZD.KNG1.EHZ.--,0.761345,129.2,Pg,2016-06-14 09:34:02.980,manual,0.6,2.33
