#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200064xy
#time = 2016-05-09 17:11:53
#location = 21km ENE of Cherokee, Oklahoma
#latitude = 36.8604
#longitude = -98.1547
#depth = 7.2
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200064xy
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GORE.HHZ.--,0.18255,114.079,Pg,2016-05-09 17:11:56.920,manual,0.2,3.39
GS.OK032.HHZ.00,0.0720342,218.363,Pg,2016-05-09 17:11:55.220,manual,0.3,4.09
OK.GC02.EHZ.--,0.236862,92.0607,Pg,2016-05-09 17:11:57.960,manual,0.2,3.13
OK.CROK.HHZ.--,0.380783,158.748,Pg,2016-05-09 17:12:00.500,manual,0.1,2.6
GS.KAN14.HHZ.01,0.181294,57.8886,Pg,2016-05-09 17:11:57.110,manual,0.4,3.4
N4.T35B.BHZ.--,1.31825,87.0858,Pn,2016-05-09 17:12:17.270,manual,-0.5,1.23
GS.KAN10.HHZ.01,0.266908,10.2812,Pg,2016-05-09 17:11:58.610,manual,0.3,3.0
GS.KAN05.HHZ.01,0.33542,42.3044,Pg,2016-05-09 17:11:59.920,manual,0.4,2.75
GS.KAN16.HHZ.01,0.371566,11.1482,Pg,2016-05-09 17:12:00.610,manual,0.4,2.63
GS.KAN08.HHZ.01,0.394085,21.856,Pg,2016-05-09 17:12:00.960,manual,0.3,2.56
GS.KAN06.HHZ.01,0.453641,31.3898,Pg,2016-05-09 17:12:02.110,manual,0.3,2.39
GS.KAN12.HHZ.01,0.453836,15.9825,Pg,2016-05-09 17:12:02.160,manual,0.4,2.39
GS.OK035.HHZ.00,0.470748,251.34,Pg,2016-05-09 17:12:02.040,manual,-0.1,2.35
GS.OK040.HHZ.00,0.562437,228.097,Pg,2016-05-09 17:12:03.850,manual,0.0,2.14
GS.KS21.HNZ.20,0.579259,42.6101,Pg,2016-05-09 17:12:04.360,manual,0.2,2.11
GS.OK038.HHZ.00,0.607149,231.253,Pg,2016-05-09 17:12:04.910,manual,0.2,2.05
OK.BLOK.HHZ.--,0.760703,97.2424,Pg,2016-05-09 17:12:07.280,manual,-0.3,1.79
OK.NOKA.HHZ.--,0.663645,250.39,Pg,2016-05-09 17:12:04.570,manual,-1.2,1.95
OK.U32A.BHZ.--,0.83329,235.085,Pg,2016-05-09 17:12:08.850,manual,-0.2,1.69
OK.HTCH.HHZ.--,0.853769,189.732,Pg,2016-05-09 17:12:08.920,manual,-0.5,1.67
GS.OK029.HHZ.00,1.20267,151.766,Pn,2016-05-09 17:12:15.240,manual,-0.9,1.24
N4.R32B.BHZ.--,1.62074,344.355,Pn,2016-05-09 17:12:21.940,manual,0.0,1.18
GS.OK032.HH2.00,0.0720342,218.363,Sg,2016-05-09 17:11:56.580,manual,0.3,1.4
GS.KAN14.HNE.01,0.181294,57.8886,Sg,2016-05-09 17:11:59.940,manual,0.7,1.33
OK.GORE.HHN.--,0.18255,114.079,Sg,2016-05-09 17:11:59.770,manual,0.5,1.33
OK.GC02.EHE.--,0.236862,92.0607,Sg,2016-05-09 17:12:01.480,manual,0.6,1.3
