#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us200065bk
#time = 2016-06-19 01:52:23.500000
#location = 15km ESE of Pawnee, Oklahoma
#latitude = 36.2782
#longitude = -96.6473
#depth = 4.6
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us200065bk
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.11734,204.744,Pg,2016-06-19 01:52:26.390,manual,0.5,3.77
GS.OK033.HHZ.00,0.331443,225.341,Pg,2016-06-19 01:52:30.270,manual,0.4,2.76
GS.OK031.HHZ.00,0.359684,205.637,Pg,2016-06-19 01:52:30.880,manual,0.4,2.66
GS.OK034.HHZ.00,0.272713,191.299,Pg,2016-06-19 01:52:29.340,manual,0.5,2.98
GS.OK030.HHZ.00,0.36673,197.583,Pg,2016-06-19 01:52:31.080,manual,0.5,2.64
OK.DEOK.HHZ.--,0.45105,164.431,Pg,2016-06-19 01:52:32.710,manual,0.5,2.4
OK.BLOK.HHZ.--,0.664021,316.641,Pg,2016-06-19 01:52:36.170,manual,-0.1,1.95
OK.CHOK.HHZ.--,0.79056,205.277,Pg,2016-06-19 01:52:38.870,manual,0.2,1.75
GS.OK029.HHZ.00,0.812046,233.951,Pg,2016-06-19 01:52:39.140,manual,0.1,1.72
ZD.KNG1.EHZ.--,0.860184,260.565,Pg,2016-06-19 01:52:40.100,manual,0.1,1.66
GS.OK025.HHZ.00,0.89333,219.063,Pg,2016-06-19 01:52:40.550,manual,-0.1,1.62
OK.OKCSW.EHZ.--,1.08216,216.649,Pg,2016-06-19 01:52:44.150,manual,-0.1,1.42
OK.BCOK.HHZ.--,0.99681,231.808,Pg,2016-06-19 01:52:42.720,manual,0.1,1.5
OK.GC02.EHZ.--,1.13135,300.741,Pg,2016-06-19 01:52:44.720,manual,-0.5,1.38
OK.GORE.HHZ.--,1.16293,296.2,Pg,2016-06-19 01:52:45.670,manual,-0.1,1.35
GS.KAN13.HHZ.01,0.991868,317.917,Pg,2016-06-19 01:52:42.010,manual,-0.5,1.51
OK.RLOK.HHZ.--,1.31498,94.3356,Pn,2016-06-19 01:52:48.420,manual,-0.1,1.23
GS.KAN08.HHZ.01,1.42344,312.081,Pn,2016-06-19 01:52:50.170,manual,0.2,1.22
GS.OK032.HHZ.00,1.36373,293.086,Pn,2016-06-19 01:52:49.050,manual,-0.1,1.22
GS.KAN06.HHZ.01,1.37223,315.22,Pn,2016-06-19 01:52:49.330,manual,0.0,1.22
OK.OKCFA.HHZ.--,1.08083,217.424,Pg,2016-06-19 01:52:43.750,manual,-0.5,1.42
GS.KAN16.HHZ.01,1.47985,310.136,Pn,2016-06-19 01:52:50.910,manual,0.1,1.21
GS.OK038.HHZ.00,1.70233,277.354,Pn,2016-06-19 01:52:53.970,manual,0.1,1.18
GS.OK043.HHZ.00,1.70095,275.846,Pn,2016-06-19 01:52:54.480,manual,0.6,1.18
US.WMOK.BHZ.10,2.32188,229.18,Pn,2016-06-19 01:53:03.150,manual,0.8,1.1
OK.X37A.BHZ.--,1.98132,147.899,Pn,2016-06-19 01:52:58.070,manual,0.4,1.14
AG.HHAR.HHZ.00,2.18749,89.0995,Pn,2016-06-19 01:53:01.170,manual,0.7,1.11
OK.CROK.HHZ.--,1.1015,282.238,Pg,2016-06-19 01:52:44.280,manual,-0.3,1.4
GS.KS20.HHZ.00,1.19685,322.781,Pg,2016-06-19 01:52:45.940,manual,-0.5,1.32
TA.U40A.BHZ.--,3.06483,87.4196,Pn,2016-06-19 01:53:12.710,manual,0.2,1.02
N4.U38B.BHZ.--,1.83263,84.2941,Pn,2016-06-19 01:52:56.290,manual,0.7,1.16
N4.T35B.BHZ.--,0.646005,9.67028,Pg,2016-06-19 01:52:35.430,manual,-0.5,1.98
OK.FNO.HHZ.01,1.18888,211.265,Pg,2016-06-19 01:52:45.590,manual,-0.7,1.33
OK.CCOK.HHZ.--,1.23188,222.021,Pg,2016-06-19 01:52:46.170,manual,-1.0,1.3
