#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us2000670j
#time = 2016-06-26 18:58:25.400000
#location = 17km ENE of Mooreland, Oklahoma
#latitude = 36.5102
#longitude = -99.0255
#depth = 4.6
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us2000670j
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.NOKA.HHZ.--,0.145316,31.2042,Pg,2016-06-26 18:58:28.750,manual,0.4,3.6
GS.OK043.HHZ.00,0.238202,108.687,Pg,2016-06-26 18:58:30.470,manual,0.4,3.12
GS.OK040.HHZ.00,0.284461,95.3921,Pg,2016-06-26 18:58:31.270,manual,0.3,2.93
OK.ELIS.HHZ.--,0.545617,215.652,Pg,2016-06-26 18:58:35.740,manual,-0.2,2.18
OK.HTCH.HHZ.--,0.745421,131.106,Pg,2016-06-26 18:58:39.600,manual,-0.1,1.82
OK.BLOK.HHZ.--,1.47756,79.723,Pn,2016-06-26 18:58:52.750,manual,0.1,1.21
OK.CROK.HHZ.--,0.839617,90.0646,Pg,2016-06-26 18:58:41.340,manual,-0.2,1.69
OK.BCOK.HHZ.--,1.42876,126.174,Pn,2016-06-26 18:58:51.590,manual,-0.4,1.21
GS.OK025.HHZ.00,1.65227,123.635,Pn,2016-06-26 18:58:55.280,manual,0.2,1.18
OK.CCOK.HHZ.--,1.59991,135.6,Pn,2016-06-26 18:58:54.040,manual,-0.3,1.19
US.WMOK.BHZ.10,1.77965,173.494,Pn,2016-06-26 18:58:56.700,manual,-0.1,1.17
GS.KAN13.HHZ.01,1.34032,67.5549,Pn,2016-06-26 18:58:50.190,manual,-0.6,1.23
GS.OK033.HHZ.00,1.74949,104.79,Pn,2016-06-26 18:58:56.590,manual,0.2,1.17
OK.FNO.HHZ.01,1.81729,132.985,Pn,2016-06-26 18:58:58.060,manual,0.7,1.16
OK.CHOK.HHZ.--,1.85239,120.169,Pn,2016-06-26 18:58:58.360,manual,0.6,1.16
OK.X34A.HHZ.--,2.13891,152.603,Pn,2016-06-26 18:59:03.000,manual,1.3,1.12
OK.X37A.BHZ.--,3.54264,121.679,Pn,2016-06-26 18:59:20.800,manual,-0.2,0.97
N4.R32B.BHZ.--,1.92524,7.37064,Pn,2016-06-26 18:58:59.920,manual,1.1,1.15
GS.OK032.HHZ.00,0.717964,65.6693,Pg,2016-06-26 18:58:39.350,manual,0.2,2.03
GS.KAN12.HHZ.01,1.13827,46.0416,Pg,2016-06-26 18:58:46.730,manual,-0.5,1.37
GS.OK029.HHZ.00,1.45698,118.794,Pn,2016-06-26 18:58:52.090,manual,-0.3,1.21
N4.U38B.BHZ.--,3.74009,89.7022,Pn,2016-06-26 18:59:21.880,manual,-1.8,0.95
TA.T25A.BHZ.--,4.36586,279.87,Pn,2016-06-26 18:59:32.660,manual,0.2,0.9
GS.OK038.HHZ.00,0.230508,97.88,Pg,2016-06-26 18:58:29.470,manual,-0.4,3.16
ZD.KNG1.EHZ.--,1.13838,108.952,Pg,2016-06-26 18:58:46.630,manual,-0.6,1.37
GS.KAN17.HHZ.01,1.14389,61.8589,Pg,2016-06-26 18:58:46.590,manual,-0.7,1.37
GS.KAN01.HHZ.01,1.20193,57.3377,Pg,2016-06-26 18:58:47.390,manual,-1.1,1.32
GS.KS20.HHZ.00,1.38114,58.2316,Pn,2016-06-26 18:58:50.900,manual,-0.4,1.22
GS.OK030.HHZ.00,1.90359,107.113,Pn,2016-06-26 18:58:58.850,manual,0.4,1.15
TA.TUL1.BHZ.--,2.68262,101.934,Pn,2016-06-26 18:59:09.430,manual,0.2,1.06
OK.NOKA.HHN.--,0.145316,31.2042,Sg,2016-06-26 18:58:31.320,manual,1.0,1.35
GS.OK040.HH1.00,0.284461,95.3921,Sg,2016-06-26 18:58:35.710,manual,1.1,1.28
OK.ELIS.HHE.--,0.545617,215.652,Sg,2016-06-26 18:58:44.230,manual,1.2,1.16
