#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20006evj
#time = 2016-07-15 08:11:02.300000
#location = 25km W of Perry, Oklahoma
#latitude = 36.2749
#longitude = -97.5662
#depth = 5.0
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20006evj
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.KNG1.EHZ.--,0.176601,216.351,Pg,2016-07-15 08:11:06.150,manual,0.4,3.42
GS.OK029.HHZ.00,0.48575,169.265,Pg,2016-07-15 08:11:11.900,manual,0.6,2.31
OK.CROK.HHZ.--,0.407333,304.389,Pg,2016-07-15 08:11:10.530,manual,0.6,2.52
OK.BLOK.HHZ.--,0.561265,30.1657,Pg,2016-07-15 08:11:13.380,manual,0.7,2.14
OK.BCOK.HHZ.--,0.617889,183.256,Pg,2016-07-15 08:11:14.250,manual,0.5,2.03
GS.OK031.HHZ.00,0.670632,118.396,Pg,2016-07-15 08:11:15.320,manual,0.7,1.94
OK.QUOK.HHZ.--,0.70159,98.2122,Pg,2016-07-15 08:11:15.880,manual,0.6,1.88
GS.OK030.HHZ.00,0.722124,118.433,Pg,2016-07-15 08:11:16.300,manual,0.7,1.85
OK.HTCH.HHZ.--,0.671628,247.704,Pg,2016-07-15 08:11:15.200,manual,0.5,1.93
GS.KAN05.HHZ.01,0.867696,343.619,Pg,2016-07-15 08:11:18.920,manual,0.8,2.27
GS.KAN13.HHZ.01,0.739987,5.48722,Pg,2016-07-15 08:11:16.580,manual,0.6,1.82
OK.OKCSW.EHZ.--,0.873779,173.116,Pg,2016-07-15 08:11:19.000,manual,0.7,2.26
OK.OKCFA.HHZ.--,0.862827,173.761,Pg,2016-07-15 08:11:18.740,manual,0.7,2.27
OK.DEOK.HHZ.--,0.96683,116.178,Pg,2016-07-15 08:11:20.490,manual,0.6,2.16
OK.GORE.HHZ.--,0.5949,329.069,Pg,2016-07-15 08:11:13.880,manual,0.6,2.07
OK.GC02.EHZ.--,0.622061,337.77,Pg,2016-07-15 08:11:14.330,manual,0.5,2.02
OK.FNO.HHZ.01,1.02414,172.423,Pg,2016-07-15 08:11:21.660,manual,0.8,2.1
OK.CCOK.HHZ.--,0.919047,184.586,Pg,2016-07-15 08:11:19.620,manual,0.6,2.21
GS.KAN06.HHZ.01,0.99921,346.496,Pg,2016-07-15 08:11:21.320,manual,0.9,2.12
GS.OK043.HHZ.00,0.965208,279.782,Pg,2016-07-15 08:11:20.500,manual,0.7,2.16
GS.OK038.HHZ.00,0.97051,282.415,Pg,2016-07-15 08:11:20.600,manual,0.7,2.15
OK.U32A.BHZ.--,1.16367,275.572,Pg,2016-07-15 08:11:24.090,manual,0.8,1.97
GS.KAN14.HHZ.01,0.751722,334.987,Pg,2016-07-15 08:11:16.720,manual,0.6,1.81
OK.NOKA.HHZ.--,1.15813,288.467,Pg,2016-07-15 08:11:24.080,manual,0.9,1.97
GS.OK040.HHZ.00,0.917862,283.399,Pg,2016-07-15 08:11:19.670,manual,0.7,2.21
US.WMOK.BHZ.10,1.82584,213.222,Pn,2016-07-15 08:11:34.330,manual,0.3,1.16
OK.ELIS.HHZ.--,1.51289,262.6,Pg,2016-07-15 08:11:30.250,manual,0.9,1.7
N4.T35B.BHZ.--,1.06279,52.6575,Pg,2016-07-15 08:11:22.850,manual,1.3,2.06
TA.TUL1.BHZ.--,1.48238,103.68,Pg,2016-07-15 08:11:29.280,manual,0.5,1.72
OK.CSTR.HHZ.--,1.10633,235.746,Pg,2016-07-15 08:11:23.280,manual,1.0,2.02
