#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20006exl
#time = 2016-07-15 13:21:24.900000
#location = 5km NNE of Medford, Oklahoma
#latitude = 36.8465
#longitude = -97.7049
#depth = 5.3
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20006exl
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GORE.HHZ.--,0.203642,252.706,Pg,2016-07-15 13:21:29.360,manual,0.4,3.28
OK.GC02.EHZ.--,0.124187,272.35,Pg,2016-07-15 13:21:27.910,manual,0.4,3.73
GS.KAN17.HHZ.01,0.202983,346.343,Pg,2016-07-15 13:21:29.450,manual,0.5,3.29
OK.CROK.HHZ.--,0.408048,213.361,Pg,2016-07-15 13:21:32.960,manual,0.2,2.52
GS.KAN13.HHZ.01,0.246377,47.546,Pg,2016-07-15 13:21:30.120,manual,0.4,3.09
GS.KAN14.HHZ.01,0.234355,298.096,Pg,2016-07-15 13:21:29.980,manual,0.5,3.14
GS.KAN01.HHZ.01,0.309373,351.969,Pg,2016-07-15 13:21:31.370,manual,0.5,2.84
GS.OK032.HHZ.00,0.407843,264.153,Pg,2016-07-15 13:21:32.960,manual,0.2,2.52
GS.KAN05.HHZ.01,0.293954,332.919,Pg,2016-07-15 13:21:31.170,manual,0.6,2.89
ZD.KNG1.EHZ.--,0.712822,179.388,Pg,2016-07-15 13:21:38.470,manual,-0.1,1.87
GS.KS20.HHZ.00,0.40102,17.4427,Pg,2016-07-15 13:21:33.020,manual,0.4,2.54
GS.KAN12.HHZ.01,0.507458,332.575,Pg,2016-07-15 13:21:34.740,manual,0.1,2.26
OK.CHOK.HHZ.--,1.38435,157.722,Pn,2016-07-15 13:21:49.610,manual,-1.2,1.22
GS.OK038.HHZ.00,0.911475,246.527,Pg,2016-07-15 13:21:41.820,manual,-0.6,1.6
US.WMOK.BHZ.10,2.27858,202.888,Pn,2016-07-15 13:22:03.410,manual,0.3,1.1
GS.OK040.HHZ.00,0.85964,245.32,Pg,2016-07-15 13:21:40.830,manual,-0.6,1.66
GS.OK030.HHZ.00,1.18027,140.696,Pg,2016-07-15 13:21:46.540,manual,-1.0,1.34
OK.DEOK.HHZ.--,1.39731,135.442,Pn,2016-07-15 13:21:50.430,manual,-0.5,1.22
TA.KSCO.BHZ.--,4.45121,300.536,Pn,2016-07-15 13:22:32.210,manual,-0.8,0.89
US.AMTX.BHZ.00,3.77646,239.94,Pn,2016-07-15 13:22:23.150,manual,-0.5,0.95
N4.T35B.BHZ.--,0.959079,85.4826,Pg,2016-07-15 13:21:43.090,manual,-0.2,1.54
N4.S39B.BHZ.--,3.5958,75.1242,Pn,2016-07-15 13:22:19.810,manual,-1.3,0.97
NQ.OK916.HNZ.01,0.0520028,221.217,Pg,2016-07-15 13:21:26.600,manual,0.3,4.24
OK.BLOK.HHZ.--,0.402446,102.153,Pg,2016-07-15 13:21:32.830,manual,0.2,2.53
GS.KAN10.HHZ.01,0.417207,311.623,Pg,2016-07-15 13:21:33.370,manual,0.4,2.49
GS.KAN08.HHZ.01,0.435107,330.793,Pg,2016-07-15 13:21:33.880,manual,0.6,2.44
GS.KAN16.HHZ.01,0.47547,322.842,Pg,2016-07-15 13:21:33.920,manual,-0.1,2.34
OK.HTCH.HHZ.--,0.9703,211.639,Pg,2016-07-15 13:21:43.160,manual,-0.4,1.53
OK.QUOK.HHZ.--,1.04834,129.695,Pg,2016-07-15 13:21:44.440,manual,-0.6,1.45
GS.OK029.HHZ.00,1.06705,169.019,Pg,2016-07-15 13:21:45.230,manual,-0.1,1.44
GS.OK031.HHZ.00,1.13264,141.666,Pg,2016-07-15 13:21:46.050,manual,-0.6,1.38
OK.U32A.BHZ.--,1.14253,246.312,Pg,2016-07-15 13:21:46.240,manual,-0.6,1.37
GS.OK034.HHZ.00,1.15597,135.925,Pg,2016-07-15 13:21:46.710,manual,-0.4,1.36
OK.BCOK.HHZ.--,1.18989,176.248,Pg,2016-07-15 13:21:47.150,manual,-0.6,1.33
GS.OK025.HHZ.00,1.29722,166.665,Pn,2016-07-15 13:21:48.840,manual,-0.8,1.23
OK.CSTR.HHZ.--,1.43838,213.865,Pn,2016-07-15 13:21:50.570,manual,-1.0,1.21
OK.CCOK.HHZ.--,1.48714,178.463,Pn,2016-07-15 13:21:52.100,manual,-0.1,1.21
OK.FNO.HHZ.01,1.60477,171.089,Pn,2016-07-15 13:21:53.500,manual,-0.3,1.19
N4.R32B.BHZ.--,1.76442,333.387,Pn,2016-07-15 13:21:54.410,manual,-1.6,1.17
TA.TUL1.BHZ.--,1.80442,120.61,Pn,2016-07-15 13:21:57.320,manual,0.8,1.16
OK.X34A.HHZ.--,2.24307,182.693,Pn,2016-07-15 13:22:02.060,manual,-0.5,1.11
OK.RLOK.HHZ.--,2.2615,106.633,Pn,2016-07-15 13:22:04.460,manual,1.6,1.11
US.CBKS.BHZ.00,2.53915,321.29,Pn,2016-07-15 13:22:06.990,manual,0.3,1.07
OK.X37A.BHZ.--,2.94588,139.18,Pn,2016-07-15 13:22:10.870,manual,-1.3,1.03
AG.HHAR.HHZ.00,3.08281,99.4039,Pn,2016-07-15 13:22:12.970,manual,-1.1,1.02
US.MIAR.BHZ.00,4.06929,123.126,Pn,2016-07-15 13:22:27.600,manual,0.0,0.93
N4.P38B.BHZ.--,4.29937,48.554,Pn,2016-07-15 13:22:29.690,manual,-1.1,0.91
NM.MGMO.BHZ.--,4.36227,84.3324,Pn,2016-07-15 13:22:30.990,manual,-0.7,0.9
N4.P40B.BHZ.--,5.19893,57.266,Pn,2016-07-15 13:22:41.410,manual,-1.7,0.84
IU.CCM.BHZ.10,5.27992,74.8359,Pn,2016-07-15 13:22:43.600,manual,-0.6,0.83
NQ.OK916.HNN.01,0.0520028,221.217,Sg,2016-07-15 13:21:27.650,manual,0.4,1.41
OK.GC02.EHN.--,0.124187,272.35,Sg,2016-07-15 13:21:29.920,manual,0.7,1.37
GS.KAN17.HNE.01,0.202983,346.343,Sg,2016-07-15 13:21:31.970,manual,0.4,1.32
OK.GORE.HHN.--,0.203642,252.706,Sg,2016-07-15 13:21:31.980,manual,0.3,1.32
GS.KAN14.HNE.01,0.234355,298.096,Sg,2016-07-15 13:21:33.200,manual,0.6,1.3
GS.KAN13.HHN.01,0.246377,47.546,Sg,2016-07-15 13:21:33.430,manual,0.4,1.3
GS.KAN05.HHE.01,0.293954,332.919,Sg,2016-07-15 13:21:34.970,manual,0.5,1.27
GS.KAN01.HNE.01,0.309373,351.969,Sg,2016-07-15 13:21:35.470,manual,0.5,1.27
GS.KS20.HH2.00,0.40102,17.4427,Sg,2016-07-15 13:21:38.280,manual,0.4,1.22
GS.OK032.HH2.00,0.407843,264.153,Sg,2016-07-15 13:21:38.200,manual,0.1,1.22
OK.CROK.HHN.--,0.408048,213.361,Sg,2016-07-15 13:21:38.630,manual,0.5,1.22
GS.KAN10.HNE.01,0.417207,311.623,Sg,2016-07-15 13:21:39.020,manual,0.6,1.21
GS.KAN08.HHN.01,0.435107,330.793,Sg,2016-07-15 13:21:39.580,manual,0.6,1.21
GS.KAN16.HHN.01,0.47547,322.842,Sg,2016-07-15 13:21:40.560,manual,0.3,1.19
GS.KAN12.HHN.01,0.507458,332.575,Sg,2016-07-15 13:21:42.030,manual,0.7,1.17
ZD.KNG1.EHN.--,0.712822,179.388,Sg,2016-07-15 13:21:48.090,manual,0.2,1.09
GS.OK040.HH2.00,0.85964,245.32,Sg,2016-07-15 13:21:52.400,manual,-0.2,1.04
GS.OK038.HH2.00,0.911475,246.527,Sg,2016-07-15 13:21:54.030,manual,-0.2,1.02
N4.T35B.BHN.--,0.959079,85.4826,Sg,2016-07-15 13:21:55.160,manual,-0.6,1.01
OK.HTCH.HHN.--,0.9703,211.639,Sg,2016-07-15 13:21:56.020,manual,-0.1,1.0
OK.QUOK.HHN.--,1.04834,129.695,Sg,2016-07-15 13:21:58.370,manual,-0.2,0.98
GS.OK029.HH2.00,1.06705,169.019,Sg,2016-07-15 13:21:58.940,manual,-0.3,0.97
GS.OK031.HH2.00,1.13264,141.666,Sg,2016-07-15 13:22:01.050,manual,-0.3,0.95
OK.U32A.BHN.--,1.14253,246.312,Sg,2016-07-15 13:22:01.030,manual,-0.6,0.95
GS.OK034.HH2.00,1.15597,135.925,Sg,2016-07-15 13:22:01.930,manual,-0.1,0.95
GS.OK030.HH2.00,1.18027,140.696,Sg,2016-07-15 13:22:02.820,manual,0.0,0.94
OK.BCOK.HHN.--,1.18989,176.248,Sg,2016-07-15 13:22:02.790,manual,-0.4,0.94
