#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20006hme
#time = 2016-07-26 00:46:20.800000
#location = 33km NW of Fairview, Oklahoma
#latitude = 36.4507
#longitude = -98.7721
#depth = 8.1
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20006hme
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.U32A.BHZ.--,0.198141,249.053,Pg,2016-07-26 00:46:25.120,manual,0.3,3.31
GS.OK035.HHZ.00,0.261856,11.0403,Pg,2016-07-26 00:46:26.310,automatic,0.3,3.02
GS.OK040.HHZ.00,0.085284,67.8346,Pg,2016-07-26 00:46:23.320,manual,0.3,3.99
OK.CROK.HHZ.--,0.637967,84.9197,Pg,2016-07-26 00:46:33.040,manual,-0.1,1.99
GS.OK038.HHZ.00,0.0365267,41.281,Pg,2016-07-26 00:46:22.730,manual,0.3,4.37
OK.CSTR.HHZ.--,0.806246,175.178,Pg,2016-07-26 00:46:36.260,manual,-0.1,1.73
ZD.KNG1.EHZ.--,0.926008,109.749,Pg,2016-07-26 00:46:38.230,manual,-0.4,1.58
OK.GC02.EHZ.--,0.835778,61.1329,Pg,2016-07-26 00:46:36.520,manual,-0.4,1.69
ZD.RH09.EHZ.--,0.804611,127.769,Pg,2016-07-26 00:46:36.160,manual,-0.1,1.73
OK.BLOK.HHZ.--,1.29055,75.6701,Pn,2016-07-26 00:46:44.690,manual,-0.4,1.23
ZD.RH08.EHZ.--,0.896267,149.925,Pg,2016-07-26 00:46:37.980,manual,0.0,1.62
US.WMOK.BHZ.10,1.70907,180.237,Pn,2016-07-26 00:46:50.550,automatic,-0.3,1.17
OK.QUOK.HHZ.--,1.69029,98.8793,Pn,2016-07-26 00:46:51.010,manual,0.5,1.17
OK.CHOK.HHZ.--,1.64686,122.113,Pn,2016-07-26 00:46:50.580,manual,0.6,1.18
GS.OK031.HHZ.00,1.64039,107.048,Pn,2016-07-26 00:46:50.120,manual,0.3,1.18
GS.OK043.HHZ.00,0.0274124,129.03,Pg,2016-07-26 00:46:22.510,manual,0.1,4.46
TA.TUL1.BHZ.--,2.47055,101.723,Pn,2016-07-26 00:47:02.830,manual,1.6,1.08
NQ.OK914.HNZ.01,1.6615,106.17,Pn,2016-07-26 00:46:48.280,manual,-1.9,1.18
OK.ELIS.HHZ.--,0.648426,233.811,Pg,2016-07-26 00:46:34.860,manual,1.5,1.97
ZD.RH04.EHZ.--,2.13848,121.705,Pn,2016-07-26 00:46:58.460,automatic,1.8,1.12
GS.OK038.HH1.00,0.0365267,41.281,Sg,2016-07-26 00:46:24.100,manual,0.5,1.42
GS.OK043.HH1.00,0.0274124,129.03,Sg,2016-07-26 00:46:23.820,manual,0.3,1.43
OK.U32A.BHE.--,0.198141,249.053,Sg,2016-07-26 00:46:28.420,manual,0.8,1.32
OK.NOKA.HHZ.--,0.224241,325.026,Pg,2016-07-26 00:46:25.730,manual,0.4,3.19
GS.OK040.HH1.00,0.085284,67.8346,Sg,2016-07-26 00:46:25.150,manual,0.6,1.39
OK.NOKA.HHE.--,0.224241,325.026,Sg,2016-07-26 00:46:29.220,manual,0.8,1.31
OK.HTCH.HHZ.--,0.55986,140.484,Pg,2016-07-26 00:46:31.720,manual,0.1,2.15
GS.OK035.HH2.00,0.261856,11.0403,Sg,2016-07-26 00:46:30.500,manual,0.9,1.29
OK.HTCH.HHE.--,0.55986,140.484,Sg,2016-07-26 00:46:39.440,manual,0.5,1.15
OK.CROK.HHN.--,0.637967,84.9197,Sg,2016-07-26 00:46:41.790,manual,0.4,1.12
GS.KAN14.HHZ.01,0.823376,51.9179,Pg,2016-07-26 00:46:36.190,manual,-0.4,1.71
GS.OK029.HHZ.00,1.25033,121.081,Pn,2016-07-26 00:46:43.680,manual,-0.8,1.24
OK.BCOK.HHZ.--,1.23111,129.717,Pn,2016-07-26 00:46:43.380,manual,-0.9,1.24
GS.OK025.HHZ.00,1.45084,126.311,Pn,2016-07-26 00:46:47.150,manual,-0.1,1.21
GS.OK034.HHZ.00,1.72171,104.183,Pn,2016-07-26 00:46:50.780,manual,-0.2,1.17
GS.OK030.HHZ.00,1.69094,107.386,Pn,2016-07-26 00:46:50.910,manual,0.4,1.17
OK.FNO.HHZ.01,1.63036,136.512,Pn,2016-07-26 00:46:50.800,manual,1.1,1.18
OK.X34A.HHZ.--,1.99837,157.177,Pn,2016-07-26 00:46:56.310,manual,1.5,1.13
OK.DEOK.HHZ.--,1.93777,107.574,Pn,2016-07-26 00:46:54.440,manual,0.5,1.14
N4.R32B.BHZ.--,1.96891,1.39475,Pn,2016-07-26 00:46:55.530,manual,1.1,1.14
OK.RLOK.HHZ.--,3.03814,94.2245,Pn,2016-07-26 00:47:08.770,manual,-0.3,0.0
OK.X37A.BHZ.--,3.33823,122.806,Pn,2016-07-26 00:47:13.370,manual,0.2,0.0
N4.T35B.BHZ.--,1.8753,74.9829,Pn,2016-07-26 00:46:54.190,manual,1.1,1.15
ZD.RH03.EHZ.--,1.79587,115.724,Pn,2016-07-26 00:46:52.050,manual,0.1,1.16
ZW.AZDA.EHZ.01,3.61143,163.536,Pn,2016-07-26 00:47:16.640,manual,-0.3,0.0
N4.U38B.BHZ.--,3.5366,88.8793,Pn,2016-07-26 00:47:16.050,manual,0.2,0.0
GS.KAN10.HHZ.01,0.863886,38.7827,Pg,2016-07-26 00:46:37.000,manual,-0.4,1.66
GS.KAN16.HHZ.01,0.959298,36.0587,Pg,2016-07-26 00:46:38.860,manual,-0.4,1.54
GS.KAN05.HHZ.01,0.976242,47.4622,Pg,2016-07-26 00:46:38.080,manual,-1.5,1.53
GS.KAN17.HHZ.01,1.00267,53.4942,Pg,2016-07-26 00:46:39.460,manual,-0.6,1.5
GS.KAN08.HHZ.01,1.00648,39.4492,Pg,2016-07-26 00:46:39.600,manual,-0.5,1.49
GS.KAN12.HHZ.01,1.04856,36.0663,Pg,2016-07-26 00:46:40.560,manual,-0.4,1.45
GS.KAN01.HHZ.01,1.07382,48.9189,Pg,2016-07-26 00:46:40.500,manual,-0.9,1.43
GS.KAN06.HHZ.01,1.08175,42.3658,Pg,2016-07-26 00:46:41.470,manual,-0.1,1.42
GS.KAN13.HHZ.01,1.18152,61.2608,Pg,2016-07-26 00:46:42.430,manual,-1.0,1.34
GS.KS21.HNZ.20,1.21941,46.5033,Pn,2016-07-26 00:46:43.570,manual,-0.5,1.24
OK.CCOK.HHZ.--,1.41859,139.978,Pn,2016-07-26 00:46:47.310,manual,0.5,1.21
ZD.RH05.EHZ.--,1.35439,155.084,Pn,2016-07-26 00:46:44.680,manual,-1.3,1.22
ZD.RH07.EHZ.--,1.42819,111.017,Pn,2016-07-26 00:46:46.820,manual,-0.1,1.21
OK.OKCFA.HHZ.--,1.48872,133.56,Pn,2016-07-26 00:46:47.440,manual,-0.4,1.2
OK.OKCSW.EHZ.--,1.50338,133.535,Pn,2016-07-26 00:46:48.370,manual,0.4,1.2
US.CBKS.BHZ.00,2.48052,342.297,Pn,2016-07-26 00:47:01.770,manual,0.3,0.0
OK.LOOK.HHZ.--,2.77748,151.549,Pn,2016-07-26 00:47:05.660,manual,0.2,0.0
US.AMTX.BHZ.00,2.83781,237.423,Pn,2016-07-26 00:47:04.610,manual,-1.8,0.0
US.KSU1.BHZ.10,3.15199,32.2754,Pn,2016-07-26 00:47:11.110,manual,0.5,0.0
N4.Z35B.BHZ.--,3.35353,157.701,Pn,2016-07-26 00:47:12.850,manual,-0.5,0.0
TA.ABTX.BHZ.--,3.88473,190.915,Pn,2016-07-26 00:47:19.970,manual,-0.7,0.0
AG.HHAR.HHZ.00,3.9034,91.0371,Pn,2016-07-26 00:47:21.230,manual,0.3,0.0
N4.S39B.BHZ.--,4.53028,72.5134,Pn,2016-07-26 00:47:29.860,manual,0.3,0.0
TA.T25A.BHZ.--,4.57733,280.311,Pn,2016-07-26 00:47:29.910,manual,-0.5,0.0
