#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20007cb5
#time = 2016-10-06 08:23:13.400000
#location = 8km WNW of Luther, Oklahoma
#latitude = 35.6920
#longitude = -97.2845
#depth = 6.9
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20007cb5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.173521,307.028,Pg,2016-10-06 08:23:17.210,manual,0.4,3.44
OK.BCOK.HHZ.--,0.266785,262.508,Pg,2016-10-06 08:23:18.890,manual,0.4,3.0
GS.OK033.HHZ.00,0.450302,38.5538,Pg,2016-10-06 08:23:22.520,manual,0.7,2.4
OK.OKCSW.EHZ.--,0.312079,203.692,Pg,2016-10-06 08:23:19.830,manual,0.5,2.83
OK.CCOK.HHZ.--,0.45138,222.293,Pg,2016-10-06 08:23:22.350,manual,0.5,2.4
ZD.RH03.EHZ.--,0.408152,95.3259,Pg,2016-10-06 08:23:21.660,manual,0.6,2.52
OK.FNO.HHZ.01,0.443978,192.422,Pg,2016-10-06 08:23:22.220,manual,0.5,2.42
ZD.KNG1.EHZ.--,0.551691,322.908,Pg,2016-10-06 08:23:24.140,manual,0.5,2.16
ZD.RH11.EHZ.--,0.568225,4.03734,Pg,2016-10-06 08:23:24.530,manual,0.6,2.13
OK.HTCH.HHZ.--,0.911222,291.162,Pg,2016-10-06 08:23:30.540,manual,0.6,2.15
ZD.RH05.EHZ.--,0.800486,233.988,Pg,2016-10-06 08:23:28.850,manual,0.9,2.27
GS.OK032.HHZ.00,1.33836,326.27,Pg,2016-10-06 08:23:38.040,manual,0.7,1.78
OK.X34A.HHZ.--,1.17754,202.581,Pg,2016-10-06 08:23:35.780,manual,1.3,1.9
OK.GC02.EHZ.--,1.24697,338.288,Pg,2016-10-06 08:23:36.580,manual,0.9,1.84
GS.OK025.HHZ.00,0.118901,201.474,Pg,2016-10-06 08:23:16.340,manual,0.4,3.76
OK.U32A.BHZ.--,1.55148,296.747,Pg,2016-10-06 08:23:41.520,manual,0.5,1.64
OK.CHOK.HHZ.--,0.223885,125.626,Pg,2016-10-06 08:23:18.410,manual,0.7,3.19
GS.OK034.HHZ.00,0.562342,55.4555,Pg,2016-10-06 08:23:24.450,manual,0.6,2.14
OK.QUOK.HHZ.--,0.669148,44.1948,Pg,2016-10-06 08:23:26.410,manual,0.7,2.43
OK.DEOK.HHZ.--,0.656824,76.5355,Pg,2016-10-06 08:23:25.790,manual,0.3,2.45
GS.OK045.HHZ.00,0.808416,21.0116,Pg,2016-10-06 08:23:29.020,manual,0.9,2.26
GS.OK044.HHZ.00,0.786131,30.0795,Pg,2016-10-06 08:23:28.360,manual,0.6,2.28
GS.OK048.HHZ.00,0.773655,20.8131,Pg,2016-10-06 08:23:28.350,manual,0.8,2.3
GS.OK050.HHZ.00,0.74272,19.1984,Pg,2016-10-06 08:23:27.750,manual,0.8,2.34
GS.OK046.HHZ.00,0.767224,23.3633,Pg,2016-10-06 08:23:28.180,manual,0.8,2.31
GS.OK051.HHZ.00,0.889093,23.9813,Pg,2016-10-06 08:23:30.400,manual,0.9,2.17
ZD.RH09.EHZ.--,0.628934,294.798,Pg,2016-10-06 08:23:25.540,manual,0.5,2.01
GS.OK031.HHZ.00,0.445985,54.124,Pg,2016-10-06 08:23:22.370,manual,0.6,2.41
GS.OK049.HHZ.00,0.71359,358.711,Pg,2016-10-06 08:23:27.120,manual,0.6,2.37
OK.CROK.HHZ.--,0.988997,325.293,Pg,2016-10-06 08:23:32.050,manual,0.8,2.07
US.WMOK.BHZ.10,1.55144,232.585,Pg,2016-10-06 08:23:41.380,manual,0.4,1.64
GS.OK038.HHZ.00,1.41763,304.03,Pg,2016-10-06 08:23:39.220,manual,0.5,1.72
GS.OK035.HHZ.00,1.53531,311.758,Pg,2016-10-06 08:23:41.220,manual,0.5,1.65
OK.X37A.BHZ.--,1.91544,124.505,Pn,2016-10-06 08:23:47.460,manual,1.3,1.15
GS.OK005.HNZ.01,0.0845786,115.931,Pg,2016-10-06 08:23:15.890,manual,0.5,3.99
GS.OK005.HNN.01,0.0845786,115.931,Sg,2016-10-06 08:23:17.660,manual,0.8,1.39
GS.OK025.HH2.00,0.118901,201.474,Sg,2016-10-06 08:23:18.400,manual,0.6,1.37
OK.CHOK.HHE.--,0.223885,125.626,Sg,2016-10-06 08:23:21.870,manual,1.0,1.31
OK.BCOK.HHN.--,0.266785,262.508,Sg,2016-10-06 08:23:22.860,manual,0.7,1.29
