#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20007edp
#time = 2016-10-15 16:18:17.500000
#location = 33km NW of Fairview, Oklahoma
#latitude = 36.4498
#longitude = -98.7777
#depth = 7.2
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20007edp
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK038.HHZ.00,0.0402781,45.2644,Pg,2016-10-15 16:18:19.220,manual,0.2,4.34
OK.U32A.BHZ.--,0.193605,248.821,Pg,2016-10-15 16:18:21.620,manual,0.2,3.33
OK.NOKA.HHZ.--,0.222429,326.109,Pg,2016-10-15 16:18:22.350,manual,0.4,3.2
GS.OK035.HHZ.00,0.263637,11.9627,Pg,2016-10-15 16:18:23.110,manual,0.4,3.01
GS.OK032.HHZ.00,0.577142,52.0846,Pg,2016-10-15 16:18:28.560,manual,-0.1,2.11
OK.CROK.HHZ.--,0.642544,84.8722,Pg,2016-10-15 16:18:28.170,manual,-1.7,1.99
OK.CSTR.HHZ.--,0.805744,174.85,Pg,2016-10-15 16:18:31.820,manual,-1.2,1.73
ZD.KNG1.EHZ.--,0.929957,109.6,Pg,2016-10-15 16:18:33.740,manual,-1.6,1.58
OK.U32A.BHE.--,0.193605,248.821,Sg,2016-10-15 16:18:24.910,manual,0.8,1.33
OK.NOKA.HHN.--,0.222429,326.109,Sg,2016-10-15 16:18:25.800,manual,0.8,1.31
GS.OK032.HH2.00,0.577142,52.0846,Sg,2016-10-15 16:18:36.630,manual,0.5,1.14
OK.GC02.EHZ.--,0.840167,61.2245,Pg,2016-10-15 16:18:33.170,manual,-0.5,1.69
N4.T35B.BHZ.--,1.8799,74.9888,Pn,2016-10-15 16:18:49.560,manual,-0.4,1.15
ZD.RH09.EHZ.--,0.807637,127.519,Pg,2016-10-15 16:18:31.680,manual,-1.3,1.73
GS.OK029.HHZ.00,1.25374,120.936,Pn,2016-10-15 16:18:40.140,manual,-1.2,1.24
Y7.PW15.EHZ.--,1.42221,88.7199,Pn,2016-10-15 16:18:42.630,manual,-1.0,1.21
GS.OK048.HHZ.00,1.47939,90.7541,Pn,2016-10-15 16:18:42.250,manual,-2.2,1.2
Y7.PW14.EHZ.--,1.48122,93.6292,Pn,2016-10-15 16:18:42.680,manual,-1.8,1.2
GS.OK046.HHZ.00,1.50938,91.4375,Pn,2016-10-15 16:18:43.160,manual,-1.7,1.2
GS.PW02.CHZ.--,1.51003,90.0003,Pn,2016-10-15 16:18:43.120,manual,-1.8,1.2
US.WMOK.BHZ.10,1.70816,180.083,Pn,2016-10-15 16:18:46.930,manual,-0.7,1.17
OK.X34A.HHZ.--,1.9993,157.044,Pn,2016-10-15 16:18:49.940,manual,-1.7,1.13
GS.OK033.HHZ.00,1.54101,104.675,Pn,2016-10-15 16:18:43.410,manual,-1.9,1.19
