#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20007g02
#time = 2016-10-21 20:26:00.500000
#location = 33km NW of Fairview, Oklahoma
#latitude = 36.4493
#longitude = -98.7758
#depth = 7.1
#magnitude = 4.0
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20007g02
#us_Mwr_mrr = -145400000000000
#us_Mwr_mtt = 1146700000000000
#us_Mwr_mpp = -1001300000000000
#us_Mwr_mrt = -210900000000000
#us_Mwr_mrp = 21000000000000
#us_Mwr_mtp = 133500000000000
#us_Mwr_np1_strike = 311.74
#us_Mwr_np1_dip = 85.34
#us_Mwr_np1_rake = 7.96
#us_Mwr_np2_strike = 221.09
#us_Mwr_np2_dip = 82.06
#us_Mwr_np2_rake = 175.29
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN14.HHZ.01,0.826587,51.967,Pg,2016-10-21 20:26:16.130,manual,0.0,2.3
GS.KAN08.HHZ.01,1.00946,39.5274,Pg,2016-10-21 20:26:19.450,manual,0.0,2.1
GS.KAN16.HHZ.01,0.962185,36.1512,Pg,2016-10-21 20:26:18.850,manual,0.3,2.15
GS.KAN01.HHZ.01,1.07698,48.965,Pg,2016-10-21 20:26:20.650,manual,0.1,2.03
GS.KAN06.HHZ.01,1.08479,42.4303,Pg,2016-10-21 20:26:20.730,manual,0.0,2.03
GS.KS20.HHZ.00,1.25178,51.1554,Pg,2016-10-21 20:26:23.740,manual,0.1,1.88
Y7.PW14.EHZ.--,1.47966,93.6148,Pg,2016-10-21 20:26:27.520,manual,-0.2,0.0
GS.OK025.HHZ.00,1.45242,126.195,Pg,2016-10-21 20:26:27.180,manual,-0.1,0.0
OK.OKCSW.EHZ.--,1.50458,133.416,Pg,2016-10-21 20:26:27.880,manual,-0.3,0.0
US.MIAR.BHZ.00,4.64754,112.596,Pn,2016-10-21 20:27:11.210,manual,-1.5,0.0
GS.OK038.HHZ.00,0.039567,43.1909,Pg,2016-10-21 20:26:01.470,manual,-0.5,4.35
OK.NOKA.HHZ.--,0.223699,325.855,Pg,2016-10-21 20:26:05.400,manual,-0.1,3.35
NM.MGMO.BHZ.--,5.26892,80.388,Pn,2016-10-21 20:27:19.810,manual,-1.6,0.0
OK.CROK.HHZ.--,0.641064,84.8167,Pg,2016-10-21 20:26:12.750,manual,-0.1,2.54
US.SDCO.BHZ.00,5.52941,285.544,Pn,2016-10-21 20:27:24.120,manual,-1.2,0.0
SC.CPRX.EHZ.00,5.40331,232.351,Pn,2016-10-21 20:27:22.180,manual,-1.2,0.0
OK.U32A.BHZ.--,0.194856,249.121,Pg,2016-10-21 20:26:04.740,manual,-0.3,3.43
SC.HTMS.EHZ.00,5.64223,226.739,Pn,2016-10-21 20:27:26.010,manual,-0.7,0.0
AG.WHAR.HHZ.00,5.39302,100.469,Pn,2016-10-21 20:27:21.580,manual,-1.5,0.0
SC.SSS.EHZ.00,5.5923,224.432,Pn,2016-10-21 20:27:25.480,manual,-0.5,0.0
OK.HTCH.HHZ.--,0.56069,140.156,Pg,2016-10-21 20:26:11.400,manual,-0.1,2.67
OK.GC02.EHZ.--,0.839065,61.1455,Pg,2016-10-21 20:26:16.320,manual,-0.1,2.28
TA.BGNE.BHZ.--,4.97584,5.43278,Pn,2016-10-21 20:27:15.630,manual,-1.7,0.0
N4.237B.BHZ.--,5.07174,150.159,Pn,2016-10-21 20:27:16.190,manual,-2.4,0.0
N4.Z38B.BHZ.--,4.4537,134.489,Pn,2016-10-21 20:27:08.470,manual,-1.6,0.0
TA.435B.BHZ.--,5.73833,169.694,Pn,2016-10-21 20:27:25.630,manual,-2.3,0.0
N4.N33B.BHZ.--,4.40522,13.2193,Pn,2016-10-21 20:27:07.290,manual,-2.1,0.0
GS.OK005.HNZ.01,1.50912,121.22,Pg,2016-10-21 20:26:28.030,manual,-0.2,0.0
ZD.RH09.EHZ.--,0.806118,127.559,Pg,2016-10-21 20:26:15.990,manual,0.2,2.32
N4.N35B.BHZ.--,5.04146,28.146,Pn,2016-10-21 20:27:15.990,manual,-2.2,0.0
GS.OK032.HHZ.00,0.576241,51.953,Pg,2016-10-21 20:26:11.680,manual,-0.1,2.64
GS.OK038.HH2.00,0.039567,43.1909,Sg,2016-10-21 20:26:02.840,manual,-0.4,1.42
OK.NOKA.HHN.--,0.223699,325.855,Sg,2016-10-21 20:26:08.970,manual,0.0,1.37
US.EYMN.BHZ.10,12.685,22.8215,Pn,2016-10-21 20:28:56.830,manual,-6.2,0.0
GS.OK035.HH2.00,0.263812,11.616,Sg,2016-10-21 20:26:10.390,manual,0.3,1.36
OK.U32A.BHN.--,0.194856,249.121,Sg,2016-10-21 20:26:07.900,manual,-0.2,1.38
GS.OK032.HH1.00,0.576241,51.953,Sg,2016-10-21 20:26:19.610,manual,0.2,1.27
N4.P46A.BHZ.--,9.65909,67.3909,Pn,2016-10-21 20:28:18.660,manual,-3.3,0.0
OK.CROK.HHN.--,0.641064,84.8167,Sg,2016-10-21 20:26:21.540,manual,0.2,1.26
OK.HTCH.HHN.--,0.56069,140.156,Sg,2016-10-21 20:26:19.100,manual,0.2,1.28
GS.KAN14.HHN.01,0.826587,51.967,Sg,2016-10-21 20:26:27.490,manual,0.7,1.21
OK.GC02.EHE.--,0.839065,61.1455,Sg,2016-10-21 20:26:27.670,manual,0.5,1.21
OK.ELIS.HHN.--,0.645194,233.752,Sg,2016-10-21 20:26:22.580,manual,1.1,1.25
ZD.RH09.EHE.--,0.806118,127.559,Sg,2016-10-21 20:26:27.070,manual,0.9,1.22
ZD.KNG1.EHE.--,0.928347,109.604,Sg,2016-10-21 20:26:31.050,manual,1.2,1.19
