#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20007g0b
#time = 2016-10-21 20:47:39.400000
#location = 33km NW of Fairview, Oklahoma
#latitude = 36.4449
#longitude = -98.7790
#depth = 7.4
#magnitude = 3.4
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20007g0b
#us_Mwr_mrr = -4000000000000
#us_Mwr_mtt = 131000000000000
#us_Mwr_mpp = -126000000000000
#us_Mwr_mrt = -5900000000000
#us_Mwr_mrp = 24800000000000
#us_Mwr_mtp = -24700000000000
#us_Mwr_np1_strike = 140
#us_Mwr_np1_dip = 85
#us_Mwr_np1_rake = -10
#us_Mwr_np2_strike = 231
#us_Mwr_np2_dip = 80
#us_Mwr_np2_rake = -175
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK035.HNZ.20,0.268636,11.9641,Pg,2016-10-21 20:47:45.110,manual,-0.1,3.23
OK.NOKA.HHZ.--,0.225932,327.019,Pg,2016-10-21 20:47:44.350,manual,-0.1,3.33
GS.OK038.HHZ.00,0.0445457,41.7418,Pg,2016-10-21 20:47:40.390,manual,-0.6,4.31
OK.CROK.HHZ.--,0.64404,84.4466,Pg,2016-10-21 20:47:51.800,manual,0.0,2.53
GS.OK032.HHZ.00,0.58098,51.7669,Pg,2016-10-21 20:47:50.650,manual,0.0,2.63
OK.HTCH.HHZ.--,0.558991,139.663,Pg,2016-10-21 20:47:50.270,manual,0.0,2.66
ZD.RH09.EHZ.--,0.805502,127.197,Pg,2016-10-21 20:47:54.410,manual,-0.3,2.32
ZD.KNG1.EHZ.--,0.929316,109.293,Pg,2016-10-21 20:47:56.740,manual,-0.1,2.17
GS.KAN14.HHZ.01,0.831324,51.8363,Pg,2016-10-21 20:47:55.150,manual,0.0,2.28
OK.CSTR.HHZ.--,0.80097,174.743,Pg,2016-10-21 20:47:54.730,manual,0.1,2.32
ZD.RH08.EHZ.--,0.894079,149.427,Pg,2016-10-21 20:47:56.280,manual,0.0,2.21
OK.GC02.EHZ.--,0.843445,60.9669,Pg,2016-10-21 20:47:55.330,manual,0.0,2.27
GS.KAN16.HHZ.01,0.96725,36.1192,Pg,2016-10-21 20:47:57.510,manual,0.0,2.13
GS.KAN17.HHZ.01,1.01058,53.4139,Pg,2016-10-21 20:47:58.310,manual,0.0,2.09
OK.BCOK.HHZ.--,1.23172,129.341,Pg,2016-10-21 20:48:02.010,manual,-0.2,1.89
GS.KAN09.HHZ.01,1.15933,53.137,Pg,2016-10-21 20:48:00.910,manual,0.0,1.95
US.WMOK.BHZ.10,1.70327,180.047,Pn,2016-10-21 20:48:09.060,manual,-1.5,1.17
GS.OK051.HHZ.00,1.56722,87.2221,Pg,2016-10-21 20:48:07.900,manual,-0.2,1.65
GS.OK046.HHZ.00,1.51031,91.2504,Pg,2016-10-21 20:48:06.860,manual,-0.3,1.69
OK.CHOK.HHZ.--,1.64852,121.836,Pg,2016-10-21 20:48:08.760,manual,-0.8,1.6
GS.OK045.HHZ.00,1.49488,89.3422,Pg,2016-10-21 20:48:06.730,manual,-0.1,1.7
GS.OK044.HHZ.00,1.60104,91.9908,Pg,2016-10-21 20:48:08.310,manual,-0.4,1.63
US.MIAR.BHZ.00,4.64823,112.532,Pn,2016-10-21 20:48:50.270,manual,-1.3,0.0
AG.HHAR.HHZ.00,3.90886,90.9469,Pn,2016-10-21 20:48:39.750,manual,-1.6,0.0
TA.WHTX.BHZ.--,4.57564,165.763,Pn,2016-10-21 20:48:49.230,manual,-1.4,0.0
OK.U32A.BHZ.--,0.19091,250.074,Pg,2016-10-21 20:47:43.610,manual,-0.2,3.42
OK.ELIS.HHZ.--,0.640523,233.93,Pg,2016-10-21 20:47:52.000,manual,0.2,2.54
GS.KAN01.HHZ.01,1.08181,48.8774,Pg,2016-10-21 20:47:59.640,manual,0.1,2.02
Y7.PW14.EHZ.--,1.48196,93.4373,Pg,2016-10-21 20:48:06.410,manual,-0.2,1.71
GS.OK038.HH2.00,0.0445457,41.7418,Sg,2016-10-21 20:47:41.800,manual,-0.5,1.42
OK.U32A.BHN.--,0.19091,250.074,Sg,2016-10-21 20:47:46.710,manual,-0.1,1.38
OK.NOKA.HHN.--,0.225932,327.019,Sg,2016-10-21 20:47:47.890,manual,0.0,1.37
GS.OK035.HN2.20,0.268636,11.9641,Sg,2016-10-21 20:47:49.220,manual,0.1,1.36
GS.KAN08.HHZ.01,1.01449,39.48,Pg,2016-10-21 20:47:58.290,manual,-0.1,2.09
GS.KAN12.HHZ.01,1.05651,36.1213,Pg,2016-10-21 20:47:59.110,manual,0.0,2.05
OK.BLOK.HHZ.--,1.29738,75.4792,Pg,2016-10-21 20:48:03.050,manual,-0.3,1.84
GS.OK050.HHZ.00,1.45046,91.4536,Pg,2016-10-21 20:48:05.740,manual,-0.3,1.73
GS.KS21.HNZ.20,1.22743,46.4819,Pg,2016-10-21 20:48:02.320,manual,0.2,1.9
Y7.PW15.EHZ.--,1.42337,88.5234,Pg,2016-10-21 20:48:05.250,manual,-0.3,1.75
GS.OK033.HHZ.00,1.54079,104.489,Pg,2016-10-21 20:48:07.300,manual,-0.4,1.67
GS.KS20.HHZ.00,1.25654,51.0714,Pg,2016-10-21 20:48:02.600,manual,0.0,1.87
GS.OK029.HHZ.00,1.25213,120.718,Pg,2016-10-21 20:48:02.220,manual,-0.3,1.88
GS.OK025.HHZ.00,1.45191,125.993,Pg,2016-10-21 20:48:05.720,manual,-0.4,1.73
GS.KAN06.HHZ.01,1.08977,42.3727,Pg,2016-10-21 20:47:59.660,manual,0.0,2.01
GS.KAN13.HHZ.01,1.18918,61.1411,Pg,2016-10-21 20:48:01.410,manual,0.0,1.93
GS.OK049.HHZ.00,1.1899,91.3886,Pg,2016-10-21 20:48:01.290,manual,-0.2,1.93
ZD.RH05.EHZ.--,1.3515,154.763,Pg,2016-10-21 20:48:04.420,manual,0.1,1.8
OK.FNO.HHZ.01,1.63001,136.227,Pg,2016-10-21 20:48:08.770,manual,-0.5,1.62
GS.OK034.HHZ.00,1.7257,103.947,Pn,2016-10-21 20:48:09.940,manual,-0.9,1.17
GS.OK048.HHZ.00,1.48038,90.5636,Pg,2016-10-21 20:48:06.310,manual,-0.3,1.71
GS.OK031.HHZ.00,1.64402,106.795,Pg,2016-10-21 20:48:08.960,manual,-0.5,1.61
OK.QUOK.HHZ.--,1.69491,98.6529,Pn,2016-10-21 20:48:09.580,manual,-0.9,1.17
OK.DEOK.HHZ.--,1.94134,107.357,Pn,2016-10-21 20:48:12.020,manual,-1.9,1.14
OK.X34A.HHZ.--,1.99521,156.961,Pn,2016-10-21 20:48:13.950,manual,-0.7,1.14
ZD.RH03.EHZ.--,1.79838,115.477,Pn,2016-10-21 20:48:11.180,manual,-0.7,1.16
US.CBKS.BHZ.00,2.48435,342.456,Pn,2016-10-21 20:48:20.360,manual,-1.1,0.0
