#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us20008fr2
#time = 2016-12-30 20:13:47.390000
#location = 7km WSW of Perry, Oklahoma
#latitude = 36.2658
#longitude = -97.3605
#depth = 6.5
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us20008fr2
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK050.HHZ.00,0.331682,67.105,Pg,2016-12-30 20:13:54.180,manual,-0.2,3.13
ZD.KNG1.EHZ.--,0.301951,243.917,Pg,2016-12-30 20:13:53.740,manual,-0.1,3.19
GS.OK048.HHZ.00,0.368474,65.8386,Pg,2016-12-30 20:13:54.860,manual,-0.1,3.05
GS.OK046.HHZ.00,0.388662,70.1471,Pg,2016-12-30 20:13:55.260,manual,-0.1,3.01
GS.OK045.HHZ.00,0.395726,62.5654,Pg,2016-12-30 20:13:55.380,manual,-0.1,2.99
GS.OK033.HHZ.00,0.406964,122.757,Pg,2016-12-30 20:13:55.610,manual,-0.1,2.97
GS.OK044.HHZ.00,0.467977,76.6556,Pg,2016-12-30 20:13:56.580,manual,-0.2,2.85
GS.OK029.HHZ.00,0.474433,189.31,Pg,2016-12-30 20:13:56.870,manual,0.0,2.84
GS.OK052.HHZ.00,0.526905,120.869,Pg,2016-12-30 20:13:57.840,manual,0.0,2.75
GS.OK053.HHZ.00,0.5272,118.272,Pg,2016-12-30 20:13:58.000,manual,0.2,2.75
GS.OK031.HHZ.00,0.525012,126.314,Pg,2016-12-30 20:13:57.800,manual,0.0,2.75
OK.QUOK.HHZ.--,0.535987,99.9305,Pg,2016-12-30 20:13:58.020,manual,0.1,2.73
NQ.OK914.HNZ.01,0.537686,123.033,Pg,2016-12-30 20:13:58.050,manual,0.1,2.73
GS.OK030.HHZ.00,0.576127,125.666,Pg,2016-12-30 20:13:58.390,manual,-0.3,2.66
GS.OK034.HHZ.00,0.582756,115.766,Pg,2016-12-30 20:13:58.810,manual,0.0,2.65
GS.OK005.HNZ.01,0.624915,167.246,Pg,2016-12-30 20:13:59.630,manual,0.1,2.59
OK.BCOK.HHZ.--,0.640458,198.444,Pg,2016-12-30 20:14:00.130,manual,0.3,2.56
GS.OK025.HHZ.00,0.683501,178.456,Pg,2016-12-30 20:14:00.830,manual,0.3,2.5
GS.OK009.HNZ.01,0.684932,184.259,Pg,2016-12-30 20:14:00.680,manual,0.1,2.5
OK.GC02.EHZ.--,0.70935,325.642,Pg,2016-12-30 20:14:01.130,manual,0.1,2.46
OK.CHOK.HHZ.--,0.743971,160.858,Pg,2016-12-30 20:14:01.730,manual,0.1,2.42
GS.KAN13.HHZ.01,0.751588,352.824,Pg,2016-12-30 20:14:01.990,manual,0.2,2.41
OK.DEOK.HHZ.--,0.816332,120.891,Pg,2016-12-30 20:14:03.060,manual,0.1,2.33
OK.HTCH.HHZ.--,0.825151,252.783,Pg,2016-12-30 20:14:03.450,manual,0.4,2.31
GS.KAN14.HHZ.01,0.842979,325.074,Pg,2016-12-30 20:14:03.810,manual,0.4,2.29
GS.KAN01.HHZ.01,0.941984,340.245,Pg,2016-12-30 20:14:05.460,manual,0.3,2.18
GS.KS20.HHZ.00,0.974551,350.867,Pg,2016-12-30 20:14:05.770,manual,0.1,2.15
OK.FNO.HHZ.01,1.00678,181.896,Pg,2016-12-30 20:14:06.170,manual,-0.1,2.11
ZD.KNG1.EHE.--,0.301951,243.917,Sg,2016-12-30 20:13:58.040,manual,-0.2,1.35
GS.OK050.HH2.00,0.331682,67.105,Sg,2016-12-30 20:13:58.910,manual,-0.2,1.34
GS.OK048.HH2.00,0.368474,65.8386,Sg,2016-12-30 20:13:59.880,manual,-0.3,1.33
GS.OK046.HH2.00,0.388662,70.1471,Sg,2016-12-30 20:14:00.340,manual,-0.4,1.32
GS.OK045.HH1.00,0.395726,62.5654,Sg,2016-12-30 20:14:00.870,manual,-0.1,1.32
GS.OK033.HH1.00,0.406964,122.757,Sg,2016-12-30 20:14:01.210,manual,-0.1,1.32
GS.OK031.HH2.00,0.525012,126.314,Sg,2016-12-30 20:14:04.950,manual,0.1,1.29
