#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000fqrf
#time = 2013-03-21 16:34:35
#location = 1km N of Midwest City, Oklahoma
#latitude = 35.4670
#longitude = -97.3960
#depth = 5.0
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000fqrf
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.OK001.--.--,0.13,42.7,Pg,2013-03-21 16:34:37.520,manual,-0.1,1.0
IR.OK002.--.--,0.18,63.2,Pg,2013-03-21 16:34:38.770,manual,0.2,1.0
IR.OK005.--.--,0.25,41.6,Pg,2013-03-21 16:34:39.790,manual,-0.1,1.0
IR.WMOK.--.--,1.35,237.8,Pn,2013-03-21 16:34:58.840,manual,-1.7,1.0
IR.TUL1.--.--,1.38,70.8,Pn,2013-03-21 16:34:58.940,manual,-2.0,1.0
IR.X37A.--.--,1.88,117.2,Pn,2013-03-21 16:35:07.600,manual,-0.2,1.0
IR.HHAR.--.--,2.92,72.8,Pn,2013-03-21 16:35:21.940,manual,-0.2,1.0
IR.W39A.--.--,2.97,94.2,Pn,2013-03-21 16:35:22.150,manual,-0.6,1.0
IR.MIAR.--.--,3.27,105.2,Pn,2013-03-21 16:35:27.080,manual,0.2,1.0
IR.ABTX.--.--,3.39,214.0,Pn,2013-03-21 16:35:28.610,manual,-0.1,1.0
IR.WHTX.--.--,3.47,180.8,Pn,2013-03-21 16:35:29.610,manual,0.0,1.0
IR.AMTX.--.--,3.56,261.8,Pn,2013-03-21 16:35:31.520,manual,0.6,1.0
IR.X40A.--.--,3.87,103.3,Pn,2013-03-21 16:35:35.160,manual,0.0,1.0
IR.CBKS.--.--,3.83,331.4,Pn,2013-03-21 16:35:35.300,manual,0.7,1.0
IR.WLAR.--.--,3.96,115.4,Pn,2013-03-21 16:35:36.190,manual,-0.1,1.0
IR.WHAR.--.--,4.18,90.9,Pn,2013-03-21 16:35:38.840,manual,-0.5,1.0
IR.UALR.--.--,4.2,98.0,Pn,2013-03-21 16:35:39.770,manual,0.1,1.0
IR.W41B.--.--,4.22,92.5,Pn,2013-03-21 16:35:39.810,manual,-0.2,1.0
IR.MSTX.--.--,4.67,252.9,Pn,2013-03-21 16:35:44.970,manual,-1.4,1.0
IR.X43A.--.--,5.43,98.2,Pn,2013-03-21 16:35:52.420,manual,-4.2,1.0
IR.HBAR.--.--,5.5,87.1,Pn,2013-03-21 16:35:53.740,manual,-3.8,1.0
IR.CCM.--.--,5.57,60.6,Pn,2013-03-21 16:35:57.700,manual,-0.9,1.0
