#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000ggy2
#time = 2013-04-28 03:06:42.200000
#location = 13km ENE of Dickson, Oklahoma
#latitude = 34.1350
#longitude = -96.8080
#depth = 5.0
#magnitude = 3.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000ggy2
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.X37A.--.--,1.27,68.7,Pg,2013-04-28 03:07:05.300,manual,-1.3,1.0
IR.OK023.--.--,1.61,349.7,Pn,2013-04-28 03:07:09.870,manual,-1.5,1.0
IR.WMOK.--.--,1.74,290.8,Pn,2013-04-28 03:07:11.300,manual,-1.8,1.0
IR.TUL1.--.--,1.96,24.9,Pn,2013-04-28 03:07:14.940,manual,-1.1,1.0
IR.WHTX.--.--,2.21,194.5,Pn,2013-04-28 03:07:20.010,manual,0.5,1.0
IR.MIAR.--.--,2.71,80.4,Pn,2013-04-28 03:07:26.570,manual,0.2,1.0
IR.W39A.--.--,2.71,66.1,Pn,2013-04-28 03:07:26.770,manual,0.4,1.0
IR.ABTX.--.--,2.81,238.4,Pn,2013-04-28 03:07:27.950,manual,0.1,1.0
IR.NATX.--.--,2.98,142.1,Pn,2013-04-28 03:07:30.220,manual,0.1,1.0
IR.HHAR.--.--,3.18,46.8,Pn,2013-04-28 03:07:31.840,manual,-1.0,1.0
IR.WLAR.--.--,3.11,97.2,Pn,2013-04-28 03:07:32.080,manual,0.2,1.0
IR.X40A.--.--,3.31,82.8,Pn,2013-04-28 03:07:34.880,manual,0.2,1.0
IR.435B.--.--,3.41,191.3,Pn,2013-04-28 03:07:35.780,manual,-0.2,1.0
IR.Z41A.--.--,3.45,103.6,Pn,2013-04-28 03:07:37.130,manual,0.5,1.0
IR.UALR.--.--,3.74,78.9,Pn,2013-04-28 03:07:41.550,manual,0.9,1.0
IR.W41B.--.--,3.9,73.3,Pn,2013-04-28 03:07:42.550,manual,-0.2,1.0
IR.WHAR.--.--,3.9,71.5,Pn,2013-04-28 03:07:42.560,manual,-0.2,1.0
IR.AMTX.--.--,4.09,281.9,Pn,2013-04-28 03:07:45.240,manual,-0.3,1.0
IR.CCAR.--.--,4.19,91.6,Pn,2013-04-28 03:07:47.230,manual,0.5,1.0
IR.HKT.--.--,4.25,168.5,Pn,2013-04-28 03:07:48.310,manual,0.7,1.0
IR.JCT.--.--,4.44,215.6,Pn,2013-04-28 03:07:50.300,manual,0.1,1.0
IR.KSU1.--.--,4.96,1.8,Pn,2013-04-28 03:07:55.610,manual,-1.7,1.0
IR.MSTX.--.--,4.95,269.8,Pn,2013-04-28 03:07:56.480,manual,-0.9,1.0
IR.CBKS.--.--,5.23,334.0,Pn,2013-04-28 03:07:59.630,manual,-1.5,1.0
IR.CCM.--.--,5.97,47.4,Pn,2013-04-28 03:08:09.740,manual,-1.4,1.0
IR.CPRX.--.--,5.99,261.4,Pn,2013-04-28 03:08:11.050,manual,-0.6,1.0
IR.X43A.--.--,4.92,83.9,Pg,2013-04-28 03:08:13.520,manual,-2.9,1.0
IR.CLNB.--.--,6.21,254.5,Pn,2013-04-28 03:08:13.720,manual,-1.0,1.0
