#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000ie1s
#time = 2013-07-14 14:30:01.570000
#location = 28km ENE of Helena, Oklahoma
#latitude = 36.6520
#longitude = -97.9850
#depth = 5.0
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000ie1s
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.TUL1.--.--,1.92,112.0,Pn,2013-07-14 14:30:35.460,manual,0.5,1.0
IR.WMOK.--.--,2.02,199.0,Pn,2013-07-14 14:30:36.680,manual,0.4,1.0
IR.X37A.--.--,2.96,133.3,Pn,2013-07-14 14:30:48.660,manual,-0.6,1.0
IR.HHAR.--.--,3.28,95.3,Pn,2013-07-14 14:30:54.600,manual,0.9,1.0
IR.W39A.--.--,3.71,111.8,Pn,2013-07-14 14:31:00.210,manual,0.7,1.0
IR.MIAR.--.--,4.16,119.0,Pn,2013-07-14 14:31:06.630,manual,0.9,1.0
IR.ABTX.--.--,4.24,199.3,Pn,2013-07-14 14:31:07.860,manual,0.9,1.0
IR.X40A.--.--,4.72,115.7,Pn,2013-07-14 14:31:14.030,manual,0.6,1.0
IR.WHAR.--.--,4.82,104.7,Pn,2013-07-14 14:31:15.080,manual,0.3,1.0
IR.FCAR.--.--,4.8,97.4,Pn,2013-07-14 14:31:15.510,manual,1.0,1.0
IR.W41B.--.--,4.88,105.9,Pn,2013-07-14 14:31:17.420,manual,1.7,1.0
