#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000ldeh
#time = 2013-12-07 18:10:24.590000
#location = 9km ESE of Edmond, Oklahoma
#latitude = 35.6073
#longitude = -97.3863
#depth = 8.4
#magnitude = 4.5
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000ldeh
#us_Mwr_mrr = -673200000000000
#us_Mwr_mtt = 5724600000000000
#us_Mwr_mpp = -5051400000000000
#us_Mwr_mrt = 349400000000000
#us_Mwr_mrp = -905700000000000
#us_Mwr_mtp = 4890300000000000
#us_Mwr_np1_strike = 24.21
#us_Mwr_np1_dip = 83.93
#us_Mwr_np1_rake = -173.89
#us_Mwr_np2_strike = 293.56
#us_Mwr_np2_dip = 83.92
#us_Mwr_np2_rake = -6.11
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.OKCSW.EHZ.--,0.205728,191.848,Pg,2013-12-07 18:10:28.430,manual,-0.4,0.0
OK.BCOK.HHZ.--,0.188229,285.246,Pg,2013-12-07 18:10:28.380,manual,-0.1,0.0
OK.FNO.HHZ.01,0.349335,182.0,Pg,2013-12-07 18:10:32.010,manual,0.6,0.0
GS.ADOK.HNZ.--,0.0462898,15.5088,Pg,2013-12-07 18:10:26.180,manual,-0.2,0.0
OK.X34A.HHZ.--,1.0686,200.154,Pg,2013-12-07 18:10:44.580,manual,-0.5,0.035
US.WMOK.BHZ.10,1.43432,233.193,Pn,2013-12-07 18:10:49.920,manual,-1.0,0.018
TA.TUL1.BHZ.--,1.33157,76.4065,Pn,2013-12-07 18:10:48.160,manual,-1.3,0.01
TA.W39A.BHZ.--,2.97117,96.8925,Pn,2013-12-07 18:11:12.080,manual,0.1,0.008
NM.PLAL.BHZ.00,7.63898,91.9758,Pn,2013-12-07 18:12:15.210,manual,-0.9,0.006
TA.U40A.BHZ.--,3.75125,77.1821,Pn,2013-12-07 18:11:22.300,manual,-0.4,0.006
TA.Q24A.BHZ.--,7.03642,300.736,Pn,2013-12-07 18:12:07.350,manual,-0.8,0.005
NM.BLO.BHZ.--,9.3482,64.4047,Pn,2013-12-07 18:12:39.160,manual,-0.4,0.006
OK.CROK.HHZ.--,1.01787,331.794,Pg,2013-12-07 18:10:43.690,manual,-0.5,0.036
UU.RDMU.HHZ.01,10.8016,300.945,Pn,2013-12-07 18:13:01.570,manual,1.9,0.005
WY.YNE.HHZ.01,13.4356,318.168,Pn,2013-12-07 18:13:31.410,manual,-4.3,0.003
MB.LRM.EHZ.--,15.9165,320.057,Pn,2013-12-07 18:14:02.540,manual,-6.5,0.003
IU.SSPA.BHZ.10,16.1373,66.0305,Pn,2013-12-07 18:14:07.560,manual,-4.1,0.002
LD.WVNY.BHZ.--,16.0853,59.3683,Pn,2013-12-07 18:14:05.540,manual,-5.5,0.002
NM.UALR.BHZ.--,4.2129,99.9041,Pn,2013-12-07 18:11:29.120,manual,0.1,0.006
TA.O56A.BHZ.--,15.5559,66.965,Pn,2013-12-07 18:13:59.990,manual,-4.2,0.002
TA.M55A.BHZ.--,15.6922,62.5059,Pn,2013-12-07 18:14:02.070,manual,-3.9,0.002
OK.W35A.EHZ.--,0.616969,137.174,Pg,2013-12-07 18:10:36.060,manual,-0.5,0.0
OK.X37A.BHZ.--,1.93945,121.0,Pn,2013-12-07 18:10:58.080,manual,0.3,0.013
AG.HHAR.HHZ.00,2.87623,75.4555,Pn,2013-12-07 18:11:10.620,manual,-0.1,0.007
US.AMTX.BHZ.00,3.58814,259.638,Pn,2013-12-07 18:11:21.450,manual,0.9,0.009
US.CBKS.BHZ.00,3.71027,330.316,Pn,2013-12-07 18:11:22.260,manual,0.1,0.008
AG.WLAR.HHZ.00,4.00992,117.289,Pn,2013-12-07 18:11:26.130,manual,-0.1,0.008
AG.WHAR.HHZ.00,4.17335,92.8686,Pn,2013-12-07 18:11:28.190,manual,-0.3,0.006
US.NATX.BHZ.00,4.45932,148.602,Pn,2013-12-07 18:11:31.920,manual,-0.5,0.011
NM.MGMO.BHZ.--,4.40814,68.0006,Pn,2013-12-07 18:11:31.230,manual,-0.5,0.005
AG.LCAR.HHZ.00,5.08405,82.9698,Pn,2013-12-07 18:11:39.550,manual,-1.5,0.005
US.JCT.BHZ.00,5.50117,202.312,Pn,2013-12-07 18:11:46.830,manual,0.0,0.01
TA.ABTX.BHZ.--,3.51574,212.815,Pn,2013-12-07 18:11:19.780,manual,0.3,0.014
IU.CCM.BHZ.10,5.49868,61.8035,Pn,2013-12-07 18:11:46.080,manual,-0.6,0.004
TA.X40A.BHZ.--,3.89806,105.34,Pn,2013-12-07 18:11:24.880,manual,0.2,0.007
TA.W41B.BHZ.--,4.2201,94.3923,Pn,2013-12-07 18:11:29.350,manual,0.2,0.006
TA.Z41A.BHZ.--,4.454,120.433,Pn,2013-12-07 18:11:32.090,manual,-0.3,0.008
TA.WHTX.BHZ.--,3.60716,180.943,Pn,2013-12-07 18:11:20.900,manual,0.2,0.015
TA.435B.BHZ.--,4.81444,182.038,Pn,2013-12-07 18:11:37.150,manual,-0.2,0.012
AG.CCAR.HHZ.00,4.91937,108.426,Pn,2013-12-07 18:11:38.770,manual,0.0,0.006
IU.HKT.BHZ.10,5.77851,166.534,Pn,2013-12-07 18:11:50.930,manual,0.5,0.01
TA.P57A.BHZ.--,15.8435,70.0858,Pn,2013-12-07 18:14:06.270,manual,-1.6,0.002
CN.ULM.BHZ.--,14.6769,3.83009,Pn,2013-12-07 18:13:46.890,manual,-5.4,0.003
TA.J55A.BHZ.--,16.9185,57.1988,Pn,2013-12-07 18:14:17.590,manual,-4.0,0.003
TA.L56A.BHZ.--,16.7436,61.1045,Pn,2013-12-07 18:14:15.130,manual,-4.3,0.003
BK.YBH.BHZ.00,20.6589,294.874,P,2013-12-07 18:15:04.920,manual,0.2,0.003
NE.VT1.HHZ.00,20.7315,57.667,P,2013-12-07 18:15:03.470,manual,-1.9,0.002
LD.LUPA.HHZ.--,18.0141,67.3327,P,2013-12-07 18:14:34.920,manual,-0.8,0.002
NM.PBMO.BHZ.--,5.74599,76.225,Pn,2013-12-07 18:11:48.920,manual,-1.2,0.004
US.OXF.BHZ.00,6.63281,97.1729,Pn,2013-12-07 18:12:01.120,manual,-1.2,0.005
US.SDCO.BHZ.00,6.86128,290.512,Pn,2013-12-07 18:12:06.210,manual,0.5,0.005
US.SCIA.BHZ.00,7.08308,26.1177,Pn,2013-12-07 18:12:07.930,manual,-0.5,0.006
NM.SIUC.BHZ.00,6.87531,69.8423,Pn,2013-12-07 18:12:04.570,manual,-1.0,0.005
TA.T25A.BHZ.--,5.87005,287.154,Pn,2013-12-07 18:11:51.660,manual,-0.4,0.005
US.MNTX.BHZ.00,7.72133,241.957,Pn,2013-12-07 18:12:16.530,manual,-0.8,0.009
SC.BAR.EHZ.--,7.73273,261.837,Pn,2013-12-07 18:12:17.010,manual,-0.6,0.007
US.ISCO.BHZ.00,7.74712,305.144,Pn,2013-12-07 18:12:17.570,manual,-0.3,0.006
IU.WVT.BHZ.10,7.77623,83.3628,Pn,2013-12-07 18:12:16.190,manual,-1.8,0.005
US.HDIL.BHZ.00,8.06795,49.8266,Pn,2013-12-07 18:12:20.750,manual,-1.2,0.006
NM.OLIL.BHZ.--,8.04317,64.4219,Pn,2013-12-07 18:12:21.530,manual,-0.1,0.005
SC.LPM.EHZ.--,7.70007,263.013,Pn,2013-12-07 18:12:15.850,manual,-1.3,0.007
US.LRAL.BHZ.00,8.96758,103.639,Pn,2013-12-07 18:12:33.480,manual,-0.9,0.007
US.JFWS.BHZ.10,9.15513,35.0043,Pn,2013-12-07 18:12:35.030,manual,-1.9,0.007
IW.PHWY.BHZ.00,8.50666,314.354,Pn,2013-12-07 18:12:27.550,manual,-0.7,0.007
IM.TX31.BHZ.--,8.20062,222.059,Pn,2013-12-07 18:12:22.490,manual,-1.5,0.011
TA.T47A.BHZ.--,8.41447,77.5561,Pn,2013-12-07 18:12:24.950,manual,-1.8,0.006
TA.X48A.BHZ.--,8.56043,94.742,Pn,2013-12-07 18:12:27.280,manual,-1.5,0.006
N4.M44A.BHZ.--,9.32122,48.9438,Pn,2013-12-07 18:12:37.340,manual,-1.8,0.007
N4.O44A.BHZ.--,8.38395,54.5771,Pn,2013-12-07 18:12:24.900,manual,-1.4,0.006
TA.Y49A.BHZ.--,9.20036,97.7635,Pn,2013-12-07 18:12:36.000,manual,-1.6,0.007
TA.T49A.BHZ.--,9.67761,77.6313,Pn,2013-12-07 18:12:41.970,manual,-2.1,0.006
TA.BGNE.BHZ.--,5.82299,354.328,Pn,2013-12-07 18:11:50.300,manual,-0.9,0.006
NM.MPH.BHZ.--,6.11013,92.3692,Pn,2013-12-07 18:11:54.490,manual,-0.6,0.005
US.VBMS.BHZ.00,6.63464,118.663,Pn,2013-12-07 18:12:01.180,manual,-1.1,0.007
NM.USIN.BHZ.--,8.14594,70.3428,Pn,2013-12-07 18:12:20.790,manual,-2.3,0.005
