#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000ps3d
#time = 2014-04-20 19:07:13.100000
#location = 12km SSW of Guthrie, Oklahoma
#latitude = 35.7740
#longitude = -97.4821
#depth = 6.7
#magnitude = 3.7
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000ps3d
#us_Mwr_mrr = -109000000000000
#us_Mwr_mtt = 274000000000000
#us_Mwr_mpp = -164000000000000
#us_Mwr_mrt = -93600000000000
#us_Mwr_mrp = 154000000000000
#us_Mwr_mtp = 270000000000000
#us_Mwr_np1_strike = 105
#us_Mwr_np1_dip = 70
#us_Mwr_np1_rake = -25
#us_Mwr_np2_strike = 204
#us_Mwr_np2_dip = 67
#us_Mwr_np2_rake = -158
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
US.MIAR.BHZ.00,3.42652,109.827,Pn,2014-04-20 19:08:08.310,manual,1.3,0.0
US.CBKS.BHZ.00,3.52718,330.022,Pn,2014-04-20 19:08:09.570,manual,1.2,0.013
TA.W39A.BHZ.--,3.07245,99.741,Pn,2014-04-20 19:08:03.170,manual,1.1,0.039
OK.KNG1.EHZ.--,0.397267,334.224,Pg,2014-04-20 19:07:20.970,manual,0.2,0.0
OK.KNG1.EHZ.--,0.397267,334.224,Sg,2014-04-20 19:07:26.610,manual,0.6,0.054
OK.BCOK.HHZ.--,0.15625,221.525,Pg,2014-04-20 19:07:16.590,manual,0.3,0.0
GS.OK009.HNZ.01,0.198232,165.91,Pg,2014-04-20 19:07:08.260,manual,0.0,0.0
GS.OK025.HHZ.00,0.22546,148.577,Pg,2014-04-20 19:07:17.890,manual,0.3,0.0
GS.OK001.HNZ.01,0.264055,143.508,Pg,2014-04-20 19:07:12.790,manual,0.0,0.0
GS.OK026.HHZ.00,0.35879,175.992,Pg,2014-04-20 19:07:20.300,manual,0.2,0.0
OK.OKCSW.EHZ.--,0.369447,174.404,Pg,2014-04-20 19:07:20.510,manual,0.2,0.0
OK.FNO.HHZ.01,0.519669,172.68,Pg,2014-04-20 19:07:23.410,manual,0.3,0.0
GS.OK029.HHZ.00,0.0315867,44.4286,Pg,2014-04-20 19:07:14.720,manual,0.3,0.0
OK.X34A.HHZ.--,1.20503,193.884,Pg,2014-04-20 19:07:35.940,manual,-0.3,0.025
TA.TUL1.BHZ.--,1.37999,83.8451,Pn,2014-04-20 19:07:37.750,manual,-1.1,0.058
N4.T35B.BHZ.--,1.38306,34.2089,Pn,2014-04-20 19:07:38.320,manual,-0.6,0.044
GS.OK009.HNZ.01,0.198232,165.91,Pg,2014-04-20 19:07:17.390,manual,0.3,0.0
GS.OK029.HH2.00,0.0315867,44.4286,Sg,2014-04-20 19:07:15.910,manual,0.5,0.147
GS.ADOK.HNZ.--,0.151589,143.391,Pg,2014-04-20 19:07:16.550,manual,0.3,0.0
GS.ADOK.HNN.--,0.151589,143.391,Sg,2014-04-20 19:07:19.440,manual,1.1,0.049
GS.OK001.HNZ.01,0.264055,143.508,Pg,2014-04-20 19:07:18.630,manual,0.3,0.0
