#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000q0wq
#time = 2014-04-27 00:22:29
#location = 14km NNE of Crescent, Oklahoma
#latitude = 36.0752
#longitude = -97.5579
#depth = 4.6
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000q0wq
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.290305,163.236,Pg,2014-04-27 00:22:34.860,automatic,0.2,0.0
OK.BCOK.HHZ.--,0.419692,185.724,Pg,2014-04-27 00:22:37.220,automatic,0.1,0.0
GS.OK027.HHZ.00,0.425393,148.348,Pg,2014-04-27 00:22:37.450,manual,0.3,0.0
OK.CROK.HHZ.--,0.549453,321.395,Pg,2014-04-27 00:22:39.660,manual,0.1,0.0
GS.OK025.HHZ.00,0.524458,160.005,Pg,2014-04-27 00:22:39.280,automatic,0.2,0.0
OK.OKCSW.EHZ.--,0.67534,171.661,Pg,2014-04-27 00:22:41.850,automatic,-0.1,0.059
GS.OK026.HHZ.00,0.664156,172.474,Pg,2014-04-27 00:22:41.880,automatic,0.1,0.061
OK.FNO.HHZ.01,0.825941,171.067,Pg,2014-04-27 00:22:44.860,automatic,0.0,0.045
OK.W35A.EHZ.--,1.0758,148.629,Pg,2014-04-27 00:22:48.680,manual,-1.0,0.027
OK.X34A.HHZ.--,1.48794,188.761,Pn,2014-04-27 00:22:56.710,automatic,0.2,0.122
OK.X37A.BHZ.--,2.32253,129.033,Pn,2014-04-27 00:23:08.720,automatic,0.8,0.054
AG.HHAR.HHZ.00,2.93421,84.9003,Pn,2014-04-27 00:23:19.600,manual,3.2,0.047
US.MIAR.BHZ.00,3.5958,113.954,Pn,2014-04-27 00:23:26.800,automatic,1.4,0.04
N4.U38B.BHZ.--,2.58947,80.9955,Pn,2014-04-27 00:23:13.050,automatic,1.4,0.051
