#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000qa0i
#time = 2014-05-05 00:08:20.300000
#location = 15km WNW of Helena, Oklahoma
#latitude = 36.6060
#longitude = -98.4267
#depth = 5.0
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000qa0i
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.370981,105.682,Pg,2014-05-05 00:08:28.000,manual,0.5,0.0
OK.BCOK.HHZ.--,1.15555,144.824,Pg,2014-05-05 00:08:42.090,automatic,-0.4,0.096
GS.OK027.HHZ.00,1.28516,133.624,Pn,2014-05-05 00:08:44.180,automatic,-0.7,0.06
US.WMOK.BHZ.10,1.8862,188.894,Pn,2014-05-05 00:08:53.800,automatic,0.6,0.076
TA.KSCO.BHZ.--,4.10227,307.092,Pg,2014-05-05 00:09:37.520,manual,4.4,0.014
N4.T35B.BHZ.--,1.56852,78.0441,Pn,2014-05-05 00:08:48.970,automatic,0.1,0.066
N4.R32B.BHZ.--,1.82736,352.977,Pn,2014-05-05 00:08:54.170,automatic,1.7,0.11
TA.KSCO.BHZ.--,4.10227,307.092,Pn,2014-05-05 00:09:22.360,manual,-1.4,0.058
OK.U32A.BHZ.--,0.515341,244.154,Pg,2014-05-05 00:08:30.750,manual,0.5,0.0
OK.KAY1.HHZ.--,0.988723,80.5363,Pg,2014-05-05 00:08:39.240,manual,0.0,0.088
OK.CROK.HHN.--,0.370981,105.682,Sg,2014-05-05 00:08:33.210,manual,0.9,0.158
OK.KAY1.HHE.--,0.988723,80.5363,Sg,2014-05-05 00:08:53.000,manual,0.9,0.107
GS.OK029.HHZ.00,1.12705,135.493,Pg,2014-05-05 00:08:41.620,manual,-0.3,0.088
GS.OK029.HH1.00,1.12705,135.493,Sg,2014-05-05 00:08:56.630,manual,0.1,0.118
US.AMTX.BHZ.00,3.15579,237.966,Pn,2014-05-05 00:09:11.960,manual,1.2,0.06
GS.OK025.HHZ.00,1.35043,138.91,Pn,2014-05-05 00:08:45.000,manual,-0.8,0.061
GS.OK026.HHZ.00,1.42726,146.069,Pn,2014-05-05 00:08:46.410,manual,-0.5,0.064
OK.OKCSW.EHZ.--,1.44145,145.919,Pn,2014-05-05 00:08:47.750,manual,0.7,0.063
OK.QUOK.HHZ.--,1.45305,106.856,Pn,2014-05-05 00:08:47.360,manual,0.1,0.054
GS.OK028.HHZ.00,1.51996,132.911,Pn,2014-05-05 00:08:48.250,manual,0.1,0.056
TA.TUL1.BHZ.--,2.23976,107.272,Pn,2014-05-05 00:08:58.750,manual,0.7,0.045
US.CBKS.BHZ.00,2.43697,335.15,Pn,2014-05-05 00:09:02.420,manual,1.6,0.092
US.KSU1.BHZ.10,2.87611,29.455,Pn,2014-05-05 00:09:08.880,manual,2.1,0.08
N4.U38B.BHZ.--,3.25914,91.7201,Pn,2014-05-05 00:09:13.350,manual,1.3,0.04
N4.Z35B.BHZ.--,3.40662,163.225,Pn,2014-05-05 00:09:13.600,manual,-0.5,0.048
AG.HHAR.HHZ.00,3.63188,93.7717,Pn,2014-05-05 00:09:18.040,manual,0.8,0.037
ZW.AZDA.EHZ.01,3.69484,168.557,Pn,2014-05-05 00:09:18.250,manual,0.2,0.047
TA.ABTX.BHZ.--,4.09726,194.522,Pn,2014-05-05 00:09:23.570,manual,-0.1,0.05
TA.W39A.BHZ.--,4.02287,109.097,Pn,2014-05-05 00:09:21.860,manual,-0.7,0.032
