#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000qtnp
#time = 2014-05-18 17:24:19.200000
#location = 15km WNW of Yale, Oklahoma
#latitude = 36.1477
#longitude = -96.8657
#depth = 5.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000qtnp
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.592607,233.929,Pg,2014-05-18 17:24:30.560,manual,0.0,0.0
GS.OK027.HHZ.00,0.551424,218.08,Pg,2014-05-18 17:24:30.280,manual,0.5,0.0
GS.OK025.HHZ.00,0.683215,214.29,Pg,2014-05-18 17:24:32.620,manual,0.3,0.12
GS.OK028.HHZ.00,0.606559,195.252,Pg,2014-05-18 17:24:31.230,manual,0.4,0.0
US.WMOK.BHZ.10,2.10318,228.584,Pn,2014-05-18 17:24:55.790,manual,0.7,0.193
TA.TUL1.BHZ.--,0.902045,104.903,Pg,2014-05-18 17:24:36.340,manual,-0.2,0.314
N4.T35B.BHZ.--,0.818203,20.2766,Pg,2014-05-18 17:24:34.710,manual,-0.2,0.119
N4.U38B.BHZ.--,2.02454,81.0003,Pn,2014-05-18 17:24:54.160,manual,0.2,0.193
OK.X37A.BHZ.--,1.97724,141.419,Pn,2014-05-18 17:24:55.000,manual,1.7,0.229
OK.U32A.BHZ.--,1.74146,278.264,Pn,2014-05-18 17:24:50.830,manual,0.7,0.265
GS.KAN13.HHZ.01,0.994169,330.474,Pg,2014-05-18 17:24:37.970,manual,-0.3,0.257
GS.OK027.HH1.00,0.551424,218.08,Sg,2014-05-18 17:24:38.040,manual,1.1,0.124
GS.OK029.HH1.00,0.592607,233.929,Sg,2014-05-18 17:24:39.150,manual,0.9,0.154
GS.OK028.HH1.00,0.606559,195.252,Sg,2014-05-18 17:24:39.730,manual,1.0,0.161
