#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000qz0e
#time = 2014-05-21 23:19:07.740000
#location = 5km SSW of Langston, Oklahoma
#latitude = 35.9048
#longitude = -97.2834
#depth = 7.3
#magnitude = 3.0
#magtype = mb_lg
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000qz0e
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK027.HHZ.00,0.192387,180.048,Pg,2014-05-21 23:19:11.670,manual,0.0,0.0
GS.OK029.HHZ.00,0.176267,232.277,Pg,2014-05-21 23:19:11.480,automatic,0.1,0.0
OK.BCOK.HHZ.--,0.362644,227.042,Pg,2014-05-21 23:19:14.910,automatic,0.1,0.0
GS.OK025.HHZ.00,0.326032,187.831,Pg,2014-05-21 23:19:14.190,automatic,0.1,0.0
GS.OK026.HHZ.00,0.507238,195.696,Pg,2014-05-21 23:19:17.530,automatic,0.0,0.0
GS.OK028.HHZ.00,0.387615,152.162,Pg,2014-05-21 23:19:15.160,automatic,-0.1,0.0
OK.KNG1.EHZ.--,0.403926,304.319,Pg,2014-05-21 23:19:15.840,manual,0.2,0.0
OK.OKCSW.EHZ.--,0.513881,194.227,Pg,2014-05-21 23:19:17.610,automatic,-0.1,0.0
OK.QUOK.HHZ.--,0.536909,60.1278,Pg,2014-05-21 23:19:17.870,automatic,-0.2,0.0
OK.FNO.HHZ.01,0.653082,188.489,Pg,2014-05-21 23:19:20.520,manual,0.2,0.037
OK.W35A.EHZ.--,0.821225,155.919,Pg,2014-05-21 23:19:22.520,manual,-1.0,0.04
OK.CROK.HHZ.--,0.823971,316.805,Pg,2014-05-21 23:19:23.580,automatic,0.0,0.056
GS.KAN10.HHZ.01,1.38091,331.977,Pn,2014-05-21 23:19:33.410,manual,0.0,0.039
US.WMOK.BHZ.10,1.68955,226.877,Pn,2014-05-21 23:19:38.350,automatic,0.7,0.061
OK.U32A.BHZ.--,1.46906,289.317,Pn,2014-05-21 23:19:34.650,automatic,0.0,0.06
US.KSU1.BHZ.10,3.23517,9.33315,Pg,2014-05-21 23:20:06.930,manual,1.5,0.003
