#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000rs01
#time = 2014-07-11 12:17:05.500000
#location = 18km NNE of Enid, Oklahoma
#latitude = 36.5600
#longitude = -97.8367
#depth = 6.4
#magnitude = 3.4
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000rs01
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.13041,245.005,Pg,2014-07-11 12:17:08.530,manual,0.3,0.0
GS.KAN13.HHZ.01,0.536048,32.406,Pg,2014-07-11 12:17:16.080,manual,0.2,0.0
GS.OK027.HHZ.00,0.95739,151.954,Pg,2014-07-11 12:17:23.620,manual,-0.3,0.028
OK.BCOK.HHZ.--,0.920047,168.387,Pg,2014-07-11 12:17:22.800,manual,-0.4,0.024
OK.OKCSW.EHZ.--,1.1966,164.204,Pg,2014-07-11 12:17:27.950,manual,-0.5,0.017
OK.QUOK.HHZ.--,0.990128,112.724,Pg,2014-07-11 12:17:24.150,manual,-0.4,0.048
GS.OK028.HHZ.00,1.17825,147.552,Pg,2014-07-11 12:17:27.480,manual,-0.6,0.022
GS.OK026.HHZ.00,1.18427,164.587,Pg,2014-07-11 12:17:27.390,manual,-0.8,0.017
OK.FNO.HHZ.01,1.34707,164.656,Pn,2014-07-11 12:17:30.830,manual,0.0,0.035
OK.W35A.EHZ.--,1.60716,150.617,Pn,2014-07-11 12:17:34.540,manual,0.2,0.032
US.WMOK.BHZ.10,1.97399,203.198,Pn,2014-07-11 12:17:39.740,manual,0.3,0.041
OK.X34A.HHZ.--,1.95472,179.901,Pn,2014-07-11 12:17:40.420,manual,1.2,0.034
OK.U32A.BHZ.--,0.955956,259.485,Pg,2014-07-11 12:17:23.510,manual,-0.3,0.054
US.CBKS.BHZ.00,2.7085,326.75,Pn,2014-07-11 12:17:51.690,manual,2.1,0.037
US.KSU1.BHZ.10,2.71632,20.588,Pn,2014-07-11 12:17:50.320,manual,0.7,0.028
TA.TUL1.BHZ.--,1.7757,110.805,Pn,2014-07-11 12:17:37.050,manual,0.4,0.032
GS.ADOK.HNE.--,0.981433,157.27,Sg,2014-07-11 12:17:37.490,manual,0.4,0.03
AG.HHAR.HHZ.00,3.15498,93.8857,Pn,2014-07-11 12:17:56.160,manual,0.5,0.025
US.AMTX.BHZ.00,3.54672,242.997,Pn,2014-07-11 12:18:03.080,manual,1.9,0.039
N4.T35B.BHZ.--,1.12201,71.132,Pg,2014-07-11 12:17:26.570,manual,-0.5,0.045
US.MIAR.BHZ.00,4.01293,118.804,Pn,2014-07-11 12:18:08.120,manual,0.7,0.02
N4.R32B.BHZ.--,1.98502,339.755,Pn,2014-07-11 12:17:41.240,manual,1.6,0.04
NM.UALR.BHZ.--,4.81395,110.091,Pn,2014-07-11 12:18:18.500,manual,0.0,0.018
US.SDCO.BHZ.00,6.23512,283.238,Pn,2014-07-11 12:18:39.700,manual,1.4,0.029
AG.WLAR.HHZ.00,4.81662,125.118,Pn,2014-07-11 12:18:19.220,manual,0.7,0.017
US.ISCO.BHZ.00,6.92623,300.191,Pn,2014-07-11 12:18:46.820,manual,-1.0,0.029
N4.U38B.BHZ.--,2.78315,91.4512,Pn,2014-07-11 12:17:51.000,manual,0.4,0.027
TA.U40A.BHZ.--,4.02211,91.4139,Pn,2014-07-11 12:18:07.340,manual,-0.3,0.021
OK.X37A.BHZ.--,2.81161,133.653,Pn,2014-07-11 12:17:51.630,manual,0.7,0.024
ZW.AZDA.EHZ.01,3.5862,176.215,Pn,2014-07-11 12:18:02.910,manual,1.3,0.024
N4.Z35B.BHZ.--,3.25706,171.366,Pn,2014-07-11 12:17:57.400,manual,0.3,0.024
N4.S39B.BHZ.--,3.77993,71.2726,Pn,2014-07-11 12:18:04.740,manual,0.5,0.023
TA.BGNE.BHZ.--,4.84757,357.209,Pn,2014-07-11 12:18:19.250,manual,0.3,0.02
TA.WHTX.BHZ.--,4.56829,175.936,Pn,2014-07-11 12:18:15.300,manual,0.2,0.02
N4.L40A.BHZ.--,7.51414,40.9839,Pn,2014-07-11 12:18:54.370,manual,-1.2,0.019
TA.T25A.BHZ.--,5.30382,278.218,Pn,2014-07-11 12:18:25.260,manual,-0.2,0.03
TA.MSTX.BHZ.--,4.79404,238.829,Pn,2014-07-11 12:18:19.740,manual,1.4,0.03
N4.N38B.BHZ.--,5.55152,39.0184,Pn,2014-07-11 12:18:28.950,manual,0.3,0.016
TA.N23A.BHZ.--,7.67232,306.805,Pn,2014-07-11 12:18:59.260,manual,1.3,0.03
GS.KAN10.HHZ.01,0.59941,339.845,Pg,2014-07-11 12:17:17.240,manual,0.2,0.0
GS.KAN12.HHZ.01,0.747272,350.088,Pg,2014-07-11 12:17:19.940,manual,0.1,0.029
GS.OK029.HHZ.00,0.822073,157.816,Pg,2014-07-11 12:17:21.150,manual,-0.1,0.031
GS.ADOK.HNZ.--,0.981433,157.27,Pg,2014-07-11 12:17:24.100,manual,-0.2,0.025
GS.OK025.HHZ.00,1.05715,157.379,Pg,2014-07-11 12:17:25.510,manual,-0.3,0.022
OK.KAY1.HHZ.--,0.541377,67.8708,Pg,2014-07-11 12:17:16.180,manual,0.2,0.0
TA.W39A.BHZ.--,3.56126,111.27,Pn,2014-07-11 12:18:01.770,manual,0.5,0.022
NM.MGMO.BHZ.--,4.50439,80.7731,Pn,2014-07-11 12:18:15.170,manual,0.9,0.02
TA.KSCO.BHZ.--,4.51499,304.262,Pn,2014-07-11 12:18:15.650,manual,1.2,0.031
OK.CROK.HHN.--,0.13041,245.005,Sg,2014-07-11 12:17:10.800,manual,0.7,0.105
OK.KAY1.HHN.--,0.541377,67.8708,Sg,2014-07-11 12:17:23.720,manual,0.7,0.093
GS.KAN10.HHE.01,0.59941,339.845,Sg,2014-07-11 12:17:25.530,manual,0.7,0.034
NQ.KAN05.HNZ.01,0.547667,357.088,Pg,2014-07-11 12:17:16.350,manual,0.3,0.0
OK.KNG1.EHZ.--,0.441797,165.005,Pg,2014-07-11 12:17:13.910,manual,-0.1,0.0
AG.LCAR.HHZ.00,5.41839,93.1908,Pn,2014-07-11 12:18:25.830,manual,-0.9,0.017
N4.T42B.BHZ.--,5.43276,83.0321,Pn,2014-07-11 12:18:27.720,manual,0.8,0.017
N4.P40B.BHZ.--,5.44582,55.2658,Pn,2014-07-11 12:18:27.650,manual,0.5,0.017
IU.CCM.BHZ.10,5.46271,72.1608,Pn,2014-07-11 12:18:27.310,manual,-0.1,0.017
N4.L34B.BHZ.--,5.51678,11.4016,Pn,2014-07-11 12:18:25.900,manual,-2.2,0.017
TA.Q24A.BHZ.--,6.27033,294.708,Pn,2014-07-11 12:18:38.910,manual,0.1,0.028
US.JCT.BHZ.00,6.28248,195.701,Pn,2014-07-11 12:18:37.710,manual,-1.0,0.02
US.OXF.BHZ.00,7.16792,104.077,Pn,2014-07-11 12:18:50.840,manual,0.0,0.018
US.ECSD.BHZ.10,7.22622,7.06138,Pn,2014-07-11 12:18:51.280,manual,-0.3,0.02
TA.ABTX.BHZ.--,4.19977,201.301,Pn,2014-07-11 12:18:10.320,manual,0.3,0.026
N4.Z38B.BHZ.--,4.04077,143.731,Pn,2014-07-11 12:18:07.620,manual,-0.2,0.019
NQ.KAN07.HNZ.01,0.432909,348.12,Pg,2014-07-11 12:17:13.050,manual,-0.8,0.0
NQ.KAN07.HNE.01,0.432909,348.12,Sg,2014-07-11 12:17:20.500,manual,0.9,0.038
OK.KNG1.EHN.--,0.441797,165.005,Sg,2014-07-11 12:17:20.510,manual,0.7,0.044
NQ.KAN05.HNE.01,0.547667,357.088,Sg,2014-07-11 12:17:24.100,manual,0.9,0.035
NQ.KAN01.HNZ.01,0.595621,5.9671,Pg,2014-07-11 12:17:16.370,manual,-0.6,0.0
NQ.KAN01.HNE.01,0.595621,5.9671,Sg,2014-07-11 12:17:25.280,manual,0.5,0.037
NQ.KAN02.HNZ.01,0.637379,356.984,Pg,2014-07-11 12:17:17.970,manual,0.2,0.037
NQ.KAN02.HNE.01,0.637379,356.984,Sg,2014-07-11 12:17:27.050,manual,1.0,0.032
GS.KAN11.HHZ.01,0.647693,354.582,Pg,2014-07-11 12:17:18.320,manual,0.4,0.035
GS.KAN11.HNE.01,0.647693,354.582,Sg,2014-07-11 12:17:27.440,manual,1.0,0.032
NQ.KAN08.HNZ.01,0.674076,350.856,Pg,2014-07-11 12:17:18.450,manual,0.0,0.033
