#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000rsm4
#time = 2014-07-13 14:51:02.200000
#location = 9km ESE of Guthrie, Oklahoma
#latitude = 35.8588
#longitude = -97.3237
#depth = 4.8
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000rsm4
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.12337,239.834,Pg,2014-07-13 14:51:04.840,manual,0.1,0.0
OK.BCOK.HHZ.--,0.307617,229.12,Pg,2014-07-13 14:51:08.280,manual,0.1,0.0
GS.OK026.HHZ.00,0.454597,193.265,Pg,2014-07-13 14:51:11.180,manual,0.2,0.0
OK.OKCSW.EHZ.--,0.461799,191.666,Pg,2014-07-13 14:51:11.390,manual,0.3,0.0
OK.KNG1.EHZ.--,0.40669,312.261,Pg,2014-07-13 14:51:10.270,manual,0.2,0.0
OK.FNO.HHZ.01,0.603398,186.034,Pg,2014-07-13 14:51:14.450,manual,0.7,0.0
OK.CROK.HHZ.--,0.836852,320.569,Pg,2014-07-13 14:51:18.150,manual,-0.1,0.048
OK.KAY1.HHZ.--,0.906555,5.66852,Pg,2014-07-13 14:51:19.420,manual,-0.2,0.032
GS.KAN13.HHZ.01,1.15848,353.888,Pg,2014-07-13 14:51:24.020,manual,-0.4,0.022
US.WMOK.BHZ.10,1.63432,227.243,Pn,2014-07-13 14:51:31.670,manual,0.0,0.076
GS.KAN10.HHZ.01,1.40695,334.008,Pn,2014-07-13 14:51:28.330,manual,-0.2,0.048
GS.KAN12.HHZ.01,1.53493,339.492,Pn,2014-07-13 14:51:30.170,manual,-0.1,0.043
GS.ADOK.HNZ.--,0.209925,190.597,Pg,2014-07-13 14:51:06.670,manual,0.3,0.0
OK.X34A.HHZ.--,1.32229,198.512,Pn,2014-07-13 14:51:27.040,manual,-0.3,0.074
AG.HHAR.HHZ.00,2.77356,80.2483,Pn,2014-07-13 14:51:47.670,manual,0.3,0.031
N4.T35B.BHZ.--,1.24204,31.5895,Pn,2014-07-13 14:51:25.340,manual,-0.9,0.034
OK.U32A.BHZ.--,1.45436,291.427,Pn,2014-07-13 14:51:28.790,manual,-0.4,0.071
AG.WHAR.HHZ.00,4.14288,96.4029,Pn,2014-07-13 14:52:06.480,manual,0.3,0.026
TA.W39A.BHZ.--,2.96184,101.869,Pn,2014-07-13 14:51:50.500,manual,0.6,0.034
N4.U38B.BHZ.--,2.44738,75.4424,Pn,2014-07-13 14:51:43.430,manual,0.6,0.033
OK.X37A.BHZ.--,2.03945,127.829,Pn,2014-07-13 14:51:37.430,manual,0.2,0.047
N4.R40B.BHZ.--,4.71487,57.5122,Pn,2014-07-13 14:52:13.900,manual,-0.1,0.019
N4.Z35B.BHZ.--,2.5225,178.655,Pn,2014-07-13 14:51:45.040,manual,1.2,0.052
TA.W41B.BHZ.--,4.19634,97.8945,Pn,2014-07-13 14:52:07.330,manual,0.5,0.026
N4.S39B.BHZ.--,3.69599,59.1644,Pn,2014-07-13 14:52:00.040,manual,0.0,0.023
