#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000rsrv
#time = 2014-07-14 10:19:01.300000
#location = 11km NNW of Jones, Oklahoma
#latitude = 35.6615
#longitude = -97.3269
#depth = 14.4
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000rsrv
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.170356,322.349,Pg,2014-07-14 10:19:06.390,manual,0.9,0.0
GS.OK026.HHZ.00,0.265818,202.493,Pg,2014-07-14 10:19:07.590,manual,0.6,0.0
GS.OK027.HHZ.00,0.0614966,34.9572,Pg,2014-07-14 10:19:06.220,manual,2.1,0.0
OK.OKCSW.EHZ.--,0.271036,199.565,Pg,2014-07-14 10:19:07.610,manual,0.5,0.0
GS.OK025.HHZ.00,0.0807227,186.378,Pg,2014-07-14 10:19:04.520,manual,0.2,0.0
OK.BCOK.HHZ.--,0.230023,268.889,Pg,2014-07-14 10:19:08.670,manual,2.3,0.0
GS.ADOK.HNZ.--,0.0372259,255.262,Pg,2014-07-14 10:19:04.140,manual,0.2,0.0
OK.W35A.EHZ.--,0.627933,143.816,Pg,2014-07-14 10:19:13.560,manual,0.0,0.0
OK.FNO.HHZ.01,0.407741,188.577,Pg,2014-07-14 10:19:10.530,automatic,1.0,0.0
US.WMOK.BHZ.10,1.50553,232.682,Pn,2014-07-14 10:19:29.230,manual,1.4,0.031
OK.X34A.HHZ.--,1.13636,201.539,Pn,2014-07-14 10:19:22.900,manual,0.1,0.031
GS.KAN11.HHZ.01,1.61232,343.118,Pn,2014-07-14 10:19:32.220,manual,2.9,0.012
N4.T35B.BHZ.--,1.41471,27.4978,Pn,2014-07-14 10:19:26.310,manual,-0.3,0.011
OK.X37A.BHZ.--,1.92717,123.153,Pg,2014-07-14 10:19:36.550,automatic,0.4,0.008
TA.W39A.BHZ.--,2.93025,98.0897,Pn,2014-07-14 10:19:50.760,manual,3.4,0.012
N4.U38B.BHZ.--,2.50657,71.0981,Pn,2014-07-14 10:19:43.130,manual,1.5,0.012
GS.OK009.HNZ.01,0.1119,224.372,Pg,2014-07-14 10:19:05.340,manual,0.7,0.0
GS.KAN11.HNN.01,1.61232,343.118,Sg,2014-07-14 10:19:51.750,manual,0.7,0.11
GS.KAN10.HHN.01,1.58525,337.21,Sn,2014-07-14 10:19:47.510,manual,-1.7,0.015
GS.KAN10.HHE.01,1.58525,337.21,Sg,2014-07-14 10:19:48.480,manual,-1.8,0.099
N4.T35B.BHE.--,1.41471,27.4978,Sn,2014-07-14 10:19:42.710,manual,-2.3,0.014
OK.U32A.BHN.--,1.53494,298.316,Sg,2014-07-14 10:19:50.290,manual,1.5,0.122
TA.TUL1.BHE.--,1.27251,78.2967,Sn,2014-07-14 10:19:42.210,manual,0.7,0.022
GS.KAN13.HHE.01,1.35417,354.882,Sn,2014-07-14 10:19:40.680,manual,-2.8,0.015
GS.OK028.HHZ.00,0.238404,114.771,Pg,2014-07-14 10:19:07.350,manual,0.8,0.0
OK.KNG1.EHZ.--,0.557035,327.609,Pg,2014-07-14 10:19:11.190,manual,-1.1,0.0
OK.QUOK.HHZ.--,0.715041,44.4538,Pg,2014-07-14 10:19:14.750,manual,-0.5,0.071
OK.CROK.HHZ.--,0.995404,327.9,Pg,2014-07-14 10:19:19.480,manual,-0.8,0.012
TA.TUL1.BHZ.--,1.27251,78.2967,Pn,2014-07-14 10:19:26.160,manual,1.5,0.016
GS.KAN13.HHZ.01,1.35417,354.882,Pn,2014-07-14 10:19:25.280,manual,-0.5,0.012
GS.KAN10.HHZ.01,1.58525,337.21,Pn,2014-07-14 10:19:31.570,manual,2.6,0.013
OK.U32A.BHZ.--,1.53494,298.316,Pn,2014-07-14 10:19:29.770,manual,1.5,0.022
GS.KAN12.HHZ.01,1.7199,341.869,Pn,2014-07-14 10:19:34.130,manual,3.3,0.012
ZW.AZDA.EHZ.01,2.68873,184.097,Pn,2014-07-14 10:19:45.920,manual,1.8,0.019
N4.R32B.BHZ.--,2.96998,338.52,Pn,2014-07-14 10:19:47.700,manual,-0.3,0.01
US.MIAR.BHZ.00,3.27018,108.821,Pn,2014-07-14 10:19:51.280,manual,-0.8,0.012
US.AMTX.BHZ.00,3.64573,258.974,Pn,2014-07-14 10:19:58.810,manual,1.5,0.019
TA.U40A.BHZ.--,3.69233,77.8678,Pn,2014-07-14 10:19:59.850,manual,1.9,0.01
N4.S39B.BHZ.--,3.80282,56.6382,Pn,2014-07-14 10:20:01.230,manual,1.8,0.008
TA.X40A.BHZ.--,3.86627,106.336,Pn,2014-07-14 10:20:01.690,manual,1.4,0.01
TA.W41B.BHZ.--,4.17642,95.2163,Pn,2014-07-14 10:20:04.840,manual,0.3,0.009
GS.KAN13.HNN.01,1.35417,354.882,Sg,2014-07-14 10:19:40.820,manual,-2.8,0.032
N4.Z35B.BHZ.--,2.32575,178.475,Pn,2014-07-14 10:19:42.100,manual,3.0,0.02
AG.FCAR.HHZ.00,4.23647,85.3957,Pn,2014-07-14 10:20:08.720,manual,3.4,0.009
US.KSU1.BHZ.10,3.48047,9.23501,Pn,2014-07-14 10:19:55.040,manual,0.1,0.007
TA.ABTX.BHZ.--,3.58743,213.031,Pn,2014-07-14 10:19:58.440,manual,2.0,0.019
OK.KAY1.HHZ.--,1.10285,4.79099,Pn,2014-07-14 10:19:21.190,manual,-1.1,0.012
AG.HHAR.HHZ.00,2.81611,76.3076,Pn,2014-07-14 10:19:49.470,manual,3.6,0.011
NM.MGMO.BHZ.--,4.34315,68.457,Pn,2014-07-14 10:20:08.660,manual,1.8,0.008
