#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000ruef
#time = 2014-07-18 21:56:32.500000
#location = 7km N of Spencer, Oklahoma
#latitude = 35.5905
#longitude = -97.3912
#depth = 6.4
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000ruef
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.18957,290.456,Pg,2014-07-18 21:56:36.650,automatic,0.3,0.0
GS.OK026.HHZ.00,0.181586,195.712,Pg,2014-07-18 21:56:36.540,manual,0.4,0.0
OK.OKCSW.EHZ.--,0.188503,191.703,Pg,2014-07-18 21:56:36.660,automatic,0.4,0.0
GS.OK029.HHZ.00,0.212092,345.866,Pg,2014-07-18 21:56:37.120,manual,0.4,0.0
GS.OK028.HHZ.00,0.270442,96.1314,Pg,2014-07-18 21:56:38.260,automatic,0.4,0.0
OK.FNO.HHZ.01,0.33246,181.411,Pg,2014-07-18 21:56:39.860,manual,0.9,0.0
OK.W35A.EHZ.--,0.607557,135.821,Pg,2014-07-18 21:56:44.160,automatic,0.0,0.0
GS.ADOK.HNZ.--,0.0635132,14.9327,Pg,2014-07-18 21:56:34.540,manual,0.3,0.0
GS.OK025.HHZ.00,0.0444442,102.167,Pg,2014-07-18 21:56:34.200,automatic,0.2,0.0
OK.KNG1.EHZ.--,0.594477,335.519,Pg,2014-07-18 21:56:44.250,manual,0.3,0.0
US.WMOK.BHZ.10,1.42113,233.634,Pn,2014-07-18 21:56:58.070,automatic,-0.8,0.016
GS.KAN11.HHZ.01,1.66637,345.512,Pn,2014-07-18 21:57:02.470,manual,0.2,0.017
US.KSU1.BHZ.10,3.55902,9.8466,Pg,2014-07-18 21:57:37.520,automatic,1.7,0.003
OK.X37A.BHZ.--,1.93431,120.511,Pn,2014-07-18 21:57:06.870,manual,1.0,0.019
