#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000s4jj
#time = 2014-08-20 12:01:57.400000
#location = 6km S of Langston, Oklahoma
#latitude = 35.8851
#longitude = -97.2638
#depth = 4.5
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000s4jj
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK027.HHZ.00,0.173478,185.329,Pg,2014-08-20 12:02:01.190,manual,0.4,0.0
GS.OK025.HHZ.00,0.309279,191.262,Pg,2014-08-20 12:02:03.940,manual,0.6,0.0
GS.OK029.HHZ.00,0.178629,240.426,Pg,2014-08-20 12:02:01.200,manual,0.3,0.0
GS.OK028.HHZ.00,0.362834,152.946,Pg,2014-08-20 12:02:04.940,manual,0.5,0.0
OK.BCOK.HHZ.--,0.361779,231.053,Pg,2014-08-20 12:02:04.760,manual,0.4,0.0
OK.KNG1.EHZ.--,0.428215,305.302,Pg,2014-08-20 12:02:05.970,manual,0.3,0.0
OK.QUOK.HHZ.--,0.533481,57.4564,Pg,2014-08-20 12:02:07.980,manual,0.3,0.0
OK.FNO.HHZ.01,0.636264,190.179,Pg,2014-08-20 12:02:10.410,manual,0.8,0.036
OK.OKCSW.EHZ.--,0.499151,196.565,Pg,2014-08-20 12:02:07.410,manual,0.4,0.0
OK.CROK.HHZ.--,0.849197,316.942,Pg,2014-08-20 12:02:13.740,manual,0.0,0.053
OK.W35A.EHZ.--,0.796812,156.398,Pg,2014-08-20 12:02:12.320,manual,-0.4,0.042
GS.KAN13.HHZ.01,1.1387,351.348,Pg,2014-08-20 12:02:18.910,manual,-0.3,0.022
GS.KAN11.HHZ.01,1.41825,338.552,Pn,2014-08-20 12:02:23.880,manual,-0.1,0.069
GS.KAN12.HHZ.01,1.52836,337.474,Pn,2014-08-20 12:02:25.720,manual,0.3,0.068
GS.KAN10.HHZ.01,1.40575,331.792,Pn,2014-08-20 12:02:23.480,manual,-0.3,0.073
US.WMOK.BHZ.10,1.68792,227.744,Pn,2014-08-20 12:02:27.960,manual,0.3,0.091
N4.T35B.BHZ.--,1.19451,30.2971,Pg,2014-08-20 12:02:19.800,manual,-0.5,0.022
TA.TUL1.BHZ.--,1.19533,88.3584,Pg,2014-08-20 12:02:19.210,manual,-1.1,0.042
OK.X37A.BHZ.--,2.01778,129.3,Pn,2014-08-20 12:02:32.640,manual,0.5,0.068
TA.U40A.BHZ.--,3.60133,81.2015,Pn,2014-08-20 12:02:54.460,manual,0.5,0.042
N4.S39B.BHZ.--,3.64076,59.162,Pn,2014-08-20 12:02:54.860,manual,0.4,0.038
GS.OK027.HH2.00,0.173478,185.329,Sg,2014-08-20 12:02:04.100,manual,0.9,0.049
GS.ADOK.HNZ.--,0.24843,200.595,Pg,2014-08-20 12:02:02.780,manual,0.5,0.0
GS.ADOK.HNE.--,0.24843,200.595,Sg,2014-08-20 12:02:06.350,manual,0.8,0.043
