#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000s52u
#time = 2014-07-28 15:08:04.220000
#location = 4km W of Cherokee, Oklahoma
#latitude = 36.7470
#longitude = -98.4060
#depth = 4.2
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000s52u
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.417201,125.299,Pg,2014-07-28 15:08:12.650,manual,0.4,0.0
NQ.KAN07.HNZ.01,0.437099,57.0364,Pg,2014-07-28 15:08:13.140,manual,0.5,0.0
GS.KAN10.HHZ.01,0.450856,33.4465,Pg,2014-07-28 15:08:13.490,manual,0.6,0.0
NQ.KAN05.HNZ.01,0.559712,49.7671,Pg,2014-07-28 15:08:15.630,manual,0.7,0.0
NQ.KAN08.HNZ.01,0.592132,35.9097,Pg,2014-07-28 15:08:16.140,manual,0.5,0.0
OK.U32A.BHZ.--,0.603584,232.757,Pg,2014-07-28 15:08:16.100,manual,0.3,0.0
NQ.KAN02.HNZ.01,0.617005,43.0316,Pg,2014-07-28 15:08:16.510,manual,0.4,0.0
NQ.KAN01.HNZ.01,0.658094,51.743,Pg,2014-07-28 15:08:17.100,manual,0.2,0.056
GS.KAN13.HHZ.01,0.790152,70.0959,Pg,2014-07-28 15:08:19.330,manual,-0.1,0.053
OK.KNG1.EHZ.--,0.839399,136.746,Pg,2014-07-28 15:08:20.290,manual,0.0,0.105
OK.KAY1.HHZ.--,0.958893,88.7067,Pg,2014-07-28 15:08:22.580,manual,0.0,0.055
GS.OK029.HHZ.00,1.22077,140.698,Pg,2014-07-28 15:08:26.830,manual,-0.8,0.062
OK.BCOK.HHZ.--,1.26455,149.129,Pg,2014-07-28 15:08:27.530,manual,-0.9,0.058
GS.ADOK.HNZ.--,1.3765,142.24,Pn,2014-07-28 15:08:29.770,manual,-0.4,0.04
OK.CROK.HHN.--,0.417201,125.299,Sg,2014-07-28 15:08:17.480,manual,-0.2,0.156
NQ.KAN07.HNN.01,0.437099,57.0364,Sg,2014-07-28 15:08:19.240,manual,0.9,0.063
GS.KAN10.HHN.01,0.450856,33.4465,Sg,2014-07-28 15:08:19.350,manual,0.6,0.064
NQ.KAN05.HNE.01,0.559712,49.7671,Sg,2014-07-28 15:08:22.520,manual,0.3,0.054
NQ.KAN08.HNN.01,0.592132,35.9097,Sg,2014-07-28 15:08:24.100,manual,0.8,0.056
OK.U32A.BHN.--,0.603584,232.757,Sg,2014-07-28 15:08:24.180,manual,0.5,0.051
NQ.KAN02.HNE.01,0.617005,43.0316,Sg,2014-07-28 15:08:24.910,manual,0.8,0.052
NQ.KAN01.HNN.01,0.658094,51.743,Sg,2014-07-28 15:08:25.790,manual,0.4,0.05
GS.OK027.HHZ.00,1.3749,138.364,Pn,2014-07-28 15:08:29.570,manual,-0.6,0.04
GS.OK025.HHZ.00,1.44938,143.076,Pn,2014-07-28 15:08:30.770,manual,-0.4,0.04
OK.QUOK.HHZ.--,1.48452,112.259,Pn,2014-07-28 15:08:31.620,manual,-0.1,0.038
N4.T35B.BHZ.--,1.52901,83.0918,Pn,2014-07-28 15:08:32.370,manual,0.1,0.037
GS.OK026.HHZ.00,1.53752,149.524,Pn,2014-07-28 15:08:32.370,manual,-0.1,0.039
OK.OKCSW.EHZ.--,1.55146,149.353,Pn,2014-07-28 15:08:32.450,manual,-0.2,0.039
GS.OK028.HHZ.00,1.60768,137.003,Pn,2014-07-28 15:08:33.500,manual,0.1,0.038
N4.R32B.BHZ.--,1.69005,351.847,Pn,2014-07-28 15:08:35.220,manual,0.7,0.076
OK.FNO.HHZ.01,1.6951,150.976,Pn,2014-07-28 15:08:35.060,manual,0.5,0.038
OK.W35A.EHZ.--,2.01867,141.555,Pn,2014-07-28 15:08:39.290,manual,0.3,0.035
US.WMOK.BHZ.10,2.02782,188.755,Pn,2014-07-28 15:08:39.210,manual,0.0,0.035
OK.X34A.HHZ.--,2.19164,167.533,Pn,2014-07-28 15:08:41.670,manual,0.3,0.034
TA.TUL1.BHZ.--,2.26996,110.802,Pn,2014-07-28 15:08:42.470,manual,0.0,0.032
US.CBKS.BHZ.00,2.31744,333.328,Pn,2014-07-28 15:08:43.350,manual,0.2,0.072
US.KSU1.BHZ.10,2.74595,30.6085,Pn,2014-07-28 15:08:49.060,manual,0.0,0.043
N4.U38B.BHZ.--,3.24982,94.2194,Pn,2014-07-28 15:08:55.990,manual,0.0,0.025
OK.X37A.BHZ.--,3.27713,130.174,Pn,2014-07-28 15:08:55.910,manual,-0.4,0.026
N4.Z35B.BHZ.--,3.53702,164.152,Pn,2014-07-28 15:08:59.600,manual,-0.3,0.026
