#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000s5df
#time = 2014-08-22 03:09:58.500000
#location = 4km E of Langston, Oklahoma
#latitude = 35.9377
#longitude = -97.2015
#depth = 5.0
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000s5df
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK028.HHZ.00,0.392689,163.089,Pg,2014-08-22 03:10:06.160,manual,0.1,0.0
GS.OK027.HHZ.00,0.23489,196.526,Pg,2014-08-22 03:10:03.420,manual,0.3,0.0
GS.OK026.HHZ.00,0.559569,201.395,Pg,2014-08-22 03:10:09.090,manual,-0.2,0.0
US.WMOK.BHZ.10,1.76065,227.623,Pn,2014-08-22 03:10:30.320,manual,0.6,0.035
N4.T35B.BHZ.--,1.12381,29.4585,Pg,2014-08-22 03:10:19.520,manual,-0.5,0.031
TA.TUL1.BHZ.--,1.14443,90.9503,Pg,2014-08-22 03:10:19.450,manual,-1.0,0.061
AG.FCAR.HHZ.00,4.12155,89.1714,Pn,2014-08-22 03:11:01.930,manual,-0.2,0.018
US.MIAR.BHZ.00,3.276,114.033,Sn,2014-08-22 03:11:31.150,automatic,1.3,0.018
TA.W39A.BHZ.--,2.88265,103.877,Pn,2014-08-22 03:10:44.890,manual,-0.2,0.025
N4.R40B.BHZ.--,4.58892,57.7482,Sn,2014-08-22 03:12:02.150,automatic,-0.1,0.006
TA.U40A.BHZ.--,3.54361,81.951,Sn,2014-08-22 03:11:36.650,automatic,0.2,0.012
IU.CCM.BHZ.10,5.21531,64.3202,Sg,2014-08-22 03:12:32.440,automatic,-0.7,0.093
N4.S39B.BHZ.--,3.57049,59.5056,Sn,2014-08-22 03:11:37.520,automatic,0.4,0.009
NM.MGMO.BHZ.--,4.15306,71.5482,Sn,2014-08-22 03:11:52.020,automatic,0.5,0.008
OK.QUOK.HHZ.--,0.462932,59.6049,Pg,2014-08-22 03:10:07.940,manual,0.5,0.0
OK.BCOK.HHZ.--,0.434198,229.895,Pg,2014-08-22 03:10:06.700,manual,-0.2,0.0
OK.OKCSW.EHZ.--,0.564882,200.0,Pg,2014-08-22 03:10:09.480,manual,0.1,0.0
OK.FNO.HHZ.01,0.69805,193.541,Pg,2014-08-22 03:10:11.730,manual,-0.2,0.064
OK.CROK.HHZ.--,0.848484,312.057,Pg,2014-08-22 03:10:14.610,manual,-0.2,0.105
OK.X34A.HHZ.--,1.43016,201.35,Pn,2014-08-22 03:10:25.100,manual,0.0,0.033
GS.OK029.HHZ.00,0.249374,235.699,Pg,2014-08-22 03:10:02.930,manual,-0.4,0.0
