#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000sax7
#time = 2014-09-10 00:11:42.700000
#location = 17km WSW of Caldwell, Kansas
#latitude = 36.9682
#longitude = -97.7852
#depth = 7.5
#magnitude = 3.3
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000sax7
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.KAY1.HHZ.--,0.503232,113.881,Pg,2014-09-10 00:11:52.620,manual,0.2,0.0
US.CBKS.BHZ.00,2.40427,320.627,Pn,2014-09-10 00:12:23.790,manual,1.3,0.035
AG.HHAR.HHZ.00,3.168,101.332,Pn,2014-09-10 00:12:34.410,manual,1.5,0.021
US.MIAR.BHZ.00,4.19008,123.987,Pn,2014-09-10 00:12:45.450,manual,-1.5,0.015
US.OGNE.BHZ.00,5.16957,321.491,Pn,2014-09-10 00:13:01.410,manual,0.9,0.0
AG.FCAR.HHZ.00,4.69,101.569,Pn,2014-09-10 00:12:53.800,manual,0.0,0.0
N4.R32B.BHZ.--,1.62699,333.447,Pn,2014-09-10 00:12:13.090,manual,1.3,0.044
AG.WHAR.HHZ.00,4.75336,108.989,Pn,2014-09-10 00:12:54.340,manual,-0.4,0.0
US.SDCO.BHZ.00,6.19531,279.526,Pn,2014-09-10 00:13:14.930,manual,0.1,0.0
US.ECSD.BHZ.10,6.81682,7.16875,Pn,2014-09-10 00:13:22.470,manual,-0.6,0.025
TA.X40A.BHZ.--,4.72721,120.107,Pn,2014-09-10 00:12:55.820,manual,1.5,0.0
N4.Z35B.BHZ.--,3.6551,172.993,Pn,2014-09-10 00:12:39.770,manual,0.2,0.018
TA.T25A.BHZ.--,5.30223,273.836,Pn,2014-09-10 00:13:02.870,manual,0.4,0.018
TA.W41B.BHZ.--,4.82938,110.115,Pn,2014-09-10 00:12:56.650,manual,0.9,0.0
ZW.AZDA.EHZ.01,3.9906,177.222,Pn,2014-09-10 00:12:44.140,manual,-0.1,0.017
N4.N35B.BHZ.--,4.23121,22.6017,Pn,2014-09-10 00:12:48.630,manual,1.1,0.029
N4.P38B.BHZ.--,4.26925,50.2964,Pn,2014-09-10 00:12:48.770,manual,0.7,0.026
N4.R40B.BHZ.--,4.57391,71.5516,Pn,2014-09-10 00:12:52.810,manual,0.6,0.0
IW.PHWY.BHZ.00,7.36624,308.328,Pn,2014-09-10 00:13:30.240,manual,-0.6,0.0
TA.N23A.BHZ.--,7.46952,304.159,Pn,2014-09-10 00:13:33.520,manual,1.3,0.0
AG.WLAR.HHZ.00,5.02994,129.208,Sg,2014-09-10 00:14:10.790,automatic,-0.8,0.077
N4.N38B.BHZ.--,5.21385,41.5093,Lg,2014-09-10 00:14:31.420,automatic,-1.8,0.0
GS.KAN12.HHZ.01,0.369995,332.7,Pg,2014-09-10 00:11:50.240,manual,0.3,0.0
GS.KAN11.HHZ.01,0.25852,336.696,Pg,2014-09-10 00:11:47.700,manual,-0.1,0.0
GS.KAN10.HHZ.01,0.292415,302.106,Pg,2014-09-10 00:11:48.530,manual,0.1,0.0
GS.KAN13.HHZ.01,0.25014,79.6328,Pg,2014-09-10 00:11:47.710,manual,0.0,0.0
N4.T35B.BHZ.--,1.02145,92.5299,Pg,2014-09-10 00:12:01.570,manual,-0.7,0.041
OK.CROK.HHZ.--,0.489238,199.051,Pg,2014-09-10 00:11:51.740,manual,-0.4,0.0
OK.KNG1.EHZ.--,0.837372,175.025,Pg,2014-09-10 00:11:58.180,manual,-0.6,0.07
OK.QUOK.HHZ.--,1.1766,132.2,Pg,2014-09-10 00:12:04.590,manual,-0.7,0.029
OK.U32A.BHZ.--,1.14072,239.362,Pg,2014-09-10 00:12:03.350,manual,-1.3,0.048
