#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000sblz
#time = 2014-09-12 07:05:30.900000
#location = 18km ENE of Mooreland, Oklahoma
#latitude = 36.5000
#longitude = -99.0133
#depth = 5.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000sblz
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.U32A.BHZ.--,0.12064,175.436,Pg,2014-09-12 07:05:33.530,manual,0.1,0.0
GS.KAN10.HHZ.01,0.964493,49.544,Pg,2014-09-12 07:05:48.420,manual,-1.0,0.143
OK.KNG1.EHZ.--,1.12579,108.632,Pg,2014-09-12 07:05:51.610,manual,-0.9,0.096
GS.KAN13.HHZ.01,1.33518,66.9974,Pn,2014-09-12 07:05:55.510,manual,-0.7,0.044
OK.BCOK.HHZ.--,1.41482,126.083,Pn,2014-09-12 07:05:56.680,manual,-0.6,0.043
GS.OK029.HHZ.00,1.44346,118.636,Pn,2014-09-12 07:05:57.550,manual,-0.2,0.041
GS.OK027.HHZ.00,1.60632,118.798,Pn,2014-09-12 07:05:59.320,manual,-0.6,0.039
GS.OK025.HHZ.00,1.63845,123.537,Pn,2014-09-12 07:05:59.790,manual,-0.6,0.04
GS.OK026.HHZ.00,1.66651,130.043,Pn,2014-09-12 07:06:00.650,manual,-0.1,0.041
OK.OKCSW.EHZ.--,1.68119,130.05,Pn,2014-09-12 07:06:01.690,manual,0.7,0.041
US.WMOK.BHZ.10,1.76844,173.78,Pn,2014-09-12 07:06:02.120,manual,-0.1,0.066
OK.FNO.HHZ.01,1.80315,132.969,Pn,2014-09-12 07:06:03.640,manual,1.0,0.041
GS.OK028.HHZ.00,1.83871,120.057,Pn,2014-09-12 07:06:02.740,manual,-0.4,0.037
OK.QUOK.HHZ.--,1.89004,99.3073,Pn,2014-09-12 07:06:05.240,manual,1.4,0.036
N4.R32B.BHZ.--,1.93411,7.05052,Pn,2014-09-12 07:06:04.840,manual,0.3,0.048
N4.T35B.BHZ.--,2.05255,77.5784,Pn,2014-09-12 07:06:07.540,manual,1.4,0.036
OK.X34A.HHZ.--,2.12536,152.719,Pn,2014-09-12 07:06:08.600,manual,1.5,0.047
OK.W35A.EHZ.--,2.19728,127.092,Pn,2014-09-12 07:06:09.390,manual,1.3,0.036
