#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000sd8r
#time = 2014-09-16 22:35:03.900000
#location = 2km NE of Medford, Oklahoma
#latitude = 36.8204
#longitude = -97.7150
#depth = 4.2
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000sd8r
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN13.HHZ.01,0.270286,44.6233,Pg,2014-09-16 22:35:09.720,manual,0.6,0.0
OK.KAY1.HHZ.--,0.407707,97.9699,Pg,2014-09-16 22:35:12.190,manual,0.4,0.0
GS.KAN10.HHZ.01,0.429175,314.937,Pg,2014-09-16 22:35:12.690,manual,0.5,0.0
OK.CROK.HHZ.--,0.381911,214.489,Pg,2014-09-16 22:35:11.660,manual,0.4,0.0
GS.KAN12.HHZ.01,0.527198,334.654,Pg,2014-09-16 22:35:14.470,manual,0.4,0.0
OK.KNG1.EHZ.--,0.686911,178.684,Pg,2014-09-16 22:35:17.220,manual,0.1,0.073
OK.QUOK.HHZ.--,1.03824,128.298,Pg,2014-09-16 22:35:23.500,manual,-0.3,0.067
GS.OK029.HHZ.00,1.0431,168.304,Pg,2014-09-16 22:35:23.690,manual,-0.2,0.042
GS.OK027.HHZ.00,1.15978,162.378,Pg,2014-09-16 22:35:25.830,manual,-0.3,0.037
OK.BCOK.HHZ.--,1.16446,175.76,Pg,2014-09-16 22:35:25.760,manual,-0.5,0.036
GS.OK025.HHZ.00,1.27381,166.035,Pg,2014-09-16 22:35:27.840,manual,-0.5,0.032
GS.OK028.HHZ.00,1.3634,156.989,Pn,2014-09-16 22:35:29.190,manual,-0.5,0.037
OK.FNO.HHZ.01,1.58034,170.646,Pn,2014-09-16 22:35:32.970,manual,0.3,0.036
GS.OK026.HHZ.00,1.41834,171.268,Pn,2014-09-16 22:35:30.140,manual,-0.3,0.037
OK.W35A.EHZ.--,1.79838,157.478,Pn,2014-09-16 22:35:36.250,manual,0.6,0.034
US.WMOK.BHZ.10,2.25143,202.95,Pn,2014-09-16 22:35:42.050,manual,0.1,0.033
TA.TUL1.BHZ.--,1.79832,119.758,Pn,2014-09-16 22:35:36.700,manual,1.0,0.035
OK.X34A.HHZ.--,2.21668,182.509,Pn,2014-09-16 22:35:42.360,manual,0.9,0.031
OK.U32A.BHZ.--,1.12484,247.356,Pg,2014-09-16 22:35:25.020,manual,-0.5,0.041
US.CBKS.BHZ.00,2.55451,321.79,Pn,2014-09-16 22:35:47.140,manual,1.0,0.039
US.KSU1.BHZ.10,2.43863,20.6604,Pn,2014-09-16 22:35:45.140,manual,0.7,0.037
AG.HHAR.HHZ.00,3.08666,98.8967,Pn,2014-09-16 22:35:54.050,manual,0.6,0.028
OK.X37A.BHZ.--,2.93155,138.721,Pn,2014-09-16 22:35:51.790,manual,0.5,0.027
N4.P38B.BHZ.--,4.3227,48.3605,Pn,2014-09-16 22:36:11.230,manual,0.9,0.024
N4.T35B.BHZ.--,0.969536,83.9795,Pg,2014-09-16 22:35:22.370,manual,-0.1,0.052
N4.U38B.BHZ.--,2.70487,97.0855,Pn,2014-09-16 22:35:49.330,manual,1.2,0.03
N4.R40B.BHZ.--,4.56985,69.6197,Pn,2014-09-16 22:36:13.570,manual,-0.2,0.022
N4.S39B.BHZ.--,3.61039,74.752,Pn,2014-09-16 22:36:01.070,manual,0.5,0.027
TA.U40A.BHZ.--,3.93965,95.2977,Pn,2014-09-16 22:36:06.450,manual,1.3,0.024
N4.P40B.BHZ.--,5.21985,57.068,Pn,2014-09-16 22:36:22.610,manual,-0.1,0.021
N4.L40A.BHZ.--,7.25451,41.8167,Pn,2014-09-16 22:36:50.370,manual,-0.3,0.023
OK.OKCSW.EHZ.--,1.42968,170.892,Pn,2014-09-16 22:35:30.370,manual,-0.2,0.037
N4.R32B.BHZ.--,1.78419,333.988,Pn,2014-09-16 22:35:36.360,manual,0.8,0.046
N4.Z35B.BHZ.--,3.50203,173.655,Pn,2014-09-16 22:35:59.340,manual,0.2,0.024
US.AMTX.BHZ.00,3.75645,240.216,Pn,2014-09-16 22:36:03.500,manual,0.8,0.027
US.MIAR.BHZ.00,4.06192,122.75,Pn,2014-09-16 22:36:07.450,manual,0.7,0.022
N4.Z38B.BHZ.--,4.19904,146.973,Pn,2014-09-16 22:36:08.410,manual,-0.3,0.021
N4.N35B.BHZ.--,4.34709,21.2135,Pn,2014-09-16 22:36:12.140,manual,1.4,0.026
TA.ABTX.BHZ.--,4.47745,201.33,Pn,2014-09-16 22:36:12.420,manual,-0.1,0.021
TA.KSCO.BHZ.--,4.45754,300.871,Pn,2014-09-16 22:36:12.900,manual,0.5,0.027
TA.X40A.BHZ.--,4.60555,118.916,Pn,2014-09-16 22:36:13.930,manual,-0.3,0.02
AG.FCAR.HHZ.00,4.60713,99.958,Pn,2014-09-16 22:36:15.220,manual,0.9,0.021
TA.BGNE.BHZ.--,4.594,355.91,Pn,2014-09-16 22:36:14.400,manual,0.3,0.025
AG.WHAR.HHZ.00,4.65365,107.543,Pn,2014-09-16 22:36:15.310,manual,0.4,0.02
TA.WHTX.BHZ.--,4.82206,177.382,Pn,2014-09-16 22:36:17.100,manual,-0.1,0.019
AG.WLAR.HHZ.00,4.89367,128.332,Pn,2014-09-16 22:36:18.750,manual,0.5,0.019
TA.MSTX.BHZ.--,5.01511,236.942,Pn,2014-09-16 22:36:19.120,manual,-0.9,0.022
N4.L34B.BHZ.--,5.24283,10.9911,Pn,2014-09-16 22:36:23.830,manual,0.8,0.022
