#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000sfg0
#time = 2014-09-24 05:49:33.700000
#location = 8km NNE of Pawnee, Oklahoma
#latitude = 36.4035
#longitude = -96.7616
#depth = 5.4
#magnitude = 3.5
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000sfg0
#us_Mwr_mrr = 40170000000000
#us_Mwr_mtt = -28150000000000
#us_Mwr_mpp = -12020000000000
#us_Mwr_mrt = -84730000000000
#us_Mwr_mrp = 68330000000000
#us_Mwr_mtp = 204020000000000
#us_Mwr_np1_strike = 87.69
#us_Mwr_np1_dip = 79.59
#us_Mwr_np1_rake = -17.5
#us_Mwr_np2_strike = 180.95
#us_Mwr_np2_dip = 72.8
#us_Mwr_np2_rake = -169.09
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.235643,169.395,Pg,2014-09-24 05:49:38.760,manual,0.4,0.0
OK.KAY1.HHZ.--,0.509961,314.801,Pg,2014-09-24 05:49:43.900,manual,0.4,0.0
GS.OK029.HHZ.00,0.825869,223.038,Pg,2014-09-24 05:49:49.420,automatic,-0.1,0.045
GS.OK028.HHZ.00,0.875093,196.221,Pg,2014-09-24 05:49:50.290,automatic,-0.2,0.037
GS.KAN13.HHZ.01,0.837363,316.795,Pg,2014-09-24 05:49:49.960,manual,0.2,0.055
GS.OK025.HHZ.00,0.944418,209.83,Pg,2014-09-24 05:49:51.510,automatic,-0.3,0.035
GS.OK027.HHZ.00,0.809374,211.66,Pg,2014-09-24 05:49:49.250,automatic,0.0,0.043
GS.OK026.HHZ.00,1.13401,209.794,Pg,2014-09-24 05:49:54.590,manual,-0.9,0.027
OK.CROK.HHZ.--,0.990216,276.217,Pg,2014-09-24 05:49:52.610,manual,-0.1,0.049
OK.BCOK.HHZ.--,1.01366,222.927,Pg,2014-09-24 05:49:52.810,manual,-0.3,0.035
GS.KAN10.HHZ.01,1.2896,304.262,Pn,2014-09-24 05:49:58.110,manual,-0.2,0.041
OK.W35A.EHZ.--,1.25149,184.24,Pn,2014-09-24 05:49:56.650,manual,-1.2,0.032
OK.OKCSW.EHZ.--,1.13725,209.072,Pn,2014-09-24 05:49:54.710,manual,-1.5,0.035
OK.FNO.HHZ.01,1.25621,204.628,Pg,2014-09-24 05:49:57.110,manual,-0.7,0.023
GS.ADOK.HNZ.--,0.898047,213.557,Pn,2014-09-24 05:49:53.860,automatic,0.9,0.037
US.WMOK.BHZ.10,2.33902,225.316,Pn,2014-09-24 05:50:13.290,automatic,0.5,0.028
US.KSU1.BHZ.10,2.69551,2.51881,Pn,2014-09-24 05:50:18.500,automatic,0.8,0.024
AG.HHAR.HHZ.00,2.28124,92.2099,Pn,2014-09-24 05:50:13.500,automatic,1.5,0.027
