#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000slfy
#time = 2014-10-13 01:44:30.100000
#location = 11km WSW of Pawnee, Oklahoma
#latitude = 36.2869
#longitude = -96.9192
#depth = 7.7
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000slfy
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.206024,123.957,Pg,2014-10-13 01:44:34.600,manual,0.3,0.0
GS.OK028.HHZ.00,0.733407,189.096,Pg,2014-10-13 01:44:43.820,manual,-0.4,0.047
GS.KAN13.HHZ.01,0.852543,328.368,Pg,2014-10-13 01:44:46.310,manual,-0.2,0.045
OK.BCOK.HHZ.--,0.841929,221.877,Pg,2014-10-13 01:44:45.920,manual,-0.4,0.048
OK.KNG1.EHZ.--,0.646511,256.423,Pg,2014-10-13 01:44:42.300,manual,-0.3,0.078
OK.W35A.EHZ.--,1.13234,178.146,Pg,2014-10-13 01:44:50.630,manual,-1.2,0.026
N4.T35B.BHZ.--,0.70844,27.4364,Pg,2014-10-13 01:44:43.850,manual,0.1,0.063
NM.MGMO.BHZ.--,3.83505,75.576,Pn,2014-10-13 01:45:30.940,manual,1.5,0.022
N4.U38B.BHZ.--,2.05056,84.9932,Pn,2014-10-13 01:45:06.420,manual,1.5,0.032
GS.OK025.HHZ.00,0.781994,205.878,Pg,2014-10-13 01:44:44.740,manual,-0.4,0.047
GS.OK029.HHZ.00,0.654134,221.743,Pg,2014-10-13 01:44:42.540,manual,-0.2,0.064
GS.KAN09.HHZ.01,1.01683,326.671,Pg,2014-10-13 01:44:49.170,manual,-0.5,0.036
OK.CROK.HHZ.--,0.885715,284.521,Pg,2014-10-13 01:44:46.610,manual,-0.5,0.053
GS.OK026.HHZ.00,0.971282,206.589,Pg,2014-10-13 01:44:48.180,manual,-0.6,0.036
OK.OKCSW.EHZ.--,0.975307,205.758,Pg,2014-10-13 01:44:48.040,manual,-0.8,0.036
TA.TUL1.BHZ.--,0.987256,112.036,Pg,2014-10-13 01:44:48.710,manual,-0.4,0.046
OK.QUOK.HHN.--,0.206024,123.957,Sg,2014-10-13 01:44:37.690,manual,0.6,0.106
GS.OK029.HH2.00,0.654134,221.743,Sg,2014-10-13 01:44:51.070,manual,-0.2,0.058
GS.OK028.HH2.00,0.733407,189.096,Sg,2014-10-13 01:44:53.980,manual,0.2,0.046
GS.OK025.HH2.00,0.781994,205.878,Sg,2014-10-13 01:44:55.400,manual,0.1,0.048
OK.BCOK.HHN.--,0.841929,221.877,Sg,2014-10-13 01:44:57.040,manual,-0.2,0.052
OK.CROK.HHN.--,0.885715,284.521,Sg,2014-10-13 01:44:58.480,manual,-0.2,0.06
GS.OK026.HH2.00,0.971282,206.589,Sg,2014-10-13 01:45:01.440,manual,0.1,0.044
OK.OKCSW.EHE.--,0.975307,205.758,Sg,2014-10-13 01:45:01.620,manual,0.1,0.043
GS.KAN09.HHN.01,1.01683,326.671,Sg,2014-10-13 01:45:02.760,manual,-0.1,0.044
OK.FNO.HHZ.01,1.09952,201.026,Pg,2014-10-13 01:44:50.690,manual,-0.5,0.03
NQ.OK914.HNZ.01,0.328762,163.605,Pg,2014-10-13 01:44:36.690,manual,0.1,0.0
NQ.OK915.HNZ.01,0.353153,160.317,Pg,2014-10-13 01:44:37.180,manual,0.2,0.0
GS.OK005.HNZ.01,0.668128,199.356,Pg,2014-10-13 01:44:42.820,manual,-0.2,0.054
GS.KAN05.HHZ.01,1.1222,317.237,Pg,2014-10-13 01:44:51.010,manual,-0.6,0.033
GS.KAN10.HHZ.01,1.26102,311.813,Pn,2014-10-13 01:44:53.500,manual,-0.6,0.045
