#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000sn9v
#time = 2014-10-17 02:56:32.100000
#location = 23km WSW of Perry, Oklahoma
#latitude = 36.2098
#longitude = -97.5325
#depth = 4.8
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000sn9v
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.417109,171.301,Pg,2014-10-17 02:56:40.500,manual,0.4,0.0
OK.CROK.HHZ.--,0.468075,309.092,Pg,2014-10-17 02:56:41.400,manual,0.3,0.0
GS.OK027.HHZ.00,0.536226,157.805,Pg,2014-10-17 02:56:42.790,manual,0.4,0.0
GS.OK025.HHZ.00,0.646961,165.807,Pg,2014-10-17 02:56:44.730,manual,0.2,0.039
GS.KAN13.HHZ.01,0.802736,3.12683,Pg,2014-10-17 02:56:47.520,manual,0.0,0.044
GS.KAN14.HHZ.01,0.822118,335.2,Pg,2014-10-17 02:56:47.800,manual,-0.1,0.03
GS.OK028.HHZ.00,0.751916,149.279,Pg,2014-10-17 02:56:46.670,manual,0.1,0.034
GS.OK030.HHZ.00,0.668686,114.667,Pg,2014-10-17 02:56:45.160,manual,0.2,0.075
OK.QUOK.HHZ.--,0.668071,93.0451,Pg,2014-10-17 02:56:45.050,manual,0.1,0.101
OK.OKCSW.EHZ.--,0.806251,174.505,Pg,2014-10-17 02:56:47.590,manual,0.0,0.033
OK.W35A.EHZ.--,1.18304,152.883,Pg,2014-10-17 02:56:53.880,manual,-0.9,0.018
US.WMOK.BHZ.10,1.78738,215.113,Pn,2014-10-17 02:57:03.610,manual,-0.1,0.119
N4.T35B.BHZ.--,1.08268,49.0675,Pg,2014-10-17 02:56:52.620,manual,-0.2,0.056
TA.TUL1.BHZ.--,1.44164,101.448,Pn,2014-10-17 02:56:58.330,manual,-0.6,0.083
OK.KNG1.EHZ.--,0.152895,239.661,Pg,2014-10-17 02:56:35.400,manual,0.2,0.0
OK.BCOK.HHZ.--,0.555442,186.465,Pg,2014-10-17 02:56:42.930,manual,0.1,0.0
GS.OK031.HHZ.00,0.617347,114.312,Pg,2014-10-17 02:56:44.220,manual,0.3,0.0
GS.OK026.HHZ.00,0.795541,175.223,Pg,2014-10-17 02:56:47.380,manual,0.0,0.034
GS.KAN09.HHZ.01,0.927069,355.758,Pg,2014-10-17 02:56:49.760,manual,-0.1,0.031
GS.KAN05.HHZ.01,0.937738,343.161,Pg,2014-10-17 02:56:49.930,manual,-0.2,0.026
