#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000snir
#time = 2014-10-17 16:47:41.700000
#location = 16km ENE of Mooreland, Oklahoma
#latitude = 36.5133
#longitude = -99.0507
#depth = 6.1
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000snir
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN12.HHZ.01,1.15085,46.8391,Pg,2014-10-17 16:48:03.220,manual,-0.6,0.157
OK.KNG1.EHZ.--,1.15859,108.756,Pg,2014-10-17 16:48:03.130,manual,-0.8,0.122
OK.BCOK.HHZ.--,1.44701,125.783,Pn,2014-10-17 16:48:08.250,manual,-0.2,0.094
GS.OK029.HHZ.00,1.47628,118.505,Pn,2014-10-17 16:48:09.190,manual,0.4,0.093
US.WMOK.BHZ.10,1.78514,172.843,Pn,2014-10-17 16:48:13.820,manual,0.7,0.108
GS.OK027.HHZ.00,1.63912,118.676,Pn,2014-10-17 16:48:11.520,manual,0.5,0.089
GS.KAN10.HHZ.01,0.979251,51.257,Pg,2014-10-17 16:48:00.110,manual,-0.4,0.201
OK.FNO.HHZ.01,1.83428,132.609,Pn,2014-10-17 16:48:15.080,manual,1.3,0.087
OK.U32A.BHZ.--,0.139323,163.41,Pg,2014-10-17 16:47:44.610,manual,0.0,0.0
US.AMTX.BHZ.00,2.68812,233.554,Pn,2014-10-17 16:48:27.320,manual,1.7,0.122
OK.W35A.EHZ.--,2.22933,126.875,Pn,2014-10-17 16:48:19.790,manual,0.6,0.079
GS.KAN13.HHZ.01,1.35794,67.9877,Pn,2014-10-17 16:48:06.810,manual,-0.4,0.097
N4.R32B.BHZ.--,1.92488,7.96659,Pn,2014-10-17 16:48:16.320,manual,1.3,0.07
N4.T35B.BHZ.--,2.07921,78.0919,Pn,2014-10-17 16:48:18.900,manual,1.8,0.083
OK.X37A.BHZ.--,3.56156,121.535,Pn,2014-10-17 16:48:37.710,manual,0.2,0.06
TA.T25A.BHZ.--,4.34533,279.86,Pn,2014-10-17 16:48:49.520,manual,1.0,0.077
OK.X34A.HHZ.--,2.15107,152.146,Pn,2014-10-17 16:48:19.840,manual,1.7,0.087
N4.Z35B.BHZ.--,3.50161,154.53,Pn,2014-10-17 16:48:36.970,manual,0.3,0.067
OK.U32A.BHN.--,0.139323,163.41,Sg,2014-10-17 16:47:47.240,manual,0.7,0.226
GS.KAN12.HHE.01,1.15085,46.8391,Sg,2014-10-17 16:48:18.640,manual,-0.1,0.214
OK.KNG1.EHN.--,1.15859,108.756,Sg,2014-10-17 16:48:18.830,manual,-0.1,0.167
