#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000snxp
#time = 2014-10-19 01:16:13.100000
#location = 12km WSW of Pawnee, Oklahoma
#latitude = 36.2852
#longitude = -96.9284
#depth = 4.4
#magnitude = 3.4
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000snxp
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK030.HHZ.00,0.37539,161.782,Pg,2014-10-19 01:16:20.870,manual,0.5,0.0
OK.QUOK.HHZ.--,0.211315,122.444,Pg,2014-10-19 01:16:17.930,manual,0.7,0.0
GS.OK031.HHZ.00,0.339208,167.667,Pg,2014-10-19 01:16:20.190,manual,0.5,0.0
GS.OK027.HHZ.00,0.640423,206.832,Pg,2014-10-19 01:16:25.700,manual,0.3,0.058
OK.KNG1.EHZ.--,0.638886,256.409,Pg,2014-10-19 01:16:25.610,manual,0.2,0.074
GS.OK025.HHZ.00,0.777245,205.435,Pg,2014-10-19 01:16:28.010,manual,0.0,0.045
GS.KAN13.HHZ.01,0.85012,328.849,Pg,2014-10-19 01:16:29.590,manual,0.2,0.034
GS.OK028.HHZ.00,0.730589,188.536,Pg,2014-10-19 01:16:27.100,manual,0.0,0.042
GS.OK026.HHZ.00,0.966455,206.234,Pg,2014-10-19 01:16:31.230,manual,-0.4,0.035
OK.BCOK.HHZ.--,0.835714,221.57,Pg,2014-10-19 01:16:29.180,manual,0.0,0.047
OK.CROK.HHZ.--,0.878951,284.745,Pg,2014-10-19 01:16:30.030,manual,0.1,0.045
GS.OK029.HHZ.00,0.647933,221.347,Pg,2014-10-19 01:16:25.800,manual,0.3,0.064
GS.KAN09.HHZ.01,1.01419,327.069,Pg,2014-10-19 01:16:32.540,manual,0.0,0.038
GS.KAN14.HHZ.01,1.06867,309.152,Pg,2014-10-19 01:16:33.430,manual,-0.2,0.028
GS.KAN05.HHZ.01,1.11842,317.57,Pg,2014-10-19 01:16:34.410,manual,-0.1,0.025
OK.OKCSW.EHZ.--,0.970565,205.401,Pg,2014-10-19 01:16:31.330,manual,-0.4,0.034
GS.KAN10.HHZ.01,1.25663,312.092,Pn,2014-10-19 01:16:36.880,manual,-0.6,0.034
GS.KAN08.HHZ.01,1.25855,318.61,Pn,2014-10-19 01:16:36.930,manual,-0.5,0.033
OK.FNO.HHZ.01,1.09529,200.689,Pg,2014-10-19 01:16:33.690,manual,-0.4,0.028
OK.W35A.EHZ.--,1.13091,177.761,Pg,2014-10-19 01:16:33.940,manual,-0.8,0.022
GS.KAN12.HHZ.01,1.32582,319.958,Pn,2014-10-19 01:16:38.100,manual,-0.3,0.032
US.WMOK.BHZ.10,2.16029,224.928,Pn,2014-10-19 01:16:50.100,manual,0.2,0.036
AG.HHAR.HHZ.00,2.41449,89.1913,Pn,2014-10-19 01:16:54.410,manual,1.1,0.027
TA.TUL1.BHZ.--,0.99352,111.779,Pg,2014-10-19 01:16:31.980,manual,-0.2,0.036
US.MIAR.BHZ.00,3.24147,121.397,Pn,2014-10-19 01:17:05.380,manual,0.7,0.024
N4.R32B.BHZ.--,2.56301,326.88,Pn,2014-10-19 01:16:55.960,manual,0.5,0.023
US.CBKS.BHZ.00,3.36962,319.359,Pn,2014-10-19 01:17:07.130,manual,0.6,0.02
OK.U32A.BHZ.--,1.67654,273.832,Pn,2014-10-19 01:16:43.760,manual,0.5,0.038
NM.MGMO.BHZ.--,3.84267,75.5736,Pn,2014-10-19 01:17:14.080,manual,1.1,0.02
AG.WLAR.HHZ.00,4.06551,128.48,Pn,2014-10-19 01:17:16.690,manual,0.7,0.02
US.AMTX.BHZ.00,4.11781,251.544,Pn,2014-10-19 01:17:17.650,manual,0.8,0.024
AG.FCAR.HHZ.00,3.91106,94.3679,Pn,2014-10-19 01:17:14.750,manual,0.8,0.02
AG.WHAR.HHZ.00,3.90013,103.385,Pn,2014-10-19 01:17:14.720,manual,1.0,0.021
N4.S39B.BHZ.--,3.20969,63.0046,Pn,2014-10-19 01:17:05.690,manual,1.4,0.022
N4.U38B.BHZ.--,2.05812,84.9588,Pn,2014-10-19 01:16:49.700,manual,1.3,0.029
N4.Z35B.BHZ.--,2.95941,185.271,Pn,2014-10-19 01:17:01.700,manual,0.9,0.028
OK.X37A.BHZ.--,2.11661,142.626,Pn,2014-10-19 01:16:50.070,manual,0.8,0.03
N4.Z38B.BHZ.--,3.41564,151.516,Pn,2014-10-19 01:17:07.520,manual,0.4,0.023
TA.W39A.BHZ.--,2.77917,112.096,Pn,2014-10-19 01:16:59.800,manual,1.5,0.026
ZW.AZDA.EHZ.01,3.34463,189.071,Pn,2014-10-19 01:17:06.680,manual,0.6,0.026
TA.Z41A.BHZ.--,4.544,130.456,Pn,2014-10-19 01:17:21.650,manual,-0.9,0.0
TA.W41B.BHZ.--,3.96599,104.863,Pn,2014-10-19 01:17:16.100,manual,1.5,0.02
TA.ABTX.BHZ.--,4.28586,212.335,Pn,2014-10-19 01:17:18.320,manual,-0.8,0.0
TA.X40A.BHZ.--,3.79547,117.005,Pn,2014-10-19 01:17:13.470,automatic,1.2,0.021
N4.P38B.BHZ.--,4.27988,37.8095,Pn,2014-10-19 01:17:20.140,manual,1.2,0.016
OK.QUOK.HHN.--,0.211315,122.444,Sg,2014-10-19 01:16:21.080,manual,1.1,0.074
GS.OK031.HH2.00,0.339208,167.667,Sg,2014-10-19 01:16:24.930,manual,0.8,0.049
GS.OK030.HH2.00,0.37539,161.782,Sg,2014-10-19 01:16:26.040,manual,0.8,0.048
OK.KNG1.EHN.--,0.638886,256.409,Sg,2014-10-19 01:16:34.280,manual,0.6,0.065
GS.OK027.HH2.00,0.640423,206.832,Sg,2014-10-19 01:16:34.460,manual,0.7,0.051
N4.T35B.BHZ.--,0.713396,27.8981,Pg,2014-10-19 01:16:27.200,manual,0.4,0.054
N4.T35B.BHE.--,0.713396,27.8981,Sg,2014-10-19 01:16:36.580,manual,0.5,0.052
TA.U40A.BHZ.--,3.29144,87.5582,Pn,2014-10-19 01:17:06.100,manual,0.7,0.023
NQ.OK914.HNZ.01,0.32932,162.275,Pg,2014-10-19 01:16:20.010,manual,0.5,0.0
NQ.OK915.HNZ.01,0.35414,159.087,Pg,2014-10-19 01:16:20.500,manual,0.6,0.0
NM.UALR.BHZ.--,4.0317,110.599,Pn,2014-10-19 01:17:15.370,manual,-0.2,0.02
N4.R40B.BHZ.--,4.22076,60.2914,Pn,2014-10-19 01:17:18.480,manual,0.3,0.018
TA.WHTX.BHZ.--,4.30544,185.984,Pn,2014-10-19 01:17:18.880,manual,-0.4,0.022
N4.237B.BHZ.--,4.37269,167.418,Pn,2014-10-19 01:17:20.310,manual,0.1,0.02
