#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000spe5
#time = 2014-10-21 09:05:19
#location = 22km WNW of Medford, Oklahoma
#latitude = 36.8949
#longitude = -97.9668
#depth = 10.1
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000spe5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN05.HHZ.01,0.226318,19.4994,Pg,2014-10-21 09:05:23.860,manual,0.2,0.0
GS.KAN10.HHZ.01,0.250221,335.805,Pg,2014-10-21 09:05:24.280,manual,0.2,0.0
GS.KAN08.HHZ.01,0.331199,359.433,Pg,2014-10-21 09:05:25.760,manual,0.2,0.0
GS.KAN13.HHZ.01,0.409037,73.1184,Pg,2014-10-21 09:05:27.050,manual,0.0,0.0
OK.CROK.HHZ.--,0.389674,181.967,Pg,2014-10-21 09:05:26.230,manual,-0.4,0.0
GS.OK029.HHZ.00,1.1714,159.189,Pn,2014-10-21 09:05:40.370,manual,-1.1,0.03
OK.BCOK.HHZ.--,1.269,166.736,Pn,2014-10-21 09:05:42.160,manual,-0.6,0.029
OK.QUOK.HHZ.--,1.24469,125.083,Pn,2014-10-21 09:05:41.860,manual,-0.6,0.039
GS.OK030.HHZ.00,1.35726,134.972,Pn,2014-10-21 09:05:43.710,manual,-0.3,0.035
GS.OK031.HHZ.00,1.30792,135.605,Pn,2014-10-21 09:05:42.760,manual,-0.6,0.035
GS.OK026.HHZ.00,1.53433,164.073,Pn,2014-10-21 09:05:46.150,manual,-0.3,0.027
OK.OKCSW.EHZ.--,1.54672,163.78,Pn,2014-10-21 09:05:46.760,manual,0.1,0.027
GS.OK025.HHZ.00,1.40624,158.618,Pn,2014-10-21 09:05:44.480,manual,-0.2,0.028
GS.OK028.HHZ.00,1.51908,150.922,Pn,2014-10-21 09:05:46.020,manual,-0.2,0.029
