#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000sr9p
#time = 2014-10-29 00:29:08.900000
#location = 22km NE of Crescent, Oklahoma
#latitude = 36.1112
#longitude = -97.4324
#depth = 3.0
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000sr9p
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.314466,183.334,Pg,2014-10-29 00:29:15.550,manual,0.6,0.0
OK.KNG1.EHZ.--,0.214056,275.724,Pg,2014-10-29 00:29:13.560,manual,0.5,0.0
GS.OK027.HHZ.00,0.416265,163.087,Pg,2014-10-29 00:29:17.540,manual,0.6,0.0
OK.BCOK.HHZ.--,0.475741,197.627,Pg,2014-10-29 00:29:18.430,manual,0.4,0.0
GS.OK031.HHZ.00,0.506123,107.988,Pg,2014-10-29 00:29:19.180,manual,0.6,0.0
GS.OK025.HHZ.00,0.534513,171.713,Pg,2014-10-29 00:29:19.640,manual,0.5,0.0
OK.CROK.HHZ.--,0.593542,311.587,Pg,2014-10-29 00:29:20.500,manual,0.2,0.0
GS.OK028.HHZ.00,0.626256,151.117,Pg,2014-10-29 00:29:21.380,manual,0.5,0.0
GS.KAN13.HHZ.01,0.90067,357.688,Pg,2014-10-29 00:29:26.270,manual,0.1,0.033
GS.KAN14.HHZ.01,0.945956,333.301,Pg,2014-10-29 00:29:26.900,manual,-0.1,0.028
OK.FNO.HHZ.01,0.852329,178.283,Pg,2014-10-29 00:29:25.520,manual,0.3,0.035
OK.W35A.EHZ.--,1.0589,154.42,Pg,2014-10-29 00:29:28.590,manual,-0.6,0.024
GS.KAN10.HHZ.01,1.14237,332.375,Pg,2014-10-29 00:29:30.450,manual,-0.4,0.022
GS.KAN08.HHZ.01,1.19455,338.91,Pg,2014-10-29 00:29:31.470,manual,-0.3,0.02
