#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000t06w
#time = 2014-11-26 09:14:25.800000
#location = 2km ENE of Medford, Oklahoma
#latitude = 36.8171
#longitude = -97.7105
#depth = 5.4
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000t06w
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN14.HHZ.01,0.24581,304.634,Pg,2014-11-26 09:14:31.170,manual,0.6,3.09
GS.KAN01.HHZ.01,0.337909,353.415,Pg,2014-11-26 09:14:32.880,manual,0.5,2.74
OK.GC02.EHZ.--,0.124448,286.06,Pg,2014-11-26 09:14:28.940,manual,0.6,3.72
GS.KAN13.HHZ.01,0.270141,43.5909,Pg,2014-11-26 09:14:31.660,manual,0.6,2.99
GS.KAN05.HHZ.01,0.318508,336.04,Pg,2014-11-26 09:14:32.570,manual,0.6,2.8
GS.KS20.HHZ.00,0.430385,16.8391,Pg,2014-11-26 09:14:34.540,manual,0.4,2.45
OK.CROK.HHZ.--,0.381269,215.219,Pg,2014-11-26 09:14:33.530,manual,0.4,2.6
GS.OK029.HHZ.00,1.03915,168.464,Pg,2014-11-26 09:14:45.500,manual,-0.2,1.46
GS.OK025.HHZ.00,1.26975,166.159,Pn,2014-11-26 09:14:49.570,manual,-0.6,1.24
GS.OK028.HHZ.00,1.35896,157.078,Pn,2014-11-26 09:14:50.960,manual,-0.4,1.22
OK.OKCSW.EHZ.--,1.42586,171.017,Pn,2014-11-26 09:14:52.430,manual,0.1,1.21
OK.W35A.EHZ.--,1.79396,157.547,Pn,2014-11-26 09:14:57.860,manual,0.5,1.16
N4.T35B.BHZ.--,0.966302,83.7656,Pg,2014-11-26 09:14:44.180,manual,-0.2,1.54
N4.R32B.BHZ.--,1.78873,333.934,Pn,2014-11-26 09:14:58.740,manual,1.4,1.16
N4.U38B.BHZ.--,2.70088,97.0283,Pn,2014-11-26 09:15:10.430,manual,0.6,1.06
GS.KAN09.HHZ.01,0.326851,13.0281,Pg,2014-11-26 09:14:32.610,manual,0.5,2.77
GS.KAN08.HHZ.01,0.45889,333.068,Pg,2014-11-26 09:14:35.100,manual,0.4,2.38
GS.KAN11.HHZ.01,0.420749,337.367,Pg,2014-11-26 09:14:34.530,manual,0.6,2.48
OK.KAY1.HHZ.--,0.403688,97.5806,Pg,2014-11-26 09:14:33.900,manual,0.3,2.53
GS.KAN10.HHZ.01,0.434054,314.911,Pg,2014-11-26 09:14:34.650,manual,0.5,2.44
GS.KAN12.HHZ.01,0.531722,334.458,Pg,2014-11-26 09:14:36.360,manual,0.3,2.21
OK.QUOK.HHZ.--,1.03337,128.281,Pg,2014-11-26 09:14:45.420,manual,-0.2,1.47
GS.OK031.HHZ.00,1.11262,140.544,Pg,2014-11-26 09:14:46.790,manual,-0.4,1.39
OK.BCOK.HHZ.--,1.16092,175.929,Pg,2014-11-26 09:14:47.580,manual,-0.5,1.35
GS.OK030.HHZ.00,1.16062,139.603,Pg,2014-11-26 09:14:47.630,manual,-0.4,1.35
GS.OK026.HHZ.00,1.41455,171.394,Pn,2014-11-26 09:14:52.050,manual,-0.1,1.22
OK.FNO.HHZ.01,1.5765,170.759,Pn,2014-11-26 09:14:54.640,manual,0.2,1.19
US.KSU1.BHZ.10,2.44044,20.5567,Pn,2014-11-26 09:15:07.140,manual,0.9,1.08
AG.HHAR.HHZ.00,3.08259,98.8493,Pn,2014-11-26 09:15:15.940,manual,0.8,1.02
OK.U32A.BHZ.--,1.12691,247.583,Pg,2014-11-26 09:14:46.910,manual,-0.5,1.38
OK.X37A.BHZ.--,2.9267,138.734,Pn,2014-11-26 09:15:13.060,manual,0.1,1.03
TA.TUL1.BHZ.--,1.79355,119.727,Pn,2014-11-26 09:14:58.410,manual,1.0,1.16
TA.W39A.BHZ.--,3.57069,115.772,Pn,2014-11-26 09:15:22.280,manual,0.5,0.97
N4.S39B.BHZ.--,3.60778,74.6893,Pn,2014-11-26 09:15:23.260,manual,0.9,0.97
US.CBKS.BHZ.00,2.55933,321.775,Pn,2014-11-26 09:15:08.640,manual,0.7,1.07
OK.GC02.EHZ.--,0.124448,286.06,Sg,2014-11-26 09:14:30.700,manual,0.6,1.37
GS.KAN14.HNN.01,0.24581,304.634,Sg,2014-11-26 09:14:34.680,manual,0.8,1.3
GS.KAN13.HNN.01,0.270141,43.5909,Sg,2014-11-26 09:14:35.750,manual,1.1,1.29
GS.KAN05.HNE.01,0.318508,336.04,Sg,2014-11-26 09:14:37.160,manual,1.0,1.26
GS.KAN09.HHZ.01,0.326851,13.0281,Sg,2014-11-26 09:14:37.630,manual,1.2,1.26
OK.CROK.HHE.--,0.381269,215.219,Sg,2014-11-26 09:14:39.130,manual,1.0,1.23
GS.KAN01.HNE.01,0.337909,353.415,Sg,2014-11-26 09:14:37.850,manual,1.1,1.25
US.WMOK.BHZ.10,2.24981,203.07,Pn,2014-11-26 09:15:03.720,manual,0.1,1.11
