#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000t0hv
#time = 2014-11-27 00:54:23.900000
#location = 22km NNE of Enid, Oklahoma
#latitude = 36.5886
#longitude = -97.8084
#depth = 6.2
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000t0hv
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN14.HHZ.01,0.387889,341.383,Pg,2014-11-27 00:54:31.710,manual,0.3,2.58
OK.GC02.EHZ.--,0.265597,351.106,Pg,2014-11-27 00:54:29.470,manual,0.4,3.01
OK.CROK.HHZ.--,0.163921,239.333,Pg,2014-11-27 00:54:27.430,manual,0.2,3.49
GS.KAN09.HHZ.01,0.567329,15.5321,Pg,2014-11-27 00:54:35.010,manual,0.2,2.13
GS.KAN01.HHZ.01,0.565118,4.00493,Pg,2014-11-27 00:54:34.950,manual,0.2,2.13
GS.KAN11.HHZ.01,0.621943,352.261,Pg,2014-11-27 00:54:36.100,manual,0.2,2.02
GS.OK029.HHZ.00,0.840511,160.006,Pg,2014-11-27 00:54:39.680,manual,-0.4,1.68
GS.OK026.HHZ.00,1.2061,166.007,Pg,2014-11-27 00:54:46.290,manual,-0.7,1.32
GS.OK030.HHZ.00,1.05861,128.227,Pg,2014-11-27 00:54:43.730,manual,-0.5,1.44
GS.OK031.HHZ.00,1.00786,128.708,Pg,2014-11-27 00:54:42.850,manual,-0.4,1.49
GS.OK027.HHZ.00,0.972453,153.946,Pg,2014-11-27 00:54:42.270,manual,-0.3,1.53
OK.OKCSW.EHZ.--,1.21823,165.617,Pg,2014-11-27 00:54:46.550,manual,-0.7,1.31
OK.FNO.HHZ.01,1.36889,165.908,Pn,2014-11-27 00:54:49.060,manual,-0.5,1.22
OK.W35A.EHZ.--,1.62122,151.83,Pn,2014-11-27 00:54:53.030,manual,0.0,1.19
US.WMOK.BHZ.10,2.00922,203.492,Pn,2014-11-27 00:54:58.710,manual,0.3,1.14
N4.T35B.BHZ.--,1.0914,72.1802,Pg,2014-11-27 00:54:44.410,manual,-0.4,1.41
OK.U32A.BHZ.--,0.983849,258.109,Pg,2014-11-27 00:54:42.310,manual,-0.5,1.52
N4.R32B.BHZ.--,1.96637,338.862,Pn,2014-11-27 00:54:58.570,manual,0.8,1.14
N4.Z35B.BHZ.--,3.28197,171.85,Pn,2014-11-27 00:55:15.050,manual,-0.8,1.0
GS.KAN13.HHZ.01,0.499757,31.9723,Pg,2014-11-27 00:54:33.740,manual,0.2,2.28
GS.KAN05.HHZ.01,0.521535,354.379,Pg,2014-11-27 00:54:34.240,manual,0.3,2.23
GS.KAN10.HHZ.01,0.581298,336.784,Pg,2014-11-27 00:54:35.260,manual,0.2,2.1
GS.KAN12.HHZ.01,0.723589,347.939,Pg,2014-11-27 00:54:37.830,manual,0.0,1.85
GS.KAN08.HHZ.01,0.650074,348.491,Pg,2014-11-27 00:54:36.620,manual,0.2,1.97
GS.KS20.HHZ.00,0.671516,17.5795,Pg,2014-11-27 00:54:36.860,manual,0.0,1.93
OK.KAY1.HHZ.--,0.50984,69.8956,Pg,2014-11-27 00:54:33.940,manual,0.2,2.25
OK.BCOK.HHZ.--,0.943842,170.107,Pg,2014-11-27 00:54:41.570,manual,-0.5,1.56
OK.CROK.HHE.--,0.163921,239.333,Sg,2014-11-27 00:54:30.110,manual,0.6,1.34
OK.GC02.EHE.--,0.265597,351.106,Sg,2014-11-27 00:54:33.540,manual,0.9,1.29
GS.KAN14.HHE.01,0.387889,341.383,Sg,2014-11-27 00:54:37.380,manual,0.9,1.23
OK.KAY1.HHN.--,0.50984,69.8956,Sg,2014-11-27 00:54:41.200,manual,0.8,1.17
GS.KAN11.HHE.01,0.621943,352.261,Sg,2014-11-27 00:54:44.860,manual,0.9,1.13
GS.KAN08.HHE.01,0.650074,348.491,Sg,2014-11-27 00:54:45.620,manual,0.8,1.11
GS.KAN12.HHE.01,0.723589,347.939,Sg,2014-11-27 00:54:47.800,manual,0.6,1.09
GS.OK029.HH2.00,0.840511,160.006,Sg,2014-11-27 00:54:51.200,manual,0.2,1.04
GS.OK025.HHZ.00,1.07522,159.101,Pg,2014-11-27 00:54:44.020,manual,-0.5,1.43
OK.QUOK.HHZ.--,0.980778,114.793,Pg,2014-11-27 00:54:42.340,manual,-0.4,1.52
GS.OK028.HHZ.00,1.19062,149.231,Pg,2014-11-27 00:54:46.190,manual,-0.6,1.33
US.KSU1.BHZ.10,2.68161,20.3639,Pn,2014-11-27 00:55:08.480,manual,0.9,1.06
US.AMTX.BHZ.00,3.58001,242.772,Pn,2014-11-27 00:55:20.840,manual,0.8,0.97
N4.U38B.BHZ.--,2.76126,92.0717,Pn,2014-11-27 00:55:09.620,manual,0.9,1.05
TA.TUL1.BHZ.--,1.76489,111.951,Pn,2014-11-27 00:54:55.420,manual,0.4,1.17
N4.S39B.BHZ.--,3.74925,71.5904,Pn,2014-11-27 00:55:23.410,manual,1.1,0.95
OK.X37A.BHZ.--,2.81507,134.41,Pn,2014-11-27 00:55:09.160,manual,-0.3,1.04
TA.W39A.BHZ.--,3.55057,111.849,Pn,2014-11-27 00:55:21.790,manual,2.3,0.97
ZW.AZDA.EHZ.01,3.61327,176.622,Pn,2014-11-27 00:55:21.500,manual,1.1,0.96
TA.U40A.BHZ.--,4.00016,91.8468,Pn,2014-11-27 00:55:26.290,manual,0.6,0.93
AG.HHAR.HHZ.00,3.13434,94.4508,Pn,2014-11-27 00:55:14.330,manual,0.5,1.01
