#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000t0k5
#time = 2014-11-27 09:38:02.700000
#location = 18km SSE of Medford, Oklahoma
#latitude = 36.6434
#longitude = -97.6742
#depth = 5.5
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000t0k5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.284805,241.012,Pg,2014-11-27 09:38:08.610,manual,0.4,2.93
GS.KAN13.HHZ.01,0.401055,23.0781,Pg,2014-11-27 09:38:11.110,manual,0.7,2.54
GS.KAN01.HHZ.01,0.513556,352.419,Pg,2014-11-27 09:38:13.050,manual,0.5,2.25
GS.KS20.HHZ.00,0.593028,9.287,Pg,2014-11-27 09:38:14.500,manual,0.4,2.08
GS.KAN10.HHZ.01,0.586097,324.971,Pg,2014-11-27 09:38:14.310,manual,0.3,2.09
OK.QUOK.HHZ.--,0.910725,120.859,Pg,2014-11-27 09:38:20.170,manual,0.0,1.6
OK.OKCSW.EHZ.--,1.25006,171.12,Pg,2014-11-27 09:38:26.110,manual,-0.6,1.28
GS.OK026.HHZ.00,1.23877,171.551,Pg,2014-11-27 09:38:25.820,manual,-0.6,1.29
GS.OK030.HHZ.00,1.01368,134.525,Pg,2014-11-27 09:38:22.010,manual,-0.1,1.49
GS.OK028.HHZ.00,1.18861,155.141,Pg,2014-11-27 09:38:24.990,manual,-0.5,1.33
OK.W35A.EHZ.--,1.62306,156.184,Pn,2014-11-27 09:38:32.200,manual,0.3,1.19
N4.T35B.BHZ.--,0.972073,73.3865,Pg,2014-11-27 09:38:21.340,manual,0.0,1.53
OK.GC02.EHZ.--,0.255566,324.418,Pg,2014-11-27 09:38:08.350,manual,0.6,3.05
GS.KAN14.HHZ.01,0.389328,323.546,Pg,2014-11-27 09:38:10.770,manual,0.5,2.57
