#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000t29e
#time = 2014-12-02 16:25:53.500000
#location = 12km S of Perry, Oklahoma
#latitude = 36.1767
#longitude = -97.2641
#depth = 5.0
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000t29e
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.410319,122.819,Pg,2014-12-02 16:26:01.810,manual,0.4,2.51
GS.OK029.HHZ.00,0.409655,202.25,Pg,2014-12-02 16:26:01.620,manual,0.2,2.51
OK.W35A.EHZ.--,1.0699,162.637,Pg,2014-12-02 16:26:13.150,manual,-0.9,1.43
N4.U38B.BHZ.--,2.33964,82.7155,Pn,2014-12-02 16:26:33.000,manual,0.4,1.1
GS.OK027.HHZ.00,0.46399,181.96,Pg,2014-12-02 16:26:02.810,manual,0.4,2.37
OK.QUOK.HHZ.--,0.449976,90.5097,Pg,2014-12-02 16:26:02.570,manual,0.4,2.4
GS.OK025.HHZ.00,0.597351,185.78,Pg,2014-12-02 16:26:05.290,manual,0.3,2.07
GS.OK030.HHZ.00,0.461715,122.403,Pg,2014-12-02 16:26:02.840,manual,0.4,2.37
OK.KAY1.HHZ.--,0.586327,4.0764,Pg,2014-12-02 16:26:04.880,manual,0.1,2.09
GS.OK028.HHZ.00,0.635972,164.937,Pg,2014-12-02 16:26:05.890,manual,0.2,2.0
OK.CROK.HHZ.--,0.666657,299.62,Pg,2014-12-02 16:26:06.280,manual,0.0,1.94
OK.BCOK.HHZ.--,0.589725,208.471,Pg,2014-12-02 16:26:05.030,manual,0.2,2.08
GS.OK026.HHZ.00,0.774881,191.388,Pg,2014-12-02 16:26:08.280,manual,-0.1,1.77
GS.KAN13.HHZ.01,0.852096,348.419,Pg,2014-12-02 16:26:09.640,manual,-0.2,1.67
OK.GC02.EHZ.--,0.826862,324.713,Pg,2014-12-02 16:26:09.180,manual,-0.2,1.7
GS.KAN05.HHZ.01,1.05087,332.439,Pg,2014-12-02 16:26:13.290,manual,-0.4,1.45
OK.OKCSW.EHZ.--,0.782431,190.461,Pg,2014-12-02 16:26:08.600,manual,0.1,1.76
GS.KAN01.HHZ.01,1.05289,337.941,Pg,2014-12-02 16:26:13.210,manual,-0.5,1.45
GS.KAN10.HHZ.01,1.15738,324.978,Pg,2014-12-02 16:26:15.170,manual,-0.5,1.36
GS.KAN08.HHZ.01,1.192,331.751,Pg,2014-12-02 16:26:15.810,manual,-0.6,1.33
OK.FNO.HHZ.01,0.924077,186.974,Pg,2014-12-02 16:26:10.970,manual,-0.3,1.58
GS.KAN11.HHZ.01,1.15223,333.265,Pg,2014-12-02 16:26:15.110,manual,-0.5,1.36
GS.KAN12.HHZ.01,1.26438,332.426,Pg,2014-12-02 16:26:16.990,manual,-0.8,1.27
US.WMOK.BHZ.10,1.89571,221.218,Pn,2014-12-02 16:26:26.940,manual,0.4,1.15
TA.TUL1.BHZ.--,1.22236,102.123,Pg,2014-12-02 16:26:15.930,manual,-1.0,1.3
OK.X37A.BHZ.--,2.21374,135.131,Pn,2014-12-02 16:26:31.380,manual,0.5,1.11
N4.T35B.BHZ.--,0.954776,39.1532,Pg,2014-12-02 16:26:11.560,manual,-0.3,1.55
OK.U32A.BHZ.--,1.41831,278.717,Pn,2014-12-02 16:26:19.470,manual,-0.5,1.22
N4.R40B.BHZ.--,4.51029,60.6125,Pn,2014-12-02 16:27:03.190,manual,0.7,0.89
NQ.OK915.HNZ.01,0.456234,119.063,Pg,2014-12-02 16:26:02.820,manual,0.5,2.39
GS.OK012.HNZ.01,0.733942,156.178,Pg,2014-12-02 16:26:07.290,manual,-0.3,1.83
GS.KS20.HHZ.00,1.07652,347.575,Pg,2014-12-02 16:26:13.820,manual,-0.3,1.43
GS.OK029.HH1.00,0.409655,202.25,Sg,2014-12-02 16:26:06.950,manual,0.2,1.22
GS.OK031.HH1.00,0.410319,122.819,Sg,2014-12-02 16:26:07.070,manual,0.3,1.22
OK.QUOK.HHE.--,0.449976,90.5097,Sg,2014-12-02 16:26:08.330,manual,0.3,1.2
GS.OK030.HH1.00,0.461715,122.403,Sg,2014-12-02 16:26:08.960,manual,0.5,1.19
GS.OK027.HH1.00,0.46399,181.96,Sg,2014-12-02 16:26:09.230,manual,0.7,1.19
N4.R32B.BHZ.--,2.52119,333.2,Pn,2014-12-02 16:26:35.520,manual,0.4,1.08
AG.HHAR.HHZ.00,2.6896,86.7791,Pn,2014-12-02 16:26:37.560,manual,0.1,1.06
N4.Z35B.BHZ.--,2.83908,179.812,Pn,2014-12-02 16:26:40.280,manual,0.8,1.04
US.CBKS.BHZ.00,3.28613,323.978,Pn,2014-12-02 16:26:45.930,manual,0.2,1.0
US.MIAR.BHZ.00,3.42509,117.294,Pn,2014-12-02 16:26:48.410,manual,0.9,0.98
US.AMTX.BHZ.00,3.82607,251.589,Pn,2014-12-02 16:26:53.080,manual,-0.1,0.95
TA.X40A.BHZ.--,3.99451,113.663,Pn,2014-12-02 16:26:55.620,manual,0.2,0.93
TA.W41B.BHZ.--,4.20443,102.299,Pn,2014-12-02 16:26:58.710,manual,0.5,0.91
AG.WLAR.HHZ.00,4.21863,124.844,Pn,2014-12-02 16:26:58.820,manual,0.4,0.91
