#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usb000tpci
#time = 2015-02-14 15:12:31.720000
#location = 18km NE of Enid, Oklahoma
#latitude = 36.5243
#longitude = -97.7441
#depth = 5.0
#magnitude = 2.6
#magtype = mb_lg
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usb000tpci
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.76298,162.052,Pg,2015-02-14 15:12:46.550,manual,0.2,1.79
OK.KAY1.HHZ.--,0.489515,60.7594,Pg,2015-02-14 15:12:41.260,manual,0.1,2.3
OK.QUOK.HHZ.--,0.907587,112.526,Pg,2015-02-14 15:12:48.930,manual,-0.2,1.6
GS.OK026.HHZ.00,1.13185,167.805,Pg,2015-02-14 15:12:53.140,manual,-0.3,1.38
OK.FNO.HHZ.01,1.29451,167.478,Pn,2015-02-14 15:12:56.430,manual,0.0,1.23
OK.X34A.HHZ.--,1.92044,182.179,Pn,2015-02-14 15:13:06.760,manual,1.7,1.15
TA.TUL1.BHZ.--,1.69335,110.631,Pn,2015-02-14 15:13:02.150,manual,0.2,1.18
GS.OK031.HHZ.00,0.927486,127.655,Pg,2015-02-14 15:12:49.460,manual,-0.1,1.58
OK.BCOK.HHZ.--,0.872658,172.773,Pg,2015-02-14 15:12:48.450,manual,0.0,1.64
GS.OK025.HHZ.00,0.99713,160.605,Pg,2015-02-14 15:12:50.870,manual,0.0,1.5
GS.OK027.HHZ.00,0.892256,155.163,Pg,2015-02-14 15:12:48.900,manual,0.1,1.62
GS.OK030.HHZ.00,0.978399,127.191,Pg,2015-02-14 15:12:50.320,manual,-0.2,1.52
GS.OK028.HHZ.00,1.10906,149.872,Pg,2015-02-14 15:12:52.760,manual,-0.2,1.4
OK.OKCSW.EHZ.--,1.14373,167.37,Pg,2015-02-14 15:12:53.510,manual,-0.1,1.37
US.WMOK.BHZ.10,1.97238,205.652,Pn,2015-02-14 15:13:06.640,manual,0.8,1.14
N4.U38B.BHZ.--,2.70789,90.7939,Pn,2015-02-14 15:13:17.490,manual,1.6,1.06
OK.KAY1.HHN.--,0.489515,60.7594,Sg,2015-02-14 15:12:47.990,manual,0.5,1.18
N4.T35B.BHZ.--,1.06451,68.0748,Pg,2015-02-14 15:12:51.600,manual,-0.5,1.44
GS.KAN14.HHE.01,0.466102,337.903,Sg,2015-02-14 15:12:47.270,manual,0.5,1.19
OK.CROK.HHZ.--,0.193769,264.277,Pg,2015-02-14 15:12:36.050,manual,0.5,3.33
GS.KAN14.HHZ.01,0.466102,337.903,Pg,2015-02-14 15:12:40.800,manual,0.1,2.36
GS.KAN13.HHZ.01,0.532485,23.5975,Pg,2015-02-14 15:12:41.950,manual,0.0,2.21
GS.KAN01.HHZ.01,0.628015,358.914,Pg,2015-02-14 15:12:43.700,manual,-0.1,2.01
GS.KAN10.HHZ.01,0.661054,334.888,Pg,2015-02-14 15:12:44.420,manual,0.0,1.95
GS.KAN11.HHZ.01,0.693804,348.772,Pg,2015-02-14 15:12:44.990,manual,-0.1,1.9
GS.KAN08.HHZ.01,0.724271,345.525,Pg,2015-02-14 15:12:45.630,manual,0.0,1.85
GS.KAN12.HHZ.01,0.798022,345.302,Pg,2015-02-14 15:12:47.190,manual,0.2,1.74
OK.U32A.BHZ.--,1.02395,262.261,Pg,2015-02-14 15:12:51.090,manual,-0.3,1.48
