#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000hgwf
#time = 2013-06-05 20:51:56.530000
#location = 7km W of Cushing, Oklahoma
#latitude = 35.9720
#longitude = -96.8600
#depth = 2.9
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000hgwf
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.TUL1.--.--,0.87,93.7,Pg,2013-06-05 20:52:13.270,manual,0.1,1.0
IR.U32A.--.--,1.78,283.8,Pn,2013-06-05 20:52:28.670,manual,0.4,1.0
IR.X37A.--.--,1.84,138.1,Pn,2013-06-05 20:52:29.270,manual,0.2,1.0
IR.WMOK.--.--,2.0,232.5,Pn,2013-06-05 20:52:31.720,manual,0.5,1.0
IR.HHAR.--.--,2.38,81.7,Pn,2013-06-05 20:52:37.790,manual,1.2,1.0
IR.W39A.--.--,2.62,106.3,Pn,2013-06-05 20:52:40.850,manual,1.0,1.0
IR.MIAR.--.--,3.04,117.0,Pn,2013-06-05 20:52:45.940,manual,0.4,1.0
IR.X40A.--.--,3.61,113.0,Pn,2013-06-05 20:52:53.580,manual,0.2,1.0
IR.WHAR.--.--,3.78,99.0,Pn,2013-06-05 20:52:56.110,manual,0.3,1.0
IR.W41B.--.--,3.84,100.6,Pn,2013-06-05 20:52:57.950,manual,1.4,1.0
IR.AMTX.--.--,4.08,256.0,Pn,2013-06-05 20:52:59.110,manual,-0.9,1.0
IR.ABTX.--.--,4.06,215.4,Pg,2013-06-05 20:53:09.290,manual,0.6,1.0
IR.CCM.--.--,4.95,63.5,Pn,2013-06-05 20:53:11.220,manual,-0.6,1.0
IR.KSCO.--.--,5.5,305.2,Pn,2013-06-05 20:53:18.990,manual,-0.5,1.0
IR.BIRD.--.--,13.46,90.8,Pn,2013-06-05 20:55:07.860,manual,-0.6,1.0
IR.W57A.--.--,13.76,88.4,Pn,2013-06-05 20:55:09.790,manual,-2.7,1.0
