#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000hmxu
#time = 2013-06-12 16:05:42.790000
#location = 1km W of Jones, Oklahoma
#latitude = 35.5670
#longitude = -97.3070
#depth = 5.0
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000hmxu
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
IR.OK001.--.--,0.02,112.3,Pg,2013-06-12 16:05:43.940,manual,0.2,1.0
IR.OK009.--.--,0.1,278.6,Pg,2013-06-12 16:05:45.330,manual,0.5,1.0
IR.OK005.--.--,0.13,47.1,Pg,2013-06-12 16:05:45.780,manual,0.3,1.0
IR.TUL1.--.--,1.28,74.0,Pn,2013-06-12 16:06:05.670,manual,-1.7,1.0
IR.WMOK.--.--,1.46,236.0,Pn,2013-06-12 16:06:09.140,manual,-0.8,1.0
IR.U32A.--.--,1.6,301.0,Pn,2013-06-12 16:06:11.880,manual,0.2,1.0
IR.X37A.--.--,1.86,121.0,Pn,2013-06-12 16:06:15.620,manual,0.3,1.0
IR.HHAR.--.--,2.82,74.4,Pn,2013-06-12 16:06:28.670,manual,0.1,1.0
IR.W39A.--.--,2.9,96.3,Pn,2013-06-12 16:06:30.010,manual,0.4,1.0
IR.MIAR.--.--,3.23,107.3,Pn,2013-06-12 16:06:34.850,manual,0.7,1.0
IR.ABTX.--.--,3.52,214.1,Pn,2013-06-12 16:06:38.650,manual,0.5,1.0
IR.AMTX.--.--,3.64,260.5,Pn,2013-06-12 16:06:40.720,manual,0.8,1.0
IR.CBKS.--.--,3.78,329.8,Pn,2013-06-12 16:06:41.950,manual,0.2,1.0
IR.X40A.--.--,3.83,105.1,Pn,2013-06-12 16:06:44.200,manual,1.9,1.0
IR.WHAR.--.--,4.11,92.4,Pn,2013-06-12 16:06:46.090,manual,-0.1,1.0
IR.T25A.--.--,5.94,287.4,Pn,2013-06-12 16:07:11.900,manual,0.2,1.0
IR.CPRX.--.--,5.99,246.9,Pn,2013-06-12 16:07:13.220,manual,1.0,1.0
IR.CLNB.--.--,6.38,240.8,Pn,2013-06-12 16:07:18.190,manual,0.6,1.0
IR.SDCO.--.--,6.94,290.7,Pn,2013-06-12 16:07:26.300,manual,1.0,1.0
IR.MNTX.--.--,7.76,242.5,Pn,2013-06-12 16:07:36.750,manual,0.3,1.0
