#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000mirk
#time = 2014-02-05 23:15:40
#location = 3km NNW of Medford, Oklahoma
#latitude = 36.8361
#longitude = -97.7503
#depth = 10.6
#magnitude = 3.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000mirk
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.380163,209.606,Pg,2014-02-05 23:15:47.570,manual,0.0,0.0
GS.OK025.HHZ.00,1.29608,164.966,Pn,2014-02-05 23:16:04.020,manual,-0.1,0.045
GS.OK026.HHZ.00,1.43837,170.226,Pn,2014-02-05 23:16:06.310,manual,0.2,0.047
OK.W35A.EHZ.--,1.82382,156.824,Pn,2014-02-05 23:16:12.320,manual,1.0,0.036
OK.FNO.HHZ.01,1.60061,169.716,Pn,2014-02-05 23:16:09.530,manual,1.2,0.045
OK.X34A.HHZ.--,2.23129,181.744,Pn,2014-02-05 23:16:18.300,manual,1.3,0.05
US.CBKS.BHZ.00,2.52471,322.054,Pn,2014-02-05 23:16:22.340,manual,1.3,0.175
US.WMOK.BHZ.10,2.25506,202.111,Pn,2014-02-05 23:16:18.250,manual,0.9,0.077
AG.HHAR.HHZ.00,3.11708,99.0795,Pn,2014-02-05 23:16:30.590,manual,1.4,0.042
US.AMTX.BHZ.00,3.73976,239.771,Pn,2014-02-05 23:16:40.910,manual,3.1,0.108
NM.MGMO.BHZ.--,4.39954,84.2178,Pn,2014-02-05 23:16:49.110,manual,2.3,0.0
TA.TUL1.BHZ.--,1.83069,119.723,Pn,2014-02-05 23:16:13.150,manual,1.7,0.041
TA.U40A.BHZ.--,3.96932,95.4638,Pn,2014-02-05 23:16:42.450,manual,1.6,0.037
US.OGNE.BHZ.00,5.29051,322.162,Pn,2014-02-05 23:16:59.950,manual,0.9,0.0
