#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000mmvl
#time = 2014-02-11 08:49:21.400000
#location = 18km S of Perry, Oklahoma
#latitude = 36.1265
#longitude = -97.2952
#depth = 7.8
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000mmvl
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK025.HHZ.00,0.545343,183.66,Pg,2014-02-11 08:49:32.030,manual,0.1,0.0
GS.OK026.HHZ.00,0.720954,190.194,Pg,2014-02-11 08:49:35.170,manual,-0.1,0.109
US.WMOK.BHZ.10,1.84149,221.637,Pn,2014-02-11 08:49:54.490,manual,1.1,0.077
AG.HHAR.HHZ.00,2.71798,85.7369,Pn,2014-02-11 08:50:06.000,manual,0.6,0.064
US.AMTX.BHZ.00,3.78657,252.169,Pn,2014-02-11 08:50:20.310,manual,0.1,0.067
NM.MGMO.BHZ.--,4.17032,74.2752,Pn,2014-02-11 08:50:27.340,manual,2.0,0.046
AG.WHAR.HHZ.00,4.1584,100.109,Pn,2014-02-11 08:50:26.190,manual,1.0,0.05
ZW.AZDA.EHZ.01,3.1534,183.978,Pn,2014-02-11 08:50:11.600,manual,0.2,0.044
TA.X40A.BHZ.--,3.99785,112.843,Pn,2014-02-11 08:50:24.240,manual,1.3,0.05
US.MIAR.BHZ.00,3.42495,116.338,Pn,2014-02-11 08:50:16.430,manual,1.3,0.055
IU.CCM.BHZ.10,5.20598,66.4905,Pn,2014-02-11 08:50:40.250,manual,0.7,0.037
TA.ABTX.BHZ.--,3.99715,209.735,Pn,2014-02-11 08:50:23.850,manual,0.8,0.044
US.JCT.BHZ.00,6.00989,201.144,Pn,2014-02-11 08:50:51.530,manual,0.8,0.032
TA.W39A.BHZ.--,3.00602,106.961,Pn,2014-02-11 08:50:09.890,manual,0.5,0.061
