#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000mqbw
#time = 2014-02-13 21:26:13.830000
#location = 17km W of Pawnee, Oklahoma
#latitude = 36.3250
#longitude = -96.9930
#depth = 5.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000mqbw
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.W35A.EHZ.--,1.17375,175.254,Pg,2014-02-13 21:26:35.010,manual,-1.3,0.075
US.WMOK.BHZ.10,2.15257,223.16,Pn,2014-02-13 21:26:51.020,manual,0.6,0.038
OK.FNO.HHZ.01,1.11581,197.423,Sn,2014-02-13 21:26:50.690,automatic,-1.2,0.068
US.CBKS.BHZ.00,3.30552,319.558,Pg,2014-02-13 21:27:15.720,automatic,2.7,0.015
TA.TUL1.BHZ.--,1.05685,112.692,Pg,2014-02-13 21:26:33.660,manual,-0.4,0.102
TA.TUL1.BHZ.--,1.05685,112.692,Sn,2014-02-13 21:26:49.050,automatic,-1.4,0.079
TA.W39A.BHZ.--,2.84251,112.404,Sg,2014-02-13 21:27:41.550,automatic,1.4,0.378
OK.U32A.BHZ.--,1.62224,272.516,Sg,2014-02-13 21:27:06.250,automatic,1.2,0.196
OK.CROK.HHZ.--,0.818775,282.946,Pg,2014-02-13 21:26:29.390,manual,-0.2,0.136
GS.OK025.HHZ.00,0.793328,200.757,Pg,2014-02-13 21:26:28.830,manual,-0.2,0.114
OK.BCOK.HHZ.--,0.833401,217.031,Pg,2014-02-13 21:26:29.640,manual,-0.2,0.104
GS.OK026.HHZ.00,0.981154,202.435,Pg,2014-02-13 21:26:31.730,manual,-0.9,0.085
OK.FNO.HHZ.01,1.11581,197.423,Pg,2014-02-13 21:26:34.610,manual,-0.6,0.073
OK.U32A.BHZ.--,1.62224,272.516,Pn,2014-02-13 21:26:44.060,manual,0.9,0.055
TA.W39A.BHZ.--,2.84251,112.404,Pn,2014-02-13 21:26:57.830,manual,-2.0,0.033
AG.HHAR.HHZ.00,2.46643,90.0927,Pn,2014-02-13 21:26:57.050,manual,2.3,0.035
GS.OK025.HH2.00,0.793328,200.757,Sg,2014-02-13 21:26:39.730,manual,0.4,0.118
GS.OK026.HH1.00,0.981154,202.435,Sg,2014-02-13 21:26:45.460,manual,0.1,0.103
OK.X37A.BHZ.--,2.17993,142.132,Pn,2014-02-13 21:26:48.730,manual,-2.0,0.037
GS.ADOK.HNZ.--,0.738282,204.652,Pg,2014-02-13 21:26:27.420,manual,-0.6,0.123
GS.OK025.HH2.00,0.793328,200.757,Pn,2014-02-13 21:26:29.490,manual,-2.2,0.049
OK.OKCSW.EHZ.--,0.986177,201.632,Pg,2014-02-13 21:26:32.600,manual,-0.2,0.085
US.KSU1.BHZ.10,2.78779,6.14812,Pn,2014-02-13 21:26:59.380,manual,0.3,0.038
US.MIAR.BHZ.00,3.30671,121.475,Pn,2014-02-13 21:27:07.820,manual,1.6,0.03
TA.U40A.BHZ.--,3.34213,88.2379,Pn,2014-02-13 21:27:08.070,manual,1.3,0.029
