#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000n7mi
#time = 2014-03-11 12:55:27.710000
#location = 6km SSW of Langston, Oklahoma
#latitude = 35.8900
#longitude = -97.2820
#depth = 4.9
#magnitude = 3.4
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000n7mi
#us_Mwr_mrr = 10160000000000
#us_Mwr_mtt = 130300000000000
#us_Mwr_mpp = -140460000000000
#us_Mwr_mrt = -87950000000000
#us_Mwr_mrp = 25270000000000
#us_Mwr_mtp = -89960000000000
#us_Mwr_np1_strike = 334.78
#us_Mwr_np1_dip = 71.87
#us_Mwr_np1_rake = 18.38
#us_Mwr_np2_strike = 238.88
#us_Mwr_np2_dip = 72.57
#us_Mwr_np2_rake = 160.97
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.168587,236.489,Pg,2014-03-11 12:55:31.410,manual,0.3,0.0
OK.BCOK.HHZ.--,0.353604,228.921,Pg,2014-03-11 12:55:34.870,manual,0.3,0.0
GS.OK028.HHZ.00,0.374068,151.261,Pg,2014-03-11 12:55:35.420,manual,0.5,0.0
OK.OKCSW.EHZ.--,0.499867,194.771,Pg,2014-03-11 12:55:37.610,manual,0.3,0.0
GS.ADOK.HNZ.--,0.248297,196.994,Pg,2014-03-11 12:55:32.950,manual,0.4,0.0
GS.OK026.HHZ.00,0.493353,196.288,Pg,2014-03-11 12:55:37.500,manual,0.3,0.0
OK.CROK.HHZ.--,0.835571,317.442,Pg,2014-03-11 12:55:43.820,manual,0.1,0.044
GS.OK025.HHZ.00,0.311571,188.41,Pg,2014-03-11 12:55:34.190,manual,0.4,0.0
US.WMOK.BHZ.10,1.68033,227.272,Pn,2014-03-11 12:55:57.790,manual,0.0,0.051
OK.X34A.HHZ.--,1.36275,199.471,Pn,2014-03-11 12:55:53.300,manual,-0.1,0.05
GS.OK027.HHZ.00,0.177622,180.421,Pg,2014-03-11 12:55:31.650,manual,0.4,0.0
AG.HHAR.HHZ.00,2.73503,80.7952,Pn,2014-03-11 12:56:12.600,manual,0.3,0.029
US.MIAR.BHZ.00,3.31706,112.777,Pn,2014-03-11 12:56:20.920,manual,0.6,0.029
TA.W39A.BHZ.--,2.93535,102.623,Pn,2014-03-11 12:56:15.340,manual,0.3,0.03
AG.FCAR.HHZ.00,4.18785,88.4874,Pn,2014-03-11 12:56:32.280,manual,0.0,0.023
TA.X40A.BHZ.--,3.90216,109.722,Pn,2014-03-11 12:56:28.970,manual,0.6,0.025
TA.T25A.BHZ.--,5.87517,284.351,Pn,2014-03-11 12:56:55.620,manual,0.0,0.024
OK.U32A.BHZ.--,1.47509,289.845,Pn,2014-03-11 12:55:54.700,manual,-0.3,0.051
GS.OK029.HH1.00,0.168587,236.489,Sg,2014-03-11 12:55:34.070,manual,0.7,0.073
GS.OK026.HH1.00,0.493353,196.288,Sg,2014-03-11 12:55:44.540,manual,0.9,0.035
GS.OK011.HNZ.01,0.631434,129.595,Pg,2014-03-11 12:55:39.820,manual,0.0,0.0
OK.FNO.HHZ.01,0.638651,188.787,Pg,2014-03-11 12:55:40.430,manual,0.4,0.035
OK.W35A.EHZ.--,0.807291,155.566,Pg,2014-03-11 12:55:42.770,manual,-0.4,0.036
OK.W35A.EHE.--,0.807291,155.566,Sg,2014-03-11 12:55:53.870,manual,0.2,0.037
N4.T35B.BHE.--,1.19784,31.0146,Sg,2014-03-11 12:56:06.370,manual,0.1,0.029
N4.T35B.BHZ.--,1.19784,31.0146,Pg,2014-03-11 12:55:50.140,manual,-0.5,0.02
TA.TUL1.BHZ.--,1.20998,88.5991,Pg,2014-03-11 12:55:49.770,manual,-1.1,0.035
N4.Z35B.BHZ.--,2.55307,179.455,Pn,2014-03-11 12:56:10.150,manual,0.4,0.037
US.CBKS.BHZ.00,3.51358,326.901,Pn,2014-03-11 12:56:23.830,manual,0.8,0.026
AG.WHAR.HHZ.00,4.11285,96.9102,Pn,2014-03-11 12:56:31.540,manual,0.3,0.024
US.AMTX.BHZ.00,3.73144,255.674,Pn,2014-03-11 12:56:25.080,manual,-1.0,0.034
AG.LCAR.HHZ.00,4.9728,86.1311,Pn,2014-03-11 12:56:42.350,manual,-0.7,0.019
N4.U38B.BHZ.--,2.40687,75.9814,Pn,2014-03-11 12:56:08.090,manual,0.3,0.03
TA.U40A.BHZ.--,3.61519,81.3031,Pn,2014-03-11 12:56:24.350,manual,-0.1,0.024
TA.W41B.BHZ.--,4.16723,98.4061,Pn,2014-03-11 12:56:32.360,manual,0.4,0.024
TA.WHTX.BHZ.--,3.89147,182.181,Pn,2014-03-11 12:56:28.060,manual,-0.1,0.028
N4.237B.BHZ.--,4.0673,162.056,Pn,2014-03-11 12:56:29.920,manual,-0.7,0.026
N4.Z38B.BHZ.--,3.23641,143.5,Pn,2014-03-11 12:56:19.500,manual,0.3,0.03
