#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000n9d2
#time = 2014-03-12 18:09:38.570000
#location = 19km SSE of Medford, Oklahoma
#latitude = 36.6340
#longitude = -97.6780
#depth = 5.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000n9d2
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.277667,242.397,Pg,2014-03-12 18:09:43.740,manual,-0.2,0.0
US.WMOK.BHZ.10,2.09411,205.706,Pn,2014-03-12 18:10:14.570,manual,0.2,0.147
N4.R32B.BHZ.--,1.96519,335.609,Sn,2014-03-12 18:10:40.160,manual,2.5,0.173
N4.T35B.BHZ.--,0.977717,72.9087,Pg,2014-03-12 18:09:57.160,manual,-0.2,0.175
N4.R32B.BHZ.--,1.96519,335.609,Pn,2014-03-12 18:10:12.260,manual,-0.3,0.183
OK.X34A.HHZ.--,2.03248,183.598,Pn,2014-03-12 18:10:13.360,manual,-0.1,0.145
OK.U32A.BHZ.--,1.09608,256.995,Pg,2014-03-12 18:09:58.630,manual,-1.0,0.15
OK.W35A.EHZ.--,1.61572,155.948,Pn,2014-03-12 18:10:05.950,manual,-1.8,0.16
GS.OK028.HHZ.00,1.1814,154.813,Pg,2014-03-12 18:10:00.610,manual,-0.6,0.149
US.WMOK.BHZ.10,2.09411,205.706,Sn,2014-03-12 18:10:42.360,manual,1.6,0.13
GS.OK027.HHZ.00,0.973868,160.755,Pg,2014-03-12 18:09:56.900,manual,-0.4,0.189
GS.OK029.HHZ.00,0.854938,167.751,Pg,2014-03-12 18:09:54.670,manual,-0.3,0.217
OK.BCOK.HHZ.--,0.976868,176.716,Pg,2014-03-12 18:09:56.370,manual,-0.9,0.172
TA.TUL1.BHZ.--,1.68653,114.791,Pn,2014-03-12 18:10:08.970,manual,0.3,0.158
