#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000nppd
#time = 2014-03-25 14:01:19.100000
#location = 12km NW of Edmond, Oklahoma
#latitude = 35.7427
#longitude = -97.5558
#depth = 6.0
#magnitude = 3.0
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000nppd
#us_Mwr_mrr = -1190000000000
#us_Mwr_mtt = 39200000000000
#us_Mwr_mpp = -38000000000000
#us_Mwr_mrt = -1930000000000
#us_Mwr_mrp = -7370000000000
#us_Mwr_mtp = 6200000000000
#us_Mwr_np1_strike = 41
#us_Mwr_np1_dip = 85
#us_Mwr_np1_rake = -170
#us_Mwr_np2_strike = 310
#us_Mwr_np2_dip = 80
#us_Mwr_np2_rake = -5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.0962282,206.92,Pg,2014-03-25 14:01:21.460,manual,0.2,0.0
GS.OK029.HHZ.00,0.098111,56.7257,Pg,2014-03-25 14:01:21.590,manual,0.3,0.0
GS.OK027.HHZ.00,0.223587,97.7947,Pg,2014-03-25 14:01:23.840,manual,0.3,0.0
OK.OKCSW.EHZ.--,0.349898,164.037,Pg,2014-03-25 14:01:26.150,manual,0.3,0.0
GS.OK025.HHZ.00,0.239764,132.199,Pg,2014-03-25 14:01:24.180,manual,0.4,0.0
GS.OK028.HHZ.00,0.441544,114.085,Pg,2014-03-25 14:01:27.810,manual,0.2,0.0
OK.FNO.HHZ.01,0.50039,165.353,Pg,2014-03-25 14:01:29.170,manual,0.4,0.0
OK.CROK.HHZ.--,0.83552,335.648,Pg,2014-03-25 14:01:34.960,manual,-0.2,0.042
OK.W35A.EHZ.--,0.809932,136.424,Pg,2014-03-25 14:01:34.300,manual,-0.4,0.035
US.CBKS.BHZ.00,3.52489,331.075,Pn,2014-03-25 14:02:15.420,manual,1.0,0.016
N4.T35B.BHZ.--,1.44294,35.4378,Pn,2014-03-25 14:01:45.420,manual,-0.4,0.035
GS.OK026.HHZ.00,0.337587,165.368,Pg,2014-03-25 14:01:25.870,manual,0.2,0.0
OK.X34A.HHZ.--,1.16145,191.339,Pg,2014-03-25 14:01:41.190,manual,-0.2,0.032
TA.TUL1.BHZ.--,1.44315,82.8255,Pn,2014-03-25 14:01:44.850,manual,-0.9,0.041
GS.ADOK.HNZ.--,0.175478,120.994,Pg,2014-03-25 14:01:23.000,manual,0.4,0.0
GS.OK009.HNZ.01,0.194036,146.06,Pg,2014-03-25 14:01:23.270,manual,0.3,0.0
GS.OK001.HNZ.01,0.282619,129.801,Pg,2014-03-25 14:01:24.930,manual,0.3,0.0
GS.OK005.HNZ.01,0.309505,106.337,Pg,2014-03-25 14:01:25.450,manual,0.3,0.0
