#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = usc000nvy7
#time = 2014-03-29 12:36:47.700000
#location = 2km ESE of Choctaw, Oklahoma
#latitude = 35.4924
#longitude = -97.2430
#depth = 5.6
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/usc000nvy7
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK026.HHZ.00,0.186729,245.73,Pg,2014-03-29 12:36:51.730,manual,0.3,0.0
GS.OK028.HHZ.00,0.163216,65.1137,Pg,2014-03-29 12:36:51.470,manual,0.5,0.0
OK.W35A.EHZ.--,0.453523,138.255,Pg,2014-03-29 12:36:56.640,manual,0.2,0.0
GS.OK027.HHZ.00,0.221606,351.425,Pg,2014-03-29 12:36:52.420,manual,0.4,0.0
GS.OK025.HHZ.00,0.117575,318.857,Pg,2014-03-29 12:36:50.470,manual,0.3,0.0
AG.FCAR.HHZ.00,4.18534,83.071,Pn,2014-03-29 12:37:53.470,manual,1.3,0.018
GS.OK001.HNZ.01,0.0783423,331.056,Pg,2014-03-29 12:36:49.820,manual,0.3,0.0
GS.OK001.HNE.01,0.0783423,331.056,Sg,2014-03-29 12:36:51.470,manual,0.7,0.066
GS.OK029.HHZ.00,0.349178,330.439,Pg,2014-03-29 12:36:54.800,manual,0.3,0.0
GS.OK025.HH2.00,0.117575,318.857,Sg,2014-03-29 12:36:52.660,manual,0.8,0.046
GS.OK009.HNZ.01,0.171453,301.208,Pg,2014-03-29 12:36:51.530,manual,0.4,0.0
GS.OK005.HNZ.01,0.167571,14.6081,Pg,2014-03-29 12:36:51.530,manual,0.5,0.0
GS.OK005.HNE.01,0.167571,14.6081,Sg,2014-03-29 12:36:54.410,manual,1.1,0.053
GS.ADOK.HNZ.--,0.190439,326.781,Pg,2014-03-29 12:36:51.910,manual,0.4,0.0
GS.ADOK.HNN.--,0.190439,326.781,Sg,2014-03-29 12:36:55.000,manual,0.9,0.044
GS.OK028.HH1.00,0.163216,65.1137,Sg,2014-03-29 12:36:54.250,manual,1.0,0.094
OK.OKCSW.EHZ.--,0.181297,241.484,Pg,2014-03-29 12:36:51.660,manual,0.3,0.0
OK.OKCSW.EHN.--,0.181297,241.484,Sg,2014-03-29 12:36:54.670,manual,0.9,0.067
GS.OK026.HH1.00,0.186729,245.73,Sg,2014-03-29 12:36:54.810,manual,0.9,0.065
GS.OK027.HH2.00,0.221606,351.425,Sg,2014-03-29 12:36:55.900,manual,0.9,0.044
OK.FNO.HHZ.01,0.267757,208.917,Pg,2014-03-29 12:36:53.510,manual,0.6,0.0
OK.FNO.HHE.01,0.267757,208.917,Sg,2014-03-29 12:36:57.690,manual,1.2,0.067
GS.OK029.HH2.00,0.349178,330.439,Sg,2014-03-29 12:36:59.970,manual,0.9,0.043
OK.W35A.EHN.--,0.453523,138.255,Sg,2014-03-29 12:37:03.160,manual,0.8,0.071
OK.CROK.HHZ.--,1.17512,329.492,Pg,2014-03-29 12:37:09.730,manual,-0.5,0.022
OK.CROK.HHN.--,1.17512,329.492,Sg,2014-03-29 12:37:25.570,manual,0.1,0.03
TA.TUL1.BHZ.--,1.25255,70.1269,Pg,2014-03-29 12:37:10.180,manual,-1.5,0.023
US.WMOK.BHZ.10,1.46825,239.601,Pn,2014-03-29 12:37:14.120,manual,-0.7,0.049
N4.T35B.BHZ.--,1.53899,22.3797,Pn,2014-03-29 12:37:15.170,manual,-0.6,0.05
N4.Z35B.BHZ.--,2.15624,180.223,Pn,2014-03-29 12:37:24.920,manual,0.7,0.024
US.AMTX.BHZ.00,3.68497,261.799,Pn,2014-03-29 12:37:45.740,manual,0.4,0.036
TA.W39A.BHZ.--,2.84307,94.9679,Pn,2014-03-29 12:37:33.940,manual,0.3,0.021
